year,certains_DET sentiers_NOUN
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,8.528632911009026e-09
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,2.5070768572277302e-08
1812,0.0
1813,0.0
1814,1.2586708564299443e-08
1815,0.0
1816,0.0
1817,0.0
1818,0.0
1819,0.0
1820,0.0
1821,6.903041693817613e-09
1822,0.0
1823,2.3718449426723964e-08
1824,0.0
1825,0.0
1826,0.0
1827,9.217273055917019e-10
1828,0.0
1829,0.0
1830,5.218417697960831e-09
1831,0.0
1832,0.0
1833,0.0
1834,9.334530925997342e-10
1835,7.563087933704082e-10
1836,9.409050427677812e-09
1837,0.0
1838,4.418513332993257e-09
1839,0.0
1840,1.9109065441114126e-09
1841,5.778493683550323e-09
1842,2.683306021822318e-09
1843,1.1813822142769936e-09
1844,1.097712254427563e-09
1845,2.2320912340667576e-09
1846,1.1709002656346001e-09
1847,0.0
1848,3.218088684420195e-09
1849,0.0
1850,2.7155984128057753e-09
1851,6.449438760824933e-10
1852,3.2552727180501506e-09
1853,2.9859659189668264e-09
1854,2.5978321716024766e-09
1855,1.0613874223963649e-09
1856,1.0354378465748937e-09
1857,9.763018171682347e-10
1858,0.0
1859,1.5276520048956854e-09
1860,0.0
1861,9.903524222920623e-09
1862,9.035972525772706e-10
1863,8.990317823531768e-09
1864,8.63051052846231e-09
1865,4.23615986733239e-09
1866,2.919367858567057e-09
1867,0.0
1868,1.086772305480821e-08
1869,0.0
1870,2.8670243956696595e-09
1871,1.0621177271019633e-09
1872,6.047339295989218e-10
1873,1.0176207432266438e-08
1874,4.779687312606029e-09
1875,2.8607636259891933e-09
1876,1.1487427897804992e-08
1877,6.184816214727107e-09
1878,6.039088673581716e-10
1879,1.221865053580018e-09
1880,2.5671385017744797e-09
1881,9.761510710859511e-09
1882,4.6587693702804245e-09
1883,5.0554711528150165e-09
1884,2.6406787867472303e-09
1885,6.445635691854079e-10
1886,6.453463874400711e-10
1887,1.0446279397058333e-08
1888,1.9021844099853524e-09
1889,3.759082101151279e-09
1890,5.243509182406569e-09
1891,3.1871099093194744e-09
1892,9.402768341715273e-09
1893,2.4633666773077323e-09
1894,1.5123694518948128e-08
1895,3.0093072478365457e-09
1896,2.3588115349859606e-09
1897,6.409385022720926e-09
1898,1.6975064687230201e-09
1899,1.1055156790007459e-09
1900,3.633737311048435e-09
1901,2.235495566438317e-09
1902,2.9461704187383475e-09
1903,4.860198243861191e-09
1904,4.837162670412454e-09
1905,1.0321518084666081e-09
1906,4.115347618238729e-09
1907,3.599990305858114e-09
1908,2.9468334439286537e-09
1909,6.60118004702781e-09
1910,3.206490406526541e-09
1911,2.6601871816467337e-09
1912,4.688478938419394e-09
1913,3.1817937728995105e-09
1914,4.687720711604726e-09
1915,1.1780761921542648e-09
1916,0.0
1917,1.0966424435210342e-09
1918,8.040463406189247e-09
1919,2.762354567309444e-09
