year,quels_DET yeux_NOUN,quels_DET cieux_NOUN
1800,1.163340872523122e-07,0.0
1801,1.4048977092784298e-07,7.143547975374531e-09
1802,1.1412984690650774e-07,0.0
1803,1.3457340841682708e-07,1.950339223455444e-09
1804,2.2246658915037187e-07,4.943701892301533e-09
1805,1.2508661662025133e-07,5.685755422035754e-09
1806,9.221341201737232e-08,2.881669125542885e-09
1807,1.1103125174827255e-07,0.0
1808,2.311395519427606e-07,0.0
1809,6.551188569403621e-08,4.518061036407062e-09
1810,2.597540671445131e-07,3.510190182964834e-08
1811,6.769107141479935e-08,2.2563691359778204e-08
1812,7.20146218213813e-08,0.0
1813,1.782959770935122e-07,0.0
1814,5.034683603355461e-08,3.1466771410748606e-09
1815,8.631115644419651e-08,2.4275012222574333e-08
1816,2.2712518443768204e-07,2.3176038865813098e-09
1817,1.6347170728181482e-07,3.113746815941454e-09
1818,1.8597037509948677e-07,0.0
1819,1.2110728775382995e-07,0.0
1820,1.6375743605578919e-07,9.493184904840746e-09
1821,2.238557783584838e-07,0.0
1822,1.7244059336007922e-07,1.1028177482330648e-08
1823,1.146391692685711e-07,5.929612356680991e-09
1824,1.642116984612585e-07,8.421112696055388e-10
1825,1.6818396275652958e-07,3.522177216552791e-09
1826,1.3211976401805714e-07,2.642395191543301e-09
1827,1.4010255000584948e-07,0.0
1828,1.192399139426925e-07,0.0
1829,1.2774032320805873e-07,0.0
1830,1.3567886369969528e-07,1.7742620705973877e-08
1831,1.917718392974166e-07,1.5591206103948707e-09
1832,1.3394669373667512e-07,2.3000947813045514e-08
1833,1.0541102213323938e-07,9.26690302271993e-09
1834,1.484190406131347e-07,6.534171648198139e-09
1835,1.4369867074037757e-07,1.8151411040889798e-08
1836,1.3239877816317858e-07,1.2097349788575684e-08
1837,8.975679577361007e-08,1.2524203452102256e-08
1838,9.152634738995857e-08,6.943378316748294e-09
1839,9.718150195681119e-08,0.0
1840,9.554532809374905e-08,7.006657642971703e-09
1841,1.232745354684539e-07,9.630822361827995e-09
1842,1.026364522260792e-07,1.0062398025922903e-08
1843,1.1400338095768348e-07,6.497602011990011e-09
1844,1.6355913246002274e-07,7.683985892015244e-09
1845,1.2722919606744654e-07,7.254296385816872e-09
1846,1.5338793701857867e-07,1.1709002656346001e-09
1847,8.143767438184568e-08,4.314578916364553e-09
1848,8.206126445031714e-08,8.84974404868899e-09
1849,9.552533164480792e-08,1.6758829879393033e-09
1850,4.820187182730251e-08,2.1045888587423178e-08
1851,9.22269727254843e-08,3.2247193804124663e-09
1852,1.3086196304357145e-07,1.3672145193766028e-08
1853,1.2660495585237186e-07,1.4332636188996162e-08
1854,1.4859600838690312e-07,1.558699391779328e-09
1855,1.623922791793575e-07,7.429711956774554e-09
1856,1.4340814402657998e-07,4.6594703095870216e-09
