year,fus_VERB avant_ADP
1909,4.950885035270858e-09
1910,1.0153886620400954e-08
1911,4.25629931299909e-09
1912,1.1981668990301841e-08
1913,9.545381374209683e-09
1914,6.027069510139427e-09
1915,5.890381071793627e-09
1916,9.888715624128963e-09
1917,8.773139548168274e-09
1918,1.1486376294556067e-09
1919,2.762354567309444e-09
1920,8.329454459499175e-09
1921,3.0290989716519334e-09
1922,6.640141769764796e-09
1923,3.1847844361720945e-09
1924,6.445812328337297e-09
1925,1.3197813508725176e-08
1926,1.1146138456652466e-09
1927,1.1149224654616319e-08
1928,4.570416489713125e-09
1929,6.684243825105796e-09
1930,1.05036033204442e-08
1931,1.1405356659111021e-09
1932,3.287861094491973e-09
1933,4.588264879146209e-09
1934,0.0
1935,4.787313656606784e-09
1936,0.0
1937,0.0
1938,0.0
1939,1.5294050470515685e-09
1940,7.607348528892999e-09
1941,0.0
1942,0.0
1943,8.709705845433291e-09
1944,0.0
1945,2.178504043826024e-09
1946,2.7842208538686464e-09
1947,5.960435700558264e-09
1948,9.784699273041042e-09
1949,2.945102384188658e-09
1950,0.0
1951,2.1322803522849654e-09
1952,2.1089607837865287e-09
1953,1.0773827385790469e-09
1954,3.9090144454689835e-09
1955,2.815682353940474e-09
1956,5.232684952005684e-09
1957,3.534015080575159e-09
1958,0.0
1959,3.100299128533379e-09
1960,2.076250060767393e-09
1961,2.779263708063695e-09
1962,1.9025869768540815e-09
1963,5.1728425987107585e-09
1964,6.083968440151466e-09
1965,6.5664522708175355e-09
1966,3.8773522170743036e-09
1967,4.930335695263466e-09
1968,4.042274071025531e-09
1969,4.087581828571274e-09
1970,2.2993624781975086e-09
1971,6.679916619845017e-09
1972,6.156176013405457e-09
1973,4.9618833486420044e-09
1974,2.812785782069227e-09
1975,3.4268881066168433e-09
1976,1.142705374768127e-09
1977,5.876781838942691e-10
1978,4.158414057542359e-09
1979,4.096381456264453e-09
1980,2.8425752862659692e-09
1981,3.795329828193417e-09
1982,1.2415004579935385e-09
1983,6.315316269933646e-09
1984,4.059305780401701e-09
1985,4.210890747202711e-09
1986,3.5966913891627428e-09
1987,4.277571630240118e-09
1988,3.597932174415064e-09
1989,4.939309850016116e-09
1990,3.2691906959314565e-09
1991,1.7584396161396398e-09
1992,3.30596661157756e-09
1993,2.2156829704300662e-09
1994,8.439882570598911e-09
1995,4.337960657352369e-09
1996,1.6014276571496566e-09
1997,8.630809844589749e-09
1998,3.337690568372409e-09
1999,2.285100553223174e-09
2000,1.3254094488601709e-09
2001,2.190605918883648e-09
2002,3.9430991805033955e-09
2003,2.5001538617175356e-09
2004,3.523833003171717e-09
2005,3.602999676388663e-09
2006,2.0589450144825605e-09
2007,3.1955835755326234e-09
2008,3.405951742863067e-09
2009,5.721831008997924e-09
2010,2.8342759250676863e-09
2011,2.2943831279320648e-09
2012,3.4042526575461807e-09
2013,5.578249862026041e-09
2014,5.197068553286499e-09
2015,3.103205470367243e-09
2016,4.764082017771898e-09
2017,3.773417134311785e-09
2018,4.130346731301415e-09
2019,3.5713827450933877e-09
