year,trois_DET honnêtes_ADJ,trois_DET sonnettes_NOUN
1800,0.0,3.144164484325529e-09
1801,1.4287095950749062e-08,7.143547975374531e-09
1802,6.713520406265161e-09,0.0
1803,9.751696339321825e-09,0.0
1804,0.0,0.0
1805,8.528632911009026e-09,0.0
1806,5.76333825108577e-09,0.0
1807,0.0,0.0
1808,1.3596443970698147e-08,0.0
1809,1.8072244145628247e-08,6.7770915546105925e-09
1810,1.4040760554223652e-08,4.680253518074551e-09
1811,5.0141535368197765e-09,2.0056614147279106e-08
1812,8.00162425207418e-09,1.0668832928217853e-08
1813,2.5881675469463516e-08,1.1502966579257645e-08
1814,9.440030979135372e-09,0.0
1815,2.697223555614414e-09,0.0
1816,6.952811659743929e-09,0.0
1817,3.7364962679475866e-08,0.0
1818,5.960588467246453e-09,0.0
1819,1.0351049795076506e-08,0.0
1820,1.0679833017945839e-08,0.0
1821,3.8459806006585495e-08,9.86148829262845e-10
1822,1.5038423839541792e-08,1.5038423839541792e-08
1823,1.1859224380295075e-08,0.0
1824,1.1789557774477544e-08,1.6842225392110777e-09
1825,9.68598712347557e-09,4.4027217427355936e-09
1826,1.8496766784892316e-08,3.5231937367541377e-09
1827,3.6869092223668076e-09,0.0
1828,1.3758452155343548e-08,0.0
1829,1.2859763920403111e-08,0.0
1830,5.740259823028282e-08,1.0436835395921662e-08
1831,1.4032085715598441e-08,1.870944643656003e-08
1832,2.705993829010822e-08,6.764984572527055e-09
1833,1.7375443306377747e-08,9.266902800675325e-09
1834,2.5203233278148218e-08,0.0
1835,4.5378527602224494e-09,3.025235173481633e-09
1836,1.0753200108126748e-08,0.0
1837,3.2006298056330706e-08,2.0873671680021744e-09
1838,6.943378316748294e-09,0.0
1839,8.38977065598101e-09,6.9914751765765e-10
1840,1.52872523528913e-08,7.64362617644565e-09
1841,1.0272877659645019e-08,3.852329122366882e-09
1842,1.0062397137744483e-08,4.695785538189057e-09
1843,1.1813821920725331e-08,9.451057825238252e-09
1844,1.2623690537338916e-08,6.037417288329294e-09
1845,1.1718478631905782e-08,1.674068439427856e-09
1846,4.6836010625384006e-09,2.9272506640865004e-09
1847,2.1572894581822766e-09,5.393223645455691e-10
1848,4.02261068899179e-09,0.0
1849,5.02764896381791e-09,5.865590679832167e-09
1850,8.146795238417326e-09,6.788996032014438e-09
1851,1.9348316282474798e-09,2.579775504329973e-09
1852,9.114764054629632e-09,1.3021090872200602e-09
1853,1.19438634538227e-08,5.971931837933653e-10
1854,4.1565315633818045e-09,1.558699391779328e-09
1855,5.837630823180007e-09,2.1227748447927297e-09
1856,3.6240324075009767e-09,0.0
1857,6.8341128311999455e-09,3.4170564155999728e-09
1858,9.787352039936081e-10,0.0
1859,3.5645213447565993e-09,2.036869339860914e-09
1860,4.57718396518203e-09,2.288591982591015e-09
1861,5.187560159214399e-09,1.4147891747029462e-09
1862,3.162590411776023e-09,1.3553959066214816e-09
1863,6.99246927027275e-09,1.9978483312144135e-09
1864,3.3563094525845827e-09,1.342523781033833e-08
1865,9.413688495385486e-09,2.8241067262513297e-09
1866,8.271541673821048e-09,3.892490385570824e-09
1867,1.455843445796745e-09,7.76449837758264e-09
1868,3.951899252285784e-09,6.421836395986702e-09
1869,1.5627261262807224e-08,4.883519144627257e-10
1870,3.4404292748035914e-09,0.0
1871,3.18635318130589e-09,1.1683295220166201e-08
1872,3.0236697590169115e-09,6.047339295989218e-10
1873,1.6760813181804224e-08,5.986004303348835e-09
1874,7.766991494406739e-09,1.0156835372754358e-08
1875,7.437985338754061e-09,4.577221712764867e-09
1876,4.897271921322499e-08,1.813804439976252e-09
1877,2.2265338017746217e-08,1.1132669119895411e-08
1878,1.0870359723469392e-08,7.2469061862534545e-09
1879,1.0385853066452455e-08,1.0996785704264767e-08
1880,1.5402831010646878e-08,6.417846254436199e-10
1881,1.1853262482652838e-08,1.3945015142624584e-09
1882,8.652000893505374e-09,1.3310770263785798e-09
1883,8.847074461915128e-09,2.5277355764075082e-09
1884,9.902545450302114e-09,3.300848483434038e-09
1885,3.222817901438191e-09,6.445635691854079e-10
1886,3.2267319927115068e-09,1.936039106809062e-09
1887,7.834709769838355e-09,6.528924623161458e-10
1888,3.1703073499755874e-09,0.0
1889,3.132568426877924e-09,1.8795409673089125e-09
1890,7.209825181320184e-09,6.5543866445416654e-09
1891,6.3742202627281586e-09,5.099376032546843e-09
1892,5.014809900671935e-09,6.268512375839919e-10
1893,2.463366621796581e-09,2.4633666773077323e-09
1894,7.561847148451761e-09,1.8904617871129403e-09
1895,1.2037228991346183e-09,3.0093072478365457e-09
1896,5.307326134129653e-09,2.358811590497112e-09
1897,1.7480140668268973e-09,5.826713556089658e-10
1898,9.05336783318944e-09,1.6975064687230201e-09
1899,2.2110313580014918e-09,2.2110313580014918e-09
1900,1.038210628578895e-09,1.038210628578895e-09
1901,1.676621730339889e-09,1.1177477832191585e-09
1902,4.419255517085219e-09,2.455141867585553e-09
1903,7.560308379339631e-09,1.6200660812870638e-09
1904,3.7622376325430196e-09,3.7622376325430196e-09
1905,6.708986699521802e-09,5.160759042333041e-10
1906,3.600929110447737e-09,6.173021427358094e-09
1907,5.142843484406967e-09,1.028568674676933e-09
1908,1.964555629285769e-09,4.911389073214423e-10
1909,4.400786846048277e-09,7.701377313651392e-09
1910,4.809735609789811e-09,4.2753204310130855e-09
1911,1.0640748282497725e-09,1.0640748282497725e-09
1912,2.0837684910901544e-09,1.5628263128064646e-09
1913,0.0,1.060597942803554e-09
1914,0.0,2.6786975415582504e-09
1915,1.1780761921542648e-09,0.0
1916,1.0987462051303964e-09,0.0
1917,1.0966424435210342e-09,0.0
1918,0.0,0.0
