year,tes_DET eaux_NOUN,tes_DET sots_NOUN
1800,9.118076960135113e-08,1.5720821977538435e-08
1801,8.09602078710725e-08,9.524730337773235e-09
1802,7.161088433349505e-08,6.713520406265161e-09
1803,4.290746247193056e-08,9.751696339321825e-09
1804,1.1864884319479074e-07,1.730295728918918e-08
1805,5.1171799242411e-08,4.8328921309348516e-08
1806,1.613734639249742e-07,0.0
1807,7.686778946691675e-08,2.8469551160981155e-09
1808,7.93125889408941e-08,2.2660739951163578e-09
1809,7.228897924704825e-08,4.518061036407062e-09
1810,4.680253340438867e-08,9.360507036149102e-09
1811,1.2033968488367464e-07,1.504246105454854e-08
1812,8.801787032552966e-08,5.3344164641089264e-09
1813,3.738464204872116e-08,1.4378708446116661e-08
1814,6.293354060105116e-08,3.1466771410748606e-09
1815,4.315557666778602e-08,5.394447111228828e-09
1816,4.4034475621401725e-08,0.0
1817,6.538868291272593e-08,2.3353100786493997e-08
1818,8.821671082515081e-08,2.1458118837358597e-08
1819,1.3870406911919986e-07,2.173720581311045e-08
1820,9.849179338772274e-08,1.4239777357261119e-08
1821,8.678109963966563e-08,1.1833785507064931e-08
1822,9.825103575167304e-08,1.2030739071633434e-08
1823,6.226093063332883e-08,1.1859224713361982e-08
1824,6.821101017351339e-08,5.894778887238772e-09
1825,5.3713204550831506e-08,9.685987789609385e-09
1826,6.253668771716292e-08,3.5231936257318353e-09
1827,3.8712546668318026e-08,7.373818444733615e-09
1828,7.796455747666187e-08,1.1006761724274838e-08
1829,4.029392802751275e-08,3.429270423183084e-09
1830,8.036363396968227e-08,6.262101504006523e-09
1831,9.822459645647541e-08,1.5591206103948707e-09
1832,1.1500473662273691e-07,1.3529969367098715e-09
1833,1.042526562855528e-07,2.89590715851773e-08
1834,9.241185949804276e-08,5.600718555598405e-09
1835,7.865611451052246e-08,3.781543966852041e-09
1836,1.1290860368884381e-07,1.3441500135158435e-09
1837,5.0096812920230605e-08,2.7831563720326358e-09
1838,6.627769821854201e-08,1.2624323808552163e-09
1839,5.523265422802126e-08,0.0
1840,5.6690230731959446e-08,1.9109065441114126e-09
1841,9.759233554618163e-08,0.0
1842,9.324488292605793e-08,0.0
1843,8.44688284873385e-08,5.906911071384968e-10
1844,7.354671988091255e-08,0.0
1845,3.9061594403477784e-08,0.0
1846,6.088681048233013e-08,1.1709002656346001e-09
1847,5.8786138623645456e-08,2.1572894581822766e-09
1848,5.3098462293732496e-08,4.02261068899179e-09
1849,7.960444037280467e-08,0.0
1850,8.554135177973876e-08,2.7155984128057753e-09
1851,6.513933392682247e-08,7.094382858952031e-09
1852,7.877760155317048e-08,1.9531636308300904e-09
1853,8.360704462084811e-08,3.5831591027601917e-09
1854,4.9358813924982314e-08,0.0
1855,8.384960636931282e-08,5.306937111981824e-10
1856,9.16362518088576e-08,1.0354378465748937e-09
1857,9.763017866371015e-08,1.2203772659091783e-08
1858,7.732008361349685e-08,9.787352039936081e-10
1859,1.0591720789321357e-07,6.619825576592575e-09
1860,1.0664838567819857e-07,2.746310290291376e-09
1861,7.215424258077974e-08,0.0
1862,7.951656066929047e-08,9.035972525772706e-10
1863,7.541877578010059e-08,9.989241656072068e-10
1864,8.198985135265957e-08,2.3973640850272204e-09
1865,7.578019589615792e-08,4.706844358715045e-10
1866,7.68766869052584e-08,2.432806400776144e-09
1867,7.4248015735634e-08,1.455843445796745e-09
1868,4.791677987725507e-08,4.93987406535723e-10
