year,voulons_VERB avoir_VERB,voulons_VERB savoir_VERB
1800,8.174827570428533e-08,1.131899196593622e-07
1801,1.73826322225068e-07,4.7623650800687756e-08
1802,1.6783801015662903e-07,5.594600338554301e-08
1803,1.4042441875972145e-07,4.8758479920252285e-08
1804,6.921182915675672e-08,2.4718509905596875e-08
1805,7.107194477384837e-08,8.24434565060983e-08
1806,6.627838899930794e-08,3.7461699520235925e-08
1807,5.97860605466849e-08,3.701041606518629e-08
1808,5.6651849433819734e-08,3.6257183921861724e-08
1809,5.6475762733043666e-08,1.1746958961111886e-07
1810,8.658469141664682e-08,5.8503168531842675e-08
1811,6.769107585569145e-08,2.0056614147279106e-08
1812,8.268345652595599e-08,3.7340914360584065e-08
1813,3.163315653864629e-08,3.4508900625951355e-08
1814,9.754699448194515e-08,9.440030979135372e-09
1815,1.294667271167782e-07,3.236668177919455e-08
1816,1.6918508549679245e-07,6.489290882427667e-08
1817,1.6191484064620454e-07,4.3592454090912724e-08
1818,1.4305412321391486e-07,7.74876554032744e-08
1819,8.487860725381324e-08,4.6579724966022695e-08
1820,9.611849804969097e-08,2.254631326081835e-08
1821,1.7652064343565144e-07,4.2404398215012407e-08
1822,1.523893615740235e-07,8.020492714422289e-08
1823,1.4231069656034379e-07,5.336650943377208e-08
1824,2.0210670470532932e-07,9.010590673597108e-08
1825,1.725866809465515e-07,1.1623184548170684e-07
1826,1.470933455038903e-07,7.662946188702335e-08
1827,2.3872738097452384e-07,4.7008093417844066e-08
1828,2.4306598334078444e-07,1.1832268853595451e-07
1829,4.157990360909025e-07,3.1720752247110795e-08
1830,1.07499410262335e-07,7.097048637660919e-08
1831,1.340843738262265e-07,4.677361786775691e-08
1832,1.312406965325863e-07,6.088486514954639e-08
1833,1.3668682186107617e-07,1.169946486356821e-07
1834,1.5121939611617563e-07,9.147840529522e-08
1835,1.936150511028245e-07,1.2932881077176717e-07
1836,1.8549269498180365e-07,7.05678786516728e-08
1837,1.3985361135837593e-07,1.0645572956491378e-07
1838,1.6979716122023092e-07,8.963269948480956e-08
1839,1.3913034990764572e-07,6.012668762878093e-08
1840,1.3185255909320404e-07,1.044628916702095e-07
1841,1.2391659254262777e-07,1.0593905130917847e-07
1842,2.1600612853944767e-07,8.519496930148307e-08
1843,1.1872891292341592e-07,1.50035546653271e-07
1844,1.8112251609636587e-07,1.3282318889196176e-07
1845,1.1383664855202369e-07,1.0714038012338278e-07
1846,1.4460617592249037e-07,1.0655192284048098e-07
1847,1.2997668363823323e-07,7.712309724183797e-08
1848,2.228526483349924e-07,1.504456434986423e-07
1849,1.784815424343833e-07,9.21735647807509e-08
1850,1.5003681141934067e-07,8.418355434969271e-08
1851,9.674158008010636e-08,7.352360142931502e-08
1852,1.2044509389852465e-07,1.0872610545220596e-07
1853,1.6482532316786092e-07,9.913406984196627e-08
1854,1.9587655231134704e-07,1.3508727647604246e-07
1855,1.512477041387683e-07,9.923972754677379e-08
1856,1.361600823202025e-07,1.0199062927540581e-07
1857,1.527912303345147e-07,9.714202775512604e-08
1858,1.6540624869776366e-07,9.738415229776365e-08
1859,1.3392416065016732e-07,6.517981887554924e-08
1860,1.716444018029506e-07,9.703629899604493e-08
1861,1.4619487842537637e-07,1.0799556804386157e-07
1862,1.4954534321987012e-07,9.171512260763848e-08
1863,1.5333485237079003e-07,1.2886121680821816e-07
1864,1.2514239244865166e-07,1.2562186668674258e-07
1865,1.2426069417870167e-07,1.364984854035356e-07
1866,1.4840119888503978e-07,1.1288221912764129e-07
1867,1.4704018269640073e-07,1.218055700746845e-07
1868,1.6103989253224427e-07,1.3535255050101114e-07
1869,1.3527348130537575e-07,1.606677813015267e-07
1870,1.2672248317358026e-07,1.1869480687209943e-07
1871,2.2198260296590888e-07,1.5506918771279743e-07
1872,2.3766043000250647e-07,1.2638939494991064e-07
1873,1.9035493892261002e-07,1.1672708666310427e-07
1874,1.583271398430952e-07,1.3024647671500134e-07
1875,1.4074956311560527e-07,1.5848630141590547e-07
1876,1.2092029066934629e-07,1.0640985692589311e-07
1877,1.3668443443748401e-07,1.2060391441082174e-07
1878,1.8177657068463304e-07,1.3285995237311e-07
1879,1.5028939515104867e-07,1.4112541180111293e-07
1880,1.0974517294926045e-07,1.0525268123728893e-07
1881,1.7152368059214496e-07,1.108628708834658e-07
1882,1.4309078721908008e-07,9.983077831066112e-08
1883,1.7251795725314878e-07,7.962366765923434e-08
1884,1.2543223704142292e-07,9.110341636642261e-08
1885,1.1924426246423536e-07,1.0635299219075023e-07
1886,1.310053221459384e-07,6.840672028829431e-08
1887,1.5604129544044554e-07,1.0054544219428863e-07
1888,1.2173980223906256e-07,1.0588826881985369e-07
1889,1.434716381254475e-07,9.648310594911891e-08
1890,1.4354105815073126e-07,1.6713686079583567e-07
1891,1.2238501767569687e-07,1.2302244556394726e-07
1892,1.454294817904156e-07,1.429220759519012e-07
1893,1.570396221950432e-07,1.1577822789377024e-07
1894,1.5627817617769324e-07,1.1153724699397571e-07
1895,1.3240952512205695e-07,1.2639090130051045e-07
1896,1.1499206209464319e-07,8.96348382184442e-08
1897,1.4566784045655368e-07,7.691262027265111e-08
1898,1.4259053671139554e-07,1.4032720230261475e-07
1899,1.5753597892853577e-07,1.326618814800895e-07
1900,1.5054054358643043e-07,9.863001082521805e-08
1901,1.1848126746372145e-07,1.0786266102513764e-07
1902,1.1931989263302967e-07,9.133128031635351e-08
1903,1.45805941542676e-07,1.1772480235094918e-07
1904,1.3866532810880017e-07,1.0910488867921231e-07
1905,1.4966201433708193e-07,1.181813829020939e-07
1906,9.67106714711008e-08,1.388929860013377e-07
1907,1.517138770168458e-07,1.5428530275585217e-07
1908,1.070682813519852e-07,1.3997458836456644e-07
1909,1.463261583012354e-07,1.3147351296538545e-07
1910,1.4055116537292633e-07,2.3941794324855437e-07
1911,1.707840056042187e-07,1.2396471049669344e-07
1912,1.1825386536656879e-07,1.245051635123673e-07
1913,1.468928161330041e-07,1.3257474051897589e-07
1914,1.4331031650272053e-07,9.643311216223083e-08
1915,1.7082105330246122e-07,1.1309531089409575e-07
1916,2.329341981521793e-07,1.6700941785074974e-07
1917,2.3139155302942527e-07,1.1734073979141613e-07
1918,2.710784769988095e-07,1.1371512442792664e-07
1919,1.887608931383511e-07,1.0589025833951382e-07
1920,1.1888403861348706e-07,1.4311517304577137e-07
1921,1.4691130445498857e-07,1.2267851445812994e-07
1922,1.4903429246260202e-07,1.372296054569233e-07
1923,1.1252905096625909e-07,1.326993555039735e-07
1924,1.302054073448744e-07,1.366512236700146e-07
1925,1.374772296003357e-07,1.4297631878434913e-07
1926,1.4044134388768725e-07,1.5493132821120525e-07
1927,1.1149224832252003e-07,1.4271007842125982e-07
1928,1.1197520422001617e-07,1.2225864054471458e-07
1929,1.325708325339292e-07,1.1251810150270103e-07
1930,1.1974107394507882e-07,9.87338708569041e-08
1931,1.1633463969928926e-07,7.413481739604322e-08
