year,étions_VERB en_ADP,étions_VERB sans_ADP,etions_VERB en_ADP,etions_VERB sans_ADP
1800,6.948603754608484e-07,1.8864986373046122e-07,3.144164484325529e-09,0.0
1801,7.786467222103965e-07,1.142967676059925e-07,0.0,0.0
1802,6.243574262043694e-07,1.0517848636482086e-07,6.713520406265161e-09,0.0
1803,3.9201819390655146e-07,7.411289004721766e-08,0.0,0.0
1804,5.116731358612014e-07,6.179627121127851e-08,0.0,0.0
1805,5.230895112617873e-07,1.449867568226182e-07,2.842877711017877e-09,0.0
1806,5.907421609663288e-07,5.76333825108577e-08,5.76333825108577e-09,0.0
1807,4.953702159582463e-07,1.2526602688467392e-07,5.693910232196231e-09,2.8469551160981155e-09
1808,4.736094751933706e-07,1.0877155176558517e-07,2.2660739951163578e-09,0.0
1809,4.02107446006994e-07,1.0165637576164954e-07,4.518061036407062e-09,2.259030518203531e-09
1810,7.909628720881301e-07,2.4805342491163174e-07,0.0,0.0
1811,6.292762577686517e-07,5.766276700569506e-08,0.0,0.0
1812,4.320877451391425e-07,5.601137331723294e-08,2.6672082320544632e-09,0.0
1813,5.808998366774176e-07,8.052076339026826e-08,0.0,0.0
1814,9.030963497025368e-07,1.5733385794192145e-07,3.1466771410748606e-09,0.0
1815,7.066725515869621e-07,1.6992508733437717e-07,5.394447111228828e-09,0.0
1816,6.512466939057049e-07,1.367386346373678e-07,2.3176038865813098e-09,0.0
1817,5.277800596559246e-07,7.940054302935096e-08,0.0,0.0
1818,5.924825359215902e-07,8.940882878505363e-08,0.0,1.1921177378582115e-09
1819,5.42395014235808e-07,6.003609342997152e-08,0.0,0.0
1820,7.274152835634595e-07,9.374520004712394e-08,2.3732962262101864e-09,0.0
1821,7.642653372386121e-07,1.3608854487756616e-07,1.97229765852569e-09,0.0
1822,6.777316343686834e-07,1.1028177482330648e-07,4.010246357211145e-09,0.0
1823,1.0297759445165866e-06,1.087095569118901e-07,3.9530747564242574e-09,9.882686891060644e-10
1824,8.867431802173087e-07,9.010590673597108e-08,8.421112696055388e-10,0.0
1825,8.69977782258502e-07,9.069606221601134e-08,0.0,0.0
1826,7.891953828220721e-07,1.4004695003677625e-07,8.807984341885344e-10,0.0
1827,6.571915491804248e-07,1.115290046982409e-07,0.0,0.0
1828,6.759985922144551e-07,8.805409379419871e-08,3.668920500743411e-09,0.0
1829,9.421920594832045e-07,1.6031839322749875e-07,8.57317605795771e-10,3.429270423183084e-09
1830,7.58757948915445e-07,1.07499410262335e-07,2.0873671680021744e-09,0.0
1831,8.699893214725307e-07,1.6682589887295762e-07,3.1182412207897414e-09,0.0
1832,8.172101502168516e-07,8.38858085216998e-08,1.3529969367098715e-09,0.0
1833,1.4282613847171888e-06,1.4711207541040494e-07,0.0,0.0
1834,9.465214247939002e-07,1.1201436933561126e-07,5.600718555598405e-09,0.0
1835,8.137882332448498e-07,1.505054569861386e-07,1.5126175867408165e-09,1.5126175867408165e-09
1836,7.29201360627485e-07,8.938597773067158e-08,6.720750067579218e-10,0.0
1837,9.21224739158788e-07,1.0993467469688767e-07,6.957890930081589e-10,0.0
1838,8.243683282671554e-07,8.268931850352601e-08,0.0,0.0
1839,8.242949434134061e-07,1.1186359927251033e-07,1.3982950353153e-09,0.0
1840,6.439755111387058e-07,7.834717052901397e-08,6.369688665408546e-10,0.0
1841,8.012844432414568e-07,6.613164771351876e-08,6.420548537278137e-10,0.0
1842,7.305300755433564e-07,1.1269885646925104e-07,0.0,0.0
1843,6.781133947697526e-07,7.797122947295065e-08,0.0,0.0
1844,6.289891416599858e-07,6.586273570974299e-08,1.097712254427563e-09,0.0
1845,6.67395283926453e-07,5.5802278353667134e-08,1.674068439427856e-09,0.0
1846,6.480933052444016e-07,7.610852037487348e-08,5.854501328173001e-10,0.0
1847,5.414796646618925e-07,6.849393940910886e-08,1.6179670936367074e-09,5.393223645455691e-10
1848,6.725805405949359e-07,6.597081636527946e-08,8.045221711050488e-10,0.0
1849,7.66716482303309e-07,8.463209155706863e-08,0.0,0.0
1850,8.662759114486107e-07,8.554135177973876e-08,1.3577992064028876e-09,0.0
1851,7.500697165596648e-07,9.480675089434953e-08,0.0,0.0
1852,5.494900392477575e-07,7.096494414327026e-08,6.510545436100301e-10,0.0
1853,7.411167644022498e-07,6.5094056367343e-08,5.971931837933653e-10,0.0
