year,deux_DET iles_NOUN,deux_DET cils_NOUN
1800,3.45858084394024e-08,0.0
1801,1.904946067554647e-08,1.6668277424969347e-08
1802,1.5664880947952042e-08,4.475680270843441e-09
1803,5.851017448321727e-09,1.950339223455444e-09
1804,3.707776485839531e-08,0.0
1805,1.421438877713399e-08,4.264316544322355e-08
1806,2.305335300434308e-08,0.0
1807,1.4234775580490577e-08,8.540865792383556e-09
1808,2.7192888385485503e-08,4.5321479902327155e-09
1809,6.7770917766551975e-09,0.0
1810,5.616304044053777e-08,0.0
1811,1.2535384286138651e-08,7.019814773912003e-08
1812,1.0668832484128643e-08,0.0
1813,2.0130191291656274e-08,0.0
1814,1.5733386149463513e-08,0.0
1815,2.697223555614414e-09,8.091670444798638e-09
1816,1.3905623319487859e-08,2.3176038865813098e-09
1817,7.784366928831332e-09,0.0
1818,8.34482416500748e-09,7.152706427149269e-09
1819,2.070209959015301e-08,0.0
1820,1.5426425470366212e-08,5.933240565525466e-09
1821,1.1833786284221048e-08,0.0
1822,1.0025615893027862e-08,0.0
1823,3.557767380701904e-08,0.0
1824,2.189489389792243e-08,0.0
1825,1.937197424695114e-08,0.0
1826,3.082794441944259e-08,1.2331177856594877e-08
1827,2.3964910667029216e-08,2.7651818612639545e-09
1828,1.7427372100975447e-08,9.172301251858528e-10
1829,4.115124341286247e-08,4.286587973467704e-09
1830,2.5048406682159907e-08,4.174734336004349e-09
1831,7.795603274018958e-09,2.494592932222872e-08
1832,2.841293600397421e-08,0.0
1833,7.529358647673234e-08,2.3167257001688313e-09
1834,3.360431177767964e-08,1.7735608537350345e-08
1835,4.235329242874286e-08,1.0588323107185715e-08
1836,2.4194700021240578e-08,2.688300027031687e-09
1837,2.991893077730623e-08,0.0
1838,2.335499993399992e-08,1.4517972823924197e-08
1839,1.3283802724473048e-08,0.0
1840,4.1402977490889725e-08,6.3696887764308485e-09
1841,2.1829865026745665e-08,1.2841097074556274e-08
1842,1.9453968658211807e-08,8.049918065466954e-09
1843,4.0757687003178944e-08,1.1813821920725331e-08
1844,2.0307677539577185e-08,1.5916826967554698e-08
1845,2.4553003186156275e-08,3.1249276777334245e-08
1846,3.21997570829069e-08,2.1076203893244383e-08
1847,2.7505441480002446e-08,3.4516631330916425e-08
1848,2.976732055293141e-08,4.585776380849893e-08
1849,3.351766042491988e-08,6.200767188602185e-08
1850,2.4440385715251978e-08,1.0115603998883671e-07
1851,1.7413484432182713e-08,7.481348962556922e-08
1852,2.9948508117882966e-08,4.8829090104618444e-08
1853,2.7470886676539408e-08,2.9859659189668264e-09
1854,2.805658755322682e-08,4.2604447969551984e-08
1855,3.449509122788186e-08,2.0697054736729115e-08
1856,2.1744194667050465e-08,3.36517302912398e-08
1857,2.001418675234845e-08,2.9777204701986193e-08
1858,1.761723378290725e-08,3.7191937973801714e-08
1859,1.78226069458276e-08,3.0043821652725455e-08
1860,1.1442959996221802e-08,1.8766454251695208e-08
1861,1.1318312787000906e-08,1.9335450573976232e-08
1862,1.6264750907213354e-08,1.536115412648087e-08
1863,2.0477945228414285e-08,9.489779628779615e-08
1864,4.794727948009836e-09,1.342523781033833e-08
1865,1.4591218067128153e-08,6.401308638714909e-08
1866,3.649209645573137e-08,1.1677471434268227e-08
1867,1.4073153309368536e-08,1.0530600746960772e-07
1868,9.38576083520104e-09,8.595380762699278e-08
1869,8.30198221279943e-09,4.932354258357918e-08
1870,5.160643912205387e-09,1.6055336615750093e-08
1871,1.4869647735338276e-08,3.080141297573391e-08
1872,1.3908880824864411e-08,1.0461896948754656e-07
1873,1.3169209722718733e-08,8.380406590902112e-09
1874,8.961913544602851e-09,1.296490239610648e-07
1875,8.01013810836082e-09,5.8931731272693355e-08
1876,1.2092029821886285e-08,1.608239870165562e-07
1877,9.27722387800145e-09,3.0924081073635534e-08
1878,1.992899334446463e-08,3.563062378475479e-08
1879,1.527331294770562e-08,5.254019597167314e-08
1880,7.059630657835214e-09,7.123809098175116e-08
1881,1.743126931685879e-08,7.460582907015123e-08
1882,1.0648616211028639e-08,1.3710092927610162e-07
1883,1.1374810038322636e-08,8.531107908993363e-08
1884,2.8387296957532726e-08,8.648223115415021e-08
1885,1.0313017162477678e-08,8.508239091042924e-08
1886,2.452316305578961e-08,9.034849618450025e-08
1887,1.893388101859017e-08,5.8760320664763555e-08
1888,2.409433608185907e-08,1.3949352251074743e-07
