year,belles_ADJ ailes_NOUN,belles_ADJ selles_NOUN
1800,9.432493897065797e-09,3.144164484325529e-09
1801,0.0,2.3811825844433088e-09
1802,0.0,0.0
1803,0.0,0.0
1804,2.4718509461507665e-09,0.0
1805,0.0,0.0
1806,5.76333825108577e-09,0.0
1807,0.0,0.0
1808,4.5321479902327155e-09,0.0
1809,0.0,0.0
1810,0.0,0.0
1811,0.0,0.0
1812,0.0,0.0
1813,0.0,0.0
1814,3.1466771410748606e-09,0.0
1815,0.0,2.697223555614414e-09
1816,4.6352077731626196e-09,0.0
1817,1.71256075987003e-08,1.556873407970727e-09
1818,1.0729059418679299e-08,0.0
1819,2.4842520929269085e-08,0.0
1820,1.3053129244156025e-08,3.5599443393152796e-09
1821,4.141825016290568e-08,0.0
1822,1.604098542884458e-08,0.0
1823,7.906149512848515e-09,0.0
1824,5.052667617633233e-09,1.6842225392110777e-09
1825,1.0566531649658373e-08,8.805443041381977e-10
1826,8.80798456392995e-09,6.1655889282974385e-09
1827,1.8434546333878643e-08,0.0
1828,1.9261833017480967e-08,9.172301251858528e-10
1829,2.743416338546467e-08,0.0
1830,1.2524203008013046e-08,0.0
1831,2.3386808933878456e-08,0.0
1832,4.464889968858188e-08,0.0
1833,3.243415847009601e-08,6.950177322551099e-09
1834,1.213489042584115e-08,0.0
1835,1.5126175867408165e-08,1.5126175867408165e-09
1836,7.392825018825988e-09,1.344150035720304e-08
1837,9.045257876039159e-09,2.0873671680021744e-09
1838,1.009945904684173e-08,6.312161904276081e-10
1839,9.788065469251706e-09,2.0974426639952526e-09
1840,1.2739377330817092e-09,3.821813088222825e-09
1841,5.778493683550323e-09,1.926164561183441e-09
1842,1.341653010911159e-09,3.3541325272778977e-09
1843,2.3627644285539873e-09,2.953455480181333e-09
1844,2.7442805805577564e-09,1.097712254427563e-09
1845,1.2276501593078137e-08,1.1160455892778032e-09
1846,7.025401593807601e-09,5.854501328173001e-10
1847,8.089835468183537e-09,5.393223645455691e-10
1848,8.045221711050488e-10,1.6090443422100975e-09
1849,0.0,3.3517659758786067e-09
1850,6.1100964288129944e-09,1.3577992064028876e-09
1851,6.449438760824933e-09,0.0
1852,8.463708844885787e-09,1.3021090872200602e-09
1853,1.0152284346531815e-08,2.388772735173461e-09
1854,3.63696517347023e-09,0.0
1855,1.0083180512765466e-08,0.0
1856,1.2425253714809514e-08,2.5885946719483854e-09
1857,1.0251168802710708e-08,5.369659827891837e-09
1858,2.838332058274773e-08,4.404308473482388e-09
1859,2.34239969643113e-08,2.5460866748261424e-09
1860,1.6935580049448618e-08,9.154367819341758e-10
1861,2.357981898626349e-08,3.772770984511453e-09
1862,8.584174260306554e-09,1.3553959066214816e-09
1863,1.0988165932701577e-08,3.496234635136375e-09
1864,2.8768367688059016e-09,4.794728170054441e-09
1865,9.88437331983505e-09,2.8241067262513297e-09
1866,8.271541673821048e-09,4.865612912574591e-10
1867,1.8925964795357686e-08,4.85281148598915e-10
1868,1.1855697756857353e-08,1.4819622196071691e-09
1869,1.1720445947105418e-08,4.883519144627257e-10
1870,1.0894693147633916e-08,5.734048791339319e-10
1871,0.0,2.1242354542039266e-09
1872,1.5723081503438152e-08,1.1489944995446422e-08
1873,1.0774807712721213e-08,0.0
1874,7.169530746864439e-09,1.7923826867161097e-09
1875,1.6592428764283795e-08,3.432916173551348e-09
1876,1.5115036333668286e-08,1.209202959984168e-09
1877,1.36065949618569e-08,8.040260901509555e-09
1878,1.6305540029293297e-08,2.4156354694326865e-09
1879,1.4051448005147904e-08,6.10932526790009e-10
1880,1.0910338410496934e-08,1.0268554007097919e-08
1881,8.367009307619355e-09,6.972507571312292e-10
1882,1.9966154951589488e-08,1.9966155395678697e-09
1883,6.951272890631799e-09,8.847074184359371e-09
1884,5.941527270181268e-09,3.9610181801208455e-09
1885,9.023890079618013e-09,3.2228177904158883e-09
1886,7.098810428374236e-09,5.162771099520569e-09
1887,1.6322312390570914e-08,3.9173548849191775e-09
1888,1.2047167707862627e-08,0.0
1889,5.012109394186837e-09,1.2530273485467092e-09
1890,3.9326319978272295e-09,3.9326319978272295e-09
1891,3.824531802365527e-09,3.824531802365527e-09
1892,1.4417578242387208e-08,1.8805537127519756e-09
1893,9.23762488724833e-09,2.463366621796581e-09
1894,7.561847148451761e-09,7.561847148451761e-09
1895,3.611168697403855e-09,1.8055843487019274e-09
1896,7.076434549446731e-09,5.89702897624278e-10
1897,3.4960281336537946e-09,3.4960281336537946e-09
1898,4.52668391659472e-09,8.487532454637403e-09
1899,7.185851913504848e-09,2.2110313580014918e-09
1900,1.557315876254961e-08,2.07642125715779e-09
1901,9.500856101851696e-09,5.588738916095792e-10
1902,9.820567692386817e-10,1.9641135384773634e-09
1903,4.860198465905796e-09,4.860198465905796e-09
1904,3.2247751136083025e-09,3.7622376325430196e-09
1905,5.676835002077496e-09,8.257214467732865e-09
1906,5.144184633820714e-09,6.173021205313489e-09
1907,9.771402353919711e-09,1.131425531042396e-08
1908,4.4202499438483756e-09,4.911389073214423e-09
1909,9.901770070541716e-09,1.6502950117569526e-09
1910,9.619471441624228e-09,0.0
1911,5.852411444351446e-09,5.320374141248863e-10
1912,9.897900277167082e-09,2.6047106693738442e-09
1913,3.71209285532359e-09,2.121195885607108e-09
1914,1.3393487430235496e-09,1.4063162190325329e-08
1915,1.1780761921542648e-09,0.0
1916,5.493730803607377e-09,0.0
1917,0.0,0.0
1918,3.44591288836682e-09,4.594550517822427e-09
1919,3.6831393490643904e-09,4.603924352863942e-09
