year,avons_VERB ôté_VERB,avons_VERB oté_VERB,avons_VERB sauté_VERB
1800,6.288328791015374e-08,0.0,0.0
1801,2.3811825844433088e-09,4.7623651688866175e-09,0.0
1802,0.0,0.0,0.0
1803,7.801356893821776e-09,0.0,0.0
1804,2.7190360185613827e-08,0.0,0.0
1805,3.1271653710973624e-08,0.0,0.0
1806,2.881669125542885e-09,0.0,0.0
1807,1.4234775136401367e-08,0.0,0.0
1808,4.078933102391602e-08,0.0,0.0
1809,6.7770917766551975e-09,0.0,6.7770917766551975e-09
1810,3.7442028144596406e-08,0.0,0.0
1811,1.7549536934780008e-08,0.0,0.0
1812,2.6672082320544632e-09,0.0,0.0
1813,3.163315653864629e-08,0.0,0.0
1814,5.664018942752591e-08,0.0,0.0
1815,2.966945977789237e-08,0.0,0.0
1816,4.1716869958463576e-08,0.0,0.0
1817,5.293369653713853e-08,0.0,0.0
1818,4.530047448270125e-08,1.1921177378582115e-09,0.0
1819,7.349245834120666e-08,4.140420006848444e-09,0.0
1820,2.4919611263385377e-08,0.0,1.1866481131050932e-09
1821,9.171183990019927e-08,0.0,0.0
1822,6.015369535816717e-08,0.0,5.012807946513931e-09
1823,1.581229902569703e-08,9.882686891060644e-10,9.882686669016039e-09
1824,1.7684335773537896e-08,0.0,2.5263338088166165e-09
1825,1.6730341556581152e-08,0.0,8.805443041381977e-10
1826,4.315912249808207e-08,8.807984341885344e-10,8.80798456392995e-09
1827,4.7929820112813104e-08,0.0,9.217273055917019e-10
1828,4.1275356466030644e-08,1.8344602503717056e-09,5.503380862137419e-09
1829,3.086343269842473e-08,8.57317605795771e-10,2.571952872898464e-09
1830,2.817945699007396e-08,1.0436835840010872e-09,9.39315203396518e-09
1831,6.080570358335535e-08,0.0,1.2472964883158966e-08
1832,5.0060886991332154e-08,1.3529969367098715e-09,1.0823975493678972e-08
1833,3.1275796175123105e-08,0.0,0.0
1834,2.333632664885954e-08,3.733812370398937e-09,8.401078055442213e-09
1835,5.067268915581735e-08,7.563087933704082e-10,1.4369867074037757e-08
1836,3.427582484505365e-08,0.0,6.720750067579218e-10
1837,3.339787468803479e-08,0.0,6.957890930081589e-10
1838,5.428459104450667e-08,0.0,6.312161904276081e-10
1839,4.4046291947097416e-08,0.0,0.0
1840,3.3122379505812205e-08,0.0,6.369688665408546e-10
1841,3.2102743574569104e-08,0.0,1.2841097074556274e-09
1842,2.6162233268678392e-08,6.708265054555795e-10,1.341653010911159e-09
1843,2.5990408047960045e-08,0.0,1.7720733769266417e-09
1844,3.512679214168202e-08,0.0,5.488561272137815e-10
1845,1.674068350610014e-08,5.580227946389016e-10,2.2320911785556063e-09
1846,2.2247105491146613e-08,0.0,2.9272506640865004e-09
1847,1.6718992412734224e-08,0.0,0.0
1848,9.65426583121598e-09,0.0,5.63165514222419e-09
1849,2.4300303991253713e-08,0.0,6.703531951757213e-09
1850,2.4440385715251978e-08,0.0,0.0
1851,6.449438760824933e-09,0.0,1.2898877521649865e-09
