year,peux_VERB avoir_VERB,peux_VERB savoir_VERB
1800,1.5720821977538435e-07,1.5720821977538435e-08
1801,1.5953922627431893e-07,4.7623650800687756e-08
1802,2.3497321421928064e-07,4.923248297927785e-08
1803,1.4042441875972145e-07,2.7304748684287006e-08
1804,1.2359254242255702e-07,1.9774807569206132e-08
1805,1.02343598484822e-07,2.55858996212055e-08
1806,8.645007198992971e-08,1.152667650217154e-08
1807,1.537355700520493e-07,1.4234775136401367e-08
1808,7.478044494746428e-08,2.039466551195801e-08
1809,1.1069249694628525e-07,1.129515236897305e-08
1810,8.190443878675069e-08,7.020380277111826e-09
1811,1.1031137603367824e-07,2.757784400841956e-08
1812,1.893717893608482e-07,3.7340914360584065e-08
1813,8.339650747757332e-08,5.751483289628823e-09
1814,4.72001566720337e-08,0.0
1815,7.821948599939788e-08,2.966945977789237e-08
1816,6.489290882427667e-08,2.3176038865813098e-09
1817,1.6814232139950036e-07,2.6466848268569265e-08
1818,1.323250700124845e-07,2.2650237241350624e-08
1819,7.24573467891787e-08,2.898294049202832e-08
1820,1.5426425648001896e-07,1.4239777357261119e-08
1821,3.816396088041074e-07,5.423818549843418e-08
1822,1.9449694832474052e-07,3.909990198280866e-08
1823,1.3341627891350072e-07,2.569498569471307e-08
1824,1.9958037000833428e-07,2.3579115548955087e-08
1825,1.2327620879659662e-07,2.0252519661312363e-08
1826,8.103345550125596e-08,5.284790383086602e-09
1827,1.4839810091871186e-07,1.6591091167583727e-08
1828,1.1373653308055509e-07,2.2930752408001354e-08
1829,8.144517238406479e-08,9.430493719264632e-09
1830,1.4298464634521224e-07,3.339787468803479e-08
1831,2.899964215430373e-07,4.677361609140007e-09
1832,3.287782419647556e-07,4.19429042608499e-08
1833,9.151066393542351e-08,1.6217079235048004e-08
1834,1.0548019702127931e-07,1.3068342852307069e-08
1835,1.1722786297241328e-07,2.7227116561334697e-08
1836,1.6533044799871277e-07,3.2259599436201825e-08
1837,1.4124518088465265e-07,3.965997663613052e-08
1838,7.763959075646198e-08,1.5149188570262595e-08
1839,1.230499577786759e-07,1.0487212875887053e-08
1840,8.599079848181646e-08,7.64362617644565e-09
1841,9.11717918938848e-08,1.219904177673925e-08
1842,1.1336967986608215e-07,3.4212153110502186e-08
1843,1.1104992836408201e-07,2.3036953678001737e-08
1844,9.550096535804187e-08,1.4819115712327857e-08
1845,6.863680113156079e-08,1.8414752389617206e-08
1846,9.777016884982004e-08,2.5759806732139623e-08
1847,8.197699941092651e-08,1.5640349459999925e-08
1848,7.160247150750365e-08,3.298540818263973e-08
1849,7.876649732452279e-08,1.0893239199560867e-08
1850,1.0183494225657341e-07,2.0366988096043315e-08
1851,7.803821233665076e-08,1.096404567135778e-08
1852,5.0131198747749295e-08,1.3672145193766028e-08
1853,7.285756709052293e-08,1.7318601663873778e-08
1854,7.377843758149538e-08,1.1430461910322265e-08
1855,1.1516053177729191e-07,1.3798036491152743e-08
1856,8.076415269897552e-08,9.318940286107136e-09
1857,9.518942789554785e-08,1.9526035899275485e-08
1858,1.1842696068242731e-07,2.0064071293290908e-08
1859,8.402086137948572e-08,1.782260738991681e-08
1860,1.0207119771621365e-07,2.654766717569146e-08
1861,1.1742749705945243e-07,2.2165028923382124e-08
1862,9.939569878270049e-08,8.132375661773494e-09
1863,1.3335638016087614e-07,1.748117206545885e-08
1864,1.1411452760512475e-07,3.2604148714199255e-08
1865,1.3085026751014084e-07,3.106517354467542e-08
1866,1.0315099530089356e-07,9.244664589402873e-09
1867,1.1404107169710187e-07,2.523461972714358e-08
1868,8.101393689230463e-08,1.2843672791973404e-08
1869,1.2355303624644876e-07,4.2974967584541446e-08
1870,9.461180638936639e-08,2.6376625328339287e-08
1871,9.771483178155904e-08,4.991953161948004e-08
1872,1.2034205099098472e-07,2.4189358072135292e-08
1873,8.32054638522095e-08,2.334541804316359e-08
1874,9.798358746593294e-08,2.2703515512034755e-08
1875,1.281622132864868e-07,4.2339301842275745e-08
1876,1.287801154603585e-07,4.17175023414984e-08
1877,1.1318213211097827e-07,1.855444864418132e-08
1878,9.058633310132791e-08,1.69094480639842e-08
1879,8.308682453161964e-08,2.077170613290491e-08
1880,2.361767457159658e-07,4.3641353641987735e-08
1881,1.5618417137375218e-07,3.137628468152798e-08
1882,1.271178575734666e-07,3.1945848633085916e-08
1883,8.02556030521373e-08,2.211768546089843e-08
1884,7.591951600716129e-08,1.7824582698722224e-08
1885,7.734762874633816e-08,1.740321664556177e-08
1886,5.679048342699389e-08,1.936039240035825e-08
1887,6.333056745688737e-08,2.2198344495905076e-08
1888,7.164894810784972e-08,1.775372027168487e-08
1889,6.828999232766364e-08,3.3205225236088154e-08
1890,7.799719980994269e-08,1.9663159989136147e-08
1891,6.246735750892185e-08,3.6970476458009216e-08
1892,7.961011050383604e-08,3.0715710863660206e-08
1893,7.390099909798664e-08,2.155445777418663e-08
1894,6.868678070759415e-08,1.449354058991048e-08
1895,8.125129369318529e-08,2.046328972937772e-08
1896,1.0791563198608856e-07,2.5946928161602045e-08
1897,8.856604694074122e-08,1.4566784223291052e-08
1898,1.1260126342449439e-07,1.640922953072277e-08
1899,1.1386811138436315e-07,1.879376654301268e-08
1900,9.447716564636721e-08,1.6092265298084385e-08
1901,7.936009183140413e-08,2.8502569193733507e-08
1902,6.236060556830125e-08,1.4239823542538943e-08
1903,8.910363646918995e-08,1.9980815224585058e-08
1904,9.781818022247535e-08,1.8811189050893518e-08
1905,8.928113004458282e-08,2.115911179600971e-08
1906,5.24706820215215e-08,3.961022088105892e-08
1907,9.205689366353909e-08,3.188563013623025e-08
1908,1.159087830160388e-07,1.817213934884876e-08
1909,1.1827114576590247e-07,2.475442606453271e-08
1910,1.1276157607653658e-07,6.359539383993251e-08
1911,7.874153595821554e-08,1.9153347352585115e-08
1912,1.1512820918824218e-07,2.5005221004903433e-08
1913,1.0393859639634684e-07,2.5454351515463713e-08
1914,1.3259553099942423e-07,2.678697441638178e-08
1915,1.0131455496775743e-07,3.887651445211304e-08
1916,9.888715624128963e-08,4.504859418830165e-08
1917,1.0747096013119517e-07,1.5352993543160665e-08
1918,1.1601240146319469e-07,2.412139110674616e-08
1919,5.7088659133341935e-08,3.222746869369075e-08
1920,1.0979736231320203e-07,2.4231141537711665e-08
1921,9.39020665668977e-08,4.695103328344885e-08
1922,1.0845565157069359e-07,3.6889677090812256e-08
1923,1.1359064444604883e-07,3.8217415010421973e-08
1924,1.7145860908840405e-07,4.769901096324247e-08
1925,1.4407612525246805e-07,5.169143690864075e-08
1926,1.270659737429014e-07,5.461607699430715e-08
1927,1.8061744810893288e-07,6.689534615134107e-08
1928,1.1768822361091225e-07,3.884854038460617e-08
1929,1.4705337036957644e-07,4.790374674712439e-08
1930,1.23942527352483e-07,3.886333388436469e-08
1931,1.4142642612569034e-07,4.904303452235581e-08
1932,1.1836299762535418e-07,3.287861005674131e-08
1933,1.387950163689311e-07,3.785318369864399e-08
1934,1.4258080227591563e-07,4.073737258636356e-08
1935,1.579813471153102e-07,4.0692164304800826e-08
1936,1.1518478970629076e-07,3.15242587589637e-08
1937,1.0702450481403503e-07,5.5400921183945684e-08
1938,1.4780344770315423e-07,4.2785206488815675e-08
1939,1.0705835506996664e-07,2.5999884911698246e-08
1940,8.875240098404902e-08,2.028626333583361e-08
1941,1.5052663115966425e-07,6.493305448884712e-08
1942,1.517105943094066e-07,6.371844563091145e-08
1943,1.335488235554294e-07,4.064529335323641e-08
1944,1.4138018400444707e-07,8.996921252446555e-08
1945,1.8517283706387389e-07,6.317661416233022e-08
1946,2.157771206157122e-07,7.099762910911522e-08
1947,3.1232681863002654e-07,6.556479092978407e-08
1948,1.380729770517064e-07,6.740570768215548e-08
1949,1.5805383668521245e-07,7.166416082782234e-08
1950,1.6378456280108367e-07,6.912984673590472e-08
1951,1.6738400177018775e-07,5.117473023119601e-08
1952,1.6344445441518474e-07,6.326882129314981e-08
1953,1.8315506622457178e-07,5.8178667217134716e-08
1954,1.8274641888638143e-07,7.622578124255597e-08
1955,1.4547691762345494e-07,7.696198167650437e-08
1956,2.407035140095104e-07,7.674604773910687e-08
1957,1.8906980869815015e-07,6.449577227840564e-08
1958,2.043244080596196e-07,9.18219029699685e-08
1959,1.8834316506399773e-07,7.130687862400009e-08
1960,2.1316166964879812e-07,8.789458405544792e-08
1961,2.0566551484080264e-07,8.476754231878658e-08
1962,1.9216128066545934e-07,8.371382165250907e-08
1963,1.7781646022285713e-07,8.211887347897573e-08
1964,2.530930771627027e-07,7.48328119470898e-08
1965,1.7236936855624663e-07,5.964527360902139e-08
1966,1.3847686375356716e-07,7.311578542612551e-08
1967,2.1594870247554354e-07,7.29689659806354e-08
1968,1.7247036510070757e-07,7.590492856479614e-08
1969,1.6668251134888123e-07,7.766406184828156e-08
1970,1.752114258124493e-07,6.438214938953024e-08
1971,1.6391487633882207e-07,8.683891650207443e-08
1972,1.5133933572997194e-07,4.514529194921124e-08
1973,1.8358969100518152e-07,7.442825022963007e-08
1974,1.6989226025998505e-07,5.6818272753389465e-08
1975,1.6506177757946716e-07,6.111283568088766e-08
1976,1.7597662349544407e-07,5.713526718409412e-08
1977,1.9452147625997895e-07,6.053085144230863e-08
1978,1.859405074355891e-07,7.128709711423653e-08
1979,1.8609274832215306e-07,6.963848164787123e-08
1980,2.0580245063683833e-07,7.731804885224847e-08
1981,1.87868820944459e-07,6.70508271127801e-08
1982,1.9491557168294094e-07,6.393727147724348e-08
