year,des_DET honnêtes_ADJ,des_DET sonnettes_NOUN
1800,2.3266817095191072e-07,1.6978488170948935e-07
1801,1.2858386355674156e-07,1.3572740886758083e-07
1802,1.4769744893783354e-07,1.096541666356643e-07
1803,1.170203560718619e-07,2.86699872731333e-07
1804,7.662737999680758e-08,1.4831105943358125e-07
1805,9.665784261869703e-08,1.194008660831969e-07
1806,2.4206021631556496e-07,2.737585589329683e-07
1807,1.6512339584551228e-07,1.2526602688467392e-07
1808,1.155697759713803e-07,1.654234011994049e-07
1809,1.0617443280125372e-07,2.01053723003497e-07
1810,1.5444836920508465e-07,2.386929294218021e-07
1811,1.1532553401139012e-07,1.6295999216708879e-07
1812,1.2002436733382638e-07,7.734903562095496e-08
1813,1.0927818294703684e-07,1.2078115219082974e-07
1814,9.440031645269187e-08,7.237357380063258e-08
1815,1.1058616422587875e-07,9.979726867115346e-08
1816,1.4369143741532753e-07,2.1321955046005314e-07
1817,2.1484852652520203e-07,1.0119676829845048e-07
1818,1.5616741677604296e-07,1.4782260149281967e-07
1819,1.573359611484193e-07,1.004051863873201e-07
1820,1.5307760747873544e-07,1.495176604748849e-07
1821,2.761216850721837e-07,1.2622705325426864e-07
1822,2.2156611123591574e-07,9.624591257306747e-08
1823,2.0358334362757802e-07,1.1068609495623605e-07
1824,2.374753762524051e-07,9.431646486035561e-08
1825,1.4793143621183447e-07,1.602590600224829e-07
1826,1.788020875803653e-07,1.6206690645059751e-07
1827,1.3825909905840206e-07,9.954654656141315e-08
1828,1.8069433815881553e-07,1.2749498523589864e-07
1829,1.748927951905621e-07,1.2688300898844318e-07
1830,1.575962187416735e-07,1.0123730476152559e-07
1831,1.559120619276655e-07,9.198811312671751e-08
1832,1.677716170433996e-07,1.1635773511375902e-07
1833,1.4942881243484862e-07,1.1931138033105526e-07
1834,1.5495321292746667e-07,1.2881652367013885e-07
1835,1.8151411040889798e-07,1.1117739262545001e-07
1836,1.4113575375063192e-07,1.371032993802146e-07
1837,1.2106730196137505e-07,8.210311364109657e-08
1838,1.29399325032864e-07,1.470733776987032e-07
1839,1.3493547612597467e-07,8.739344015129547e-08
1840,8.34429214613408e-08,7.38883869644269e-08
1841,1.1428576129901558e-07,7.961480141815969e-08
1842,1.0062397848287219e-07,1.2209042665745073e-07
1843,1.3763103368091834e-07,8.505951853976512e-08
1844,1.125155080217155e-07,1.1855292658680128e-07
1845,1.2722919962016022e-07,1.1606873950853469e-07
1846,9.952652391120864e-08,1.1065007843313879e-07
1847,1.10561081179128e-07,8.790954630910619e-08
1848,1.6975417338471743e-07,1.1424215123900794e-07
1849,1.6758829524121666e-07,6.871120050710999e-08
1850,1.4800011705062843e-07,1.1541293520878071e-07
1851,1.1673483868435142e-07,9.093708386309629e-08
1852,1.4192988828654052e-07,8.919447225252952e-08
