year,divers_DET sentiers_NOUN
1800,2.829747991484055e-08
1801,4.7623651688866175e-09
1802,1.7902721083373763e-08
1803,3.900678446910888e-09
1804,4.943701892301533e-09
1805,2.842877711017877e-09
1806,2.881669125542885e-09
1807,2.8469551160981155e-09
1808,2.2660739951163578e-09
1809,9.036122072814123e-09
1810,1.6380887757350138e-08
1811,7.521229861140455e-09
1812,5.3344164641089264e-09
1813,2.0130190847567064e-08
1814,3.1466772298927026e-08
1815,1.0788894222457657e-08
1816,4.6352077731626196e-09
1817,6.227493631882908e-09
1818,2.384235475716423e-09
1819,2.070210003424222e-09
1820,4.746592452420373e-09
1821,2.9584463767662328e-09
1822,1.804610860745015e-08
1823,1.877710542608213e-08
1824,8.421112696055388e-09
1825,7.044354211060977e-09
1826,1.849676656284771e-08
1827,9.217273055917019e-10
1828,1.0089530988466322e-08
1829,6.001223351592699e-09
1830,1.7742620261884667e-08
1831,1.5591206103948707e-09
1832,1.6235963684607668e-08
1833,1.1583628278799551e-08
1834,1.773560875939495e-08
1835,5.294161553592858e-09
1836,5.376600054063374e-09
1837,2.7831563720326358e-09
1838,1.8305270410579055e-08
1839,1.3982950353153001e-08
1840,7.643626509512558e-09
1841,1.926164605592362e-08
1842,3.6895457355967665e-08
1843,2.3627643841450663e-08
1844,2.195424508855126e-08
1845,5.580227835366713e-09
1846,4.0981511517657054e-09
1847,6.47186837454683e-09
1848,1.6090443422100975e-09
1849,6.703532173801818e-09
1850,2.1724787302446202e-08
1851,2.257303499675345e-08
1852,5.208436348880241e-09
1853,1.7915795513800958e-09
1854,7.793496625829732e-09
1855,1.326734277995456e-08
1856,2.5885946719483854e-09
1857,3.905207268672939e-09
1858,8.808616891453624e-09
1859,1.171199848215565e-08
1860,1.1900678442700041e-08
1861,7.073945651470126e-09
1862,1.942734173532301e-08
1863,9.989241989138975e-09
1864,1.294576512655965e-08
1865,4.23615986733239e-09
1866,6.811858188626729e-09
1867,9.7056229719783e-09
1868,3.457911734727759e-09
1869,4.395167341186834e-09
1870,2.2936195165357276e-09
1871,5.3105884134652115e-09
1872,6.047339295989218e-10
1873,1.1972008939764578e-09
1874,5.377148060148329e-09
1875,4.577221879298321e-09
1876,2.418405919968336e-09
1877,3.0924081073635534e-09
1878,2.4156354139215352e-09
1879,4.887460214320072e-09
1880,2.5671385017744797e-09
1881,4.8807553554297556e-09
1882,1.9966155395678697e-09
1883,6.3193389410187706e-09
1884,1.3203393933736152e-09
1885,4.511945039809007e-09
1886,6.453463874400711e-10
1887,4.570247347235323e-09
1888,1.9021844099853524e-09
1889,4.385595664402331e-09
1890,3.2771931834929546e-09
1891,4.461953806433883e-09
1892,6.2685125978845235e-09
1893,1.2316833108982905e-09
1894,1.8904617871129403e-09
1895,6.6204757231957956e-09
1896,1.0024949648190784e-08
1897,7.574727511894253e-09
1898,6.7900258748920805e-09
1899,2.7637891975018647e-09
1900,1.038210628578895e-09
1901,8.941982321264419e-09
1902,1.4730852093691738e-09
1903,5.400220270956879e-09
1904,3.2247751136083025e-09
1905,3.096455536422127e-09
1906,4.115347507216427e-09
1907,1.5428529565042481e-09
1908,8.840499887696751e-09
1909,2.7504918342913243e-09
1910,1.6032452032632705e-09
1911,3.7242617878519013e-09
1912,1.5628263128064646e-09
1913,1.0075680512144913e-08
1914,4.68772043404897e-09
1915,3.534228465440492e-09
1916,0.0
1917,1.2063066989753679e-08
1918,4.594550517822427e-09
1919,5.524709134618888e-09
1920,3.028892692213958e-09
1921,7.572747762196741e-09
1922,8.115729421831475e-09
1923,7.431163684401554e-09
1924,5.156649773851996e-09
1925,5.499089184013428e-09
1926,1.1146138456652466e-09
1927,4.4596899506643695e-09
1928,3.4278122562625413e-09
1929,5.570202965543558e-09
1930,5.2518016602221e-09
1931,0.0
1932,2.1919073223131136e-09
1933,2.2941324395731044e-09
1934,7.188948103475923e-09
1935,0.0
1936,1.2124714565686645e-09
1937,2.5182236296217297e-09
1938,2.5930428915188486e-09
1939,1.5294050470515685e-09
1940,0.0
1941,0.0
1942,0.0
1943,0.0
1944,0.0
1945,4.357008087652048e-09
1946,2.7842208538686464e-09
1947,0.0
1948,2.174377566888097e-09
1949,9.817008317369869e-10
1950,1.0635361480382244e-09
1951,1.0661401761424827e-09
1952,6.326882129314981e-09
1953,0.0
1954,0.0
1955,9.385607846468247e-10
1956,1.744228317335228e-09
1957,0.0
1958,8.272243334772611e-09
1959,2.3252243464000344e-09
1960,2.076250060767393e-09
1961,6.948159270159238e-10
