year,mes_DET heures_NOUN,mes_DET soeurs_NOUN
1800,1.4148740490327327e-07,3.772997558826319e-08
1801,1.1905913055443307e-07,9.286612101533365e-08
1802,2.215461734067503e-07,4.4756802708434407e-08
1803,1.2287136885724692e-07,1.4822578275897058e-07
1804,2.2741028504746907e-07,6.426812504400914e-08
1805,2.2174445368783324e-07,9.38149671281252e-08
1806,1.4120178093435243e-07,5.4751711608957976e-08
1807,5.124519342203371e-08,3.9857372513552036e-08
1808,7.931259204951857e-08,4.078933102391602e-08
1809,1.0391540428145163e-07,7.680704072754452e-08
1810,1.614687459294828e-07,3.8846105354650717e-07
1811,1.1031138047457034e-07,6.016984377410495e-08
1812,1.5203086523030152e-07,7.468182872116813e-08
1813,8.91479885467561e-08,1.2940836779939957e-07
1814,1.0698702279654526e-07,6.922689799182535e-08
1815,1.1058616755654782e-07,2.966945977789237e-08
1816,9.270415368689555e-08,7.416332614695875e-08
1817,8.407116647290991e-08,2.6466848268569265e-08
1818,1.3828566114426621e-07,4.172412104708201e-08
1819,9.522966104569264e-08,1.9666995365597018e-08
1820,1.768105697408373e-07,3.5599444281331216e-08
1821,1.7257603934783816e-07,9.368414000121561e-08
1822,9.223566621585633e-08,6.215881853677274e-08
1823,1.759118284372363e-07,2.4706717560718516e-08
1824,1.330535788213183e-07,2.3579116437133507e-08
1825,2.509551235707619e-07,2.9057961592471315e-08
1826,1.136229960119195e-07,2.6423952803611428e-08
1827,8.479890922785671e-08,1.382590963938668e-08
1828,1.1190207721556433e-07,5.044765538642082e-08
1829,7.973053384180417e-08,2.3147575411996968e-08
1830,2.0873672124110954e-07,1.9829987651931447e-08
1831,1.699441458669071e-07,2.0268567268999504e-08
1832,2.056555400420379e-07,3.3824923306724486e-08
1833,2.5136474113285345e-07,3.822597460789723e-08
1834,2.445647069304613e-07,2.146942090774928e-08
1835,2.458003507399553e-07,4.0084366048631637e-08
1836,1.5793763202820443e-07,4.435694939131096e-08
1837,2.0664936117853472e-07,2.5048406460115302e-08
1838,1.7800297280601285e-07,1.704283758563463e-08
1839,2.572862909389073e-07,1.0487213097931658e-08
1840,1.9873428636074664e-07,4.5861758557474985e-08
1841,1.8298563952967584e-07,3.146068783266287e-08
1842,2.596098456209006e-07,2.5491407207312022e-08
1843,1.5180761253619224e-07,1.7720733602732963e-08
1844,1.2733462201319767e-07,1.701453922198226e-08
1845,1.2388106351846062e-07,6.528866647315112e-08
1846,1.3875168702881524e-07,2.9272507529043423e-08
1847,1.3914516472368632e-07,8.629157832729106e-09
1848,1.777993990925708e-07,2.654923075828819e-08
1849,2.438409689720089e-07,1.8434711979153917e-08
1850,1.7447720335184158e-07,4.209177539848952e-08
1851,1.1931461618708283e-07,9.674157919192794e-09
1852,1.5169570155570966e-07,1.5625308824596118e-08
1853,1.6781128420184643e-07,1.4929829372789527e-08
1854,1.4391990688089606e-07,1.2469594468100809e-08
1855,2.563250518505811e-07,2.2289135870323662e-08
1856,1.905205626595574e-07,1.7084723580307326e-08
1857,2.8996165024608445e-07,2.29430920373197e-08
1858,2.21683523982108e-07,1.8595968931389706e-08
1859,2.729404897650056e-07,3.513599677873458e-08
1860,3.071290400613602e-07,2.10550463730641e-08
1861,2.4051415198345083e-07,1.2261506143751433e-08
1862,2.837295289825903e-07,4.51798634615308e-08
1863,2.8369445570497476e-07,5.394190472074456e-08
1864,2.2247537945219165e-07,2.1096803415332488e-08
1865,2.2122168097382655e-07,2.4475589999184422e-08
1866,2.3063005016865645e-07,4.0384586785791043e-08
1867,2.2856742276644582e-07,1.5043715606566366e-08
1868,1.9463104472539072e-07,1.778354663528603e-08
1869,2.4417595978487583e-07,1.6115612955225345e-08
1870,1.38763975421341e-07,9.1744776220537e-09
1871,1.9542966533947492e-07,2.4428708167434365e-08
1872,2.1528527827108235e-07,5.9263923213315195e-08
1873,2.131017637907462e-07,2.154961603606509e-08
1874,2.4197166936801295e-07,2.987304642543265e-08
1875,2.2485601530730648e-07,1.602027577263243e-08
1876,3.162065769224398e-07,2.8416269337583344e-08
1877,2.0904677899835633e-07,2.6594708213423246e-08
1878,1.8781565502834496e-07,2.657198971967034e-08
1879,2.3337622945263092e-07,2.8102896232340413e-08
1880,2.265499663423043e-07,1.4119261537715033e-08
1881,2.3288175809987877e-07,1.3247764385493355e-08
1882,2.2095878327021978e-07,6.655385287324123e-08
1883,1.9905917758578084e-07,3.222862826612882e-08
1884,2.310593911758474e-07,1.2543224237049344e-08
1885,1.5211699561090697e-07,1.998147086679225e-08
1886,1.819876882525051e-07,1.6779006350997605e-08
1887,2.134958294597311e-07,4.439668704891986e-08
1888,2.2572588553870787e-07,5.896771737567974e-08
1889,1.9923134386701236e-07,3.947036242291091e-08
1890,2.241600230434848e-07,1.7696843102044113e-08
1891,2.0206278017464996e-07,1.848523834002691e-08
1892,1.9933869688237849e-07,2.5700900296854456e-08
1893,1.7674655450328203e-07,1.7243566796665277e-08
1894,2.3000618254442884e-07,2.0164925063070882e-08
1895,2.768562805677277e-07,1.8657704492497373e-08
1896,2.1877977995909959e-07,1.828079038146413e-08
1897,1.8878552632273227e-07,1.631479795705104e-08
