year,serions_VERB en_ADP,serions_VERB sans_ADP
1800,9.746909768182377e-08,8.174827570428533e-08
1801,8.096020565062645e-08,5.2386017301842e-08
1802,1.656001700212073e-07,7.161088433349505e-08
1803,7.606323038089613e-08,9.751696339321825e-09
1804,1.458392091535643e-07,4.449331569844617e-08
1805,1.2792949632967066e-07,5.685755510853596e-08
1806,1.2391177506287931e-07,8.933174200365102e-08
1807,9.11025637151397e-08,4.555128185756985e-08
1808,1.0877155176558517e-07,5.211970233176544e-08
1809,8.810219043198231e-08,2.25903047379461e-08
1810,1.9657065308820165e-07,2.106114038724627e-08
1811,5.264861258069686e-08,1.2535384286138651e-08
1812,4.5342538612658245e-08,2.6672083208723052e-08
1813,4.601186631703058e-08,1.4378708002027452e-08
1814,3.1466772298927026e-08,1.8880061958270744e-08
1815,1.2407228666688752e-07,1.6183340889597275e-08
1816,1.4137383175238938e-07,6.489290882427667e-08
1817,9.341240314597599e-08,4.0478710161551135e-08
1818,1.3351719019283337e-07,2.6226590676969863e-08
1819,1.583710655950199e-07,6.728182455617571e-08
1820,1.7918387129611801e-07,8.306536614099969e-08
1821,1.7652064343565144e-07,5.719663320746804e-08
1822,2.1454818011079624e-07,4.0102463572111446e-08
1823,1.4824030358795426e-07,6.226093063332883e-08
1824,9.515857612996115e-08,2.6947560627377243e-08
1825,1.3560382683408534e-07,7.396572243578703e-08
1826,2.334115833946271e-07,3.52319382557198e-08
1827,1.0415518403306123e-07,3.3182182335167454e-08
1828,1.0548146178734896e-07,6.970948618345574e-08
1829,7.973054039212002e-08,2.1432940755516938e-08
1830,1.5550885734683106e-07,4.696576283436116e-08
1831,2.2451337144957506e-07,1.870944643656003e-08
1832,1.204167290325131e-07,2.0294953273491956e-08
1833,1.4016190164056752e-07,2.20088942626262e-08
1834,1.3068343207578437e-07,6.534171603789218e-08
1835,1.8983351424139983e-07,7.033671778344797e-08
1836,2.1103154779211764e-07,4.704525125021064e-08
1837,1.2941677596245427e-07,5.0096815584765864e-08
1838,1.5780405249188334e-07,4.102905393210676e-08
1839,9.788065113980338e-08,2.9364196407755117e-08
1840,1.5159858435254137e-07,2.7389662093924017e-08
1841,1.5987166079867166e-07,6.934192242624704e-08
1842,1.3148199684565043e-07,6.104521332872537e-08
1843,1.7543526098506845e-07,3.36693943836508e-08
1844,1.7014539821502694e-07,6.586273570974299e-08
1845,1.6852288808877347e-07,2.4553003186156275e-08
1846,1.5221704074974696e-07,4.0981507964943376e-08
1847,1.396844879764103e-07,2.2651539310913904e-08
1848,1.1906928421012708e-07,3.378993085334514e-08
1849,1.0725651122811541e-07,1.6758828991214614e-08
1850,1.5546801535037957e-07,5.0238568860550004e-08
1851,1.5607642467330152e-07,2.5152811389261842e-08
1852,1.3086196304357145e-07,4.427170807730363e-08
1853,1.409375869343421e-07,2.7470886010405593e-08
1854,1.4703729789289355e-07,4.052618152172727e-08
1855,1.369189703837037e-07,3.92713346286655e-08
1856,1.6877636710432853e-07,4.141751475117417e-08
1857,1.3619410310639068e-07,2.7336451324799782e-08
1858,1.5464016200894548e-07,5.04048642824273e-08
1859,1.476730204785781e-07,5.092173438470127e-08
1860,1.327383358784573e-07,5.309533435138292e-08
1861,1.4383689972419234e-07,3.961409689168249e-08
1862,1.617439124856901e-07,4.427626620895353e-08
1863,1.818041965861994e-07,3.596127129412707e-08
1864,1.5151340448937844e-07,4.3632024215867204e-08
1865,1.7415324293779122e-07,3.4830648587558244e-08
1866,1.1774783104101516e-07,2.968023871119385e-08
1867,1.44613778729763e-07,3.202855580752839e-08
1868,1.1411108857828367e-07,3.309715523869272e-08
1869,2.0120099009091064e-07,5.6648822521765396e-08
1870,1.9667787398702785e-07,5.734048613703635e-08
1871,1.646282470346705e-07,6.054071377548098e-08
1872,1.6932550295223336e-07,4.475031190054324e-08
1873,1.292977032107956e-07,4.309923085088485e-08
1874,1.469753811988994e-07,2.6885741633009275e-08
1875,1.9281546315141895e-07,2.2313955128083762e-08
1876,1.7654363659858063e-07,2.539326260375674e-08
1877,1.5214646964523126e-07,2.288381928394756e-08
1878,1.5278894238690555e-07,3.5026715750063886e-08
1879,1.692283149168361e-07,3.665595116331133e-08
1880,1.5210295600809332e-07,3.786529134686134e-08
1881,1.485144167645558e-07,2.7890029841159958e-08
1882,1.7769878013496054e-07,3.8601232432711186e-08
1883,1.8578856497697416e-07,1.3902545781263598e-08
1884,1.9210938262403943e-07,2.970763546272792e-08
1885,1.5147243459523452e-07,2.707166935067562e-08
1886,1.4778431989270757e-07,2.710454793941608e-08
1887,1.9978509158136148e-07,2.415702127223085e-08
1888,2.0416779022980336e-07,1.5851536971922542e-08
1889,1.6602612618044077e-07,2.318100555953606e-08
1890,1.8090106834733888e-07,2.7528423984790606e-08
1891,1.4405736692424398e-07,1.784781566982474e-08
1892,1.849211201943035e-07,2.820830502514582e-08
1893,1.4287526539646933e-07,1.7859408174558666e-08
1894,1.506067945911127e-07,3.843938856107343e-08
1895,1.3842813473274873e-07,2.9491211250842753e-08
1896,1.8162849357850064e-07,1.533227589334274e-08
1897,1.5091188743099337e-07,2.2141511735185304e-08
1898,1.7767234794519027e-07,7.355861253444118e-09
1899,1.4095324729623826e-07,2.819064981451902e-08
1900,1.6663280177908746e-07,2.180242297811219e-08
1901,2.0734221095608518e-07,2.179608138419553e-08
1902,1.851176989475789e-07,3.1425816615637814e-08
1903,1.738870878398302e-07,2.214090244478939e-08
1904,1.9509889170876704e-07,8.599400302955473e-09
1905,1.7133720575657208e-07,2.631987072732045e-08
1906,2.057673782474012e-07,1.9033482345776065e-08
1907,1.7537095686748216e-07,3.4971336049238744e-08
1908,1.7779228755898657e-07,2.8486056180554442e-08
1909,1.6778000144768157e-07,2.53045246978445e-08
1910,1.5818686449620145e-07,5.557916793463846e-08
1911,1.612073390333535e-07,1.8621308939259507e-08
1912,1.6253393653187231e-07,3.0735584743979416e-08
1913,1.5961998656166543e-07,2.704524781904638e-08
1914,1.5737347780486743e-07,2.8795998474606677e-08
1915,1.7788950401609327e-07,3.7698438148936475e-08
