year,des_DET eaux_NOUN,des_DET sots_NOUN
1800,1.2161627836348998e-05,7.608878291875953e-07
1801,1.0810568916497232e-05,6.238698393445929e-07
1802,1.0750584408469877e-05,6.646385202202509e-07
1803,1.2193521158110343e-05,4.466276841696981e-07
1804,1.1934096463050992e-05,8.948100145289573e-07
1805,1.0493061409988513e-05,8.727634295269127e-07
1806,8.725694257805117e-06,7.924590077479365e-07
1807,1.0451171831959982e-05,4.669006514745888e-07
1808,9.442730757314166e-06,3.671039756625305e-07
1809,1.143069447095968e-05,6.935223879622754e-07
1810,9.154575806746834e-06,6.716163802877873e-07
1811,1.0775416043884434e-05,4.66316286917845e-07
1812,1.0788856940280311e-05,9.361900907833842e-07
1813,9.303023773554742e-06,7.937047001860265e-07
1814,7.325464238761015e-06,4.814415959231155e-07
1815,9.127404766218206e-06,5.178669253425028e-07
1816,8.081484850208653e-06,5.145080415047687e-07
1817,7.968077664344264e-06,9.652615204913673e-07
1818,8.528410489816451e-06,8.678617398061306e-07
1819,8.172153641794466e-06,7.639074937060286e-07
1820,7.181594508409717e-06,7.202953860030448e-07
1821,6.7215905588113856e-06,1.2109907387980456e-06
1822,8.149823329972605e-06,8.331286807106153e-07
1823,6.7113327801848754e-06,8.034624237041044e-07
1824,7.527632703840936e-06,5.987411384467123e-07
1825,7.487268231187727e-06,6.877051177411886e-07
1826,8.103345280119356e-06,5.645917866559103e-07
1827,7.783987014065019e-06,5.668622957699654e-07
1828,7.69739506267797e-06,6.136269470324862e-07
1829,8.64176151793572e-06,6.738516162840824e-07
1830,8.167867537878237e-06,5.625454306823485e-07
1831,8.966502967666656e-06,5.644016809469576e-07
1832,8.223515258976022e-06,8.510350646417919e-07
1833,9.679280147167901e-06,6.208825027442799e-07
1834,8.237723786663764e-06,4.0605209861155345e-07
1835,8.491078808958719e-06,4.0386888855437064e-07
1836,6.8820482610476574e-06,4.200468763926324e-07
1837,7.70795137583491e-06,3.9729558043433144e-07
1838,7.458450674846517e-06,3.8441066863015294e-07
1839,6.9446324175714835e-06,3.0552746466128156e-07
1840,7.442981001304361e-06,3.637092120811758e-07
1841,7.3110786047436704e-06,3.576245664049793e-07
1842,6.6042869377724855e-06,3.9042101640518467e-07
1843,7.415536231292208e-06,3.508705317400995e-07
1844,7.332169111862186e-06,2.930891715990924e-07
1845,7.733079932847886e-06,3.05796479693754e-07
1846,7.986125666548105e-06,3.606372898090626e-07
1847,6.925438384541849e-06,2.782903445464058e-07
1848,6.943831074579521e-06,3.8214803677050213e-07
1849,7.152668619170299e-06,3.4774571622264716e-07
1850,6.721785084096155e-06,2.403304577569543e-07
1851,7.5155312018182485e-06,3.263415973009387e-07
1852,8.450037128682197e-06,3.079487971291428e-07
1853,7.715138671926525e-06,3.3562258039410153e-07
1854,8.09380572519558e-06,3.6785303159092564e-07
1855,8.42688534419267e-06,3.943054167621085e-07
1856,7.945431899969435e-06,3.0597187006264903e-07
1857,8.011532955265466e-06,4.393358077336984e-07
1858,7.1614053993585e-06,4.4189894587987055e-07
1859,8.112850899522073e-06,4.659338594947826e-07
1860,7.203114428477875e-06,4.238472239848079e-07
1861,7.572423086799063e-06,4.1028884556482126e-07
1862,7.998191151159517e-06,2.918619097513897e-07
1863,7.627784853525554e-06,3.990702115430622e-07
1864,7.602041137033666e-06,3.8501665589052436e-07
1865,7.054618528457013e-06,3.6195633601465715e-07
1866,7.208892000676315e-06,3.5664943531799054e-07
1867,7.036091247414333e-06,3.1931499933079976e-07
1868,7.288290028384381e-06,2.914525691899428e-07
1869,6.767580892130809e-06,3.3061425508407183e-07
1870,7.1973782382883655e-06,3.2512056513667176e-07
1871,6.624428294799145e-06,3.366913210456346e-07
1872,6.733107710488184e-06,2.588261196478925e-07
1873,8.112831608286797e-06,2.837366173125133e-07
1874,7.736521247636574e-06,3.292009589372924e-07
1875,7.623934770606411e-06,4.2568161973122187e-07
1876,7.904559844007508e-06,4.2563943303264296e-07
1877,7.546712389228105e-06,4.3293712970182696e-07
1878,7.1859116275163615e-06,4.0763848785374535e-07
1879,7.152798069398614e-06,4.1971065378731964e-07
1880,7.279762776590815e-06,3.7030973665252986e-07
1881,7.238857200775328e-06,4.2113945397659336e-07
1882,7.0413976160921266e-06,3.507387966728004e-07
1883,7.053014144275949e-06,3.526191214575647e-07
1884,6.847280161537128e-06,3.155611176808293e-07
1885,7.208154563898006e-06,2.848971076829798e-07
1886,6.695468691475526e-06,3.168650732909839e-07
1887,7.375726312375264e-06,2.859668959409589e-07
1888,6.678569661744405e-06,2.434796089190172e-07
1889,6.352222271743813e-06,2.881962863909848e-07
1890,6.851300383914349e-06,2.1170668829118e-07
1891,6.857385699277074e-06,2.4859457958825715e-07
1892,7.3040705999005695e-06,2.457256851329248e-07
1893,6.971327501048563e-06,2.2909309027596692e-07
1894,7.339402820605301e-06,2.835692569647108e-07
1895,6.161255665659837e-06,2.2991106796155236e-07
1896,6.510909507539964e-06,2.2408710642629615e-07
1897,6.841144177371916e-06,1.934468834008385e-07
1898,6.608392482121417e-06,2.772593932220957e-07
1899,6.924950255893236e-06,2.64771012226106e-07
1900,6.856861965331973e-06,2.2425350199029026e-07
1901,6.472318631267626e-06,2.3081492006582494e-07
1902,6.062236636239504e-06,2.2881922068229699e-07
1903,7.404242083453028e-06,2.5705049777613453e-07
1904,6.919829928619947e-06,2.1498500757388683e-07
1905,6.729629639323775e-06,2.456521288607405e-07
1906,6.96574034719788e-06,1.8621947872610178e-07
1907,6.356554379749468e-06,2.5405645293075096e-07
1908,6.3288159140029165e-06,2.59321337736651e-07
1909,6.2133607130476776e-06,2.6679771636395344e-07
1910,7.122683996385604e-06,2.784302486347201e-07
1911,6.413179164610483e-06,3.027293025148481e-07
1912,6.157015072005834e-06,3.1048149295997973e-07
1913,5.958439423636719e-06,2.762857675975283e-07
1914,5.755851248068211e-06,2.3840406981889828e-07
1915,5.268356662924134e-06,2.2265639909591073e-07
1916,4.6861523514962755e-06,2.626003450245662e-07
1917,4.420565666407583e-06,2.182318405985484e-07
1918,4.654279464944011e-06,2.5155164440349154e-07
1919,4.755853723281689e-06,2.384832722412966e-07
1920,5.151389402158202e-06,2.733575557023471e-07
1921,5.319097759581837e-06,2.9230806308788715e-07
1922,5.0915132021600584e-06,2.4642305174182866e-07
1923,5.053191209469787e-06,3.4820309835481567e-07
1924,5.75997785290383e-06,3.1584480364443834e-07
1925,5.5727766365976095e-06,3.2224660895252555e-07
1926,5.224195156472433e-06,3.042895801996792e-07
1927,5.202228344103332e-06,4.872211238904356e-07
1928,5.289114298534514e-06,2.559433331938976e-07
1929,5.342938777630479e-06,3.2752794520973794e-07
1930,4.97450676562039e-06,3.2141025707588256e-07
1931,4.785687728769972e-06,2.5776106404862276e-07
1932,5.736221488916726e-06,2.6741267911134514e-07
1933,4.8887962478261215e-06,2.1908964553674082e-07
1934,4.89088120048109e-06,2.1447028331067486e-07
1935,4.832793294440307e-06,3.159627022242262e-07
1936,5.008719377030957e-06,2.6310630918402467e-07
1937,4.882835717978651e-06,2.1782633741196378e-07
1938,5.153672823610123e-06,2.554147346955915e-07
1939,5.677151669658542e-06,2.3399897841613893e-07
1940,5.773977530765251e-06,2.586498604184584e-07
1941,5.776090482356722e-06,2.9810175306010933e-07
1942,5.291665118534183e-06,2.882501302092777e-07
1943,6.21001997913595e-06,3.13549407326974e-07
1944,4.4920344279830715e-06,2.859735808158348e-07
