year,beaux_ADJ yeux_NOUN,beaux_ADJ cieux_NOUN
1800,1.8644894907993148e-06,6.288328968651058e-09
1801,2.5192912289639935e-06,2.3811825844433088e-09
1802,1.7544666661706287e-06,2.2378401354217203e-09
1803,2.2623935365118086e-06,0.0
1804,2.597915454316535e-06,9.887403784603066e-09
1805,2.1406870018836344e-06,1.7057266488151868e-08
1806,1.948008275576285e-06,5.76333825108577e-08
1807,1.7537244048071443e-06,4.839823830593559e-08
1808,2.071191602226463e-06,5.211970011131939e-08
1809,1.6942728962021647e-06,9.036122072814123e-09
1810,2.6677444111555815e-06,2.8081521108447305e-08
1811,2.4694707008166006e-06,5.766276700569506e-08
1812,2.768562126220786e-06,1.8670457180292033e-08
1813,3.056913328691735e-06,2.8757416448144113e-09
1814,1.3121643860358745e-06,1.5733386149463513e-08
1815,8.388365131395403e-07,3.236668177919455e-08
1816,1.2468708519008942e-06,1.622322720606917e-08
1817,1.7654944031164632e-06,2.9580593974287694e-08
1818,1.8346692058912595e-06,1.1921177378582115e-09
1819,1.6385712342525949e-06,3.2088255608186955e-08
1820,2.2047922811907483e-06,5.93324074316115e-08
1821,1.8066247093884158e-06,2.2681422962023134e-08
1822,1.7885698753161705e-06,1.4035862250239006e-08
1823,1.888581437015091e-06,2.174191138237802e-08
1824,1.9772771793213906e-06,3.115811608722652e-08
1825,2.292056933583808e-06,4.4027217427355936e-09
1826,1.6056955018939334e-06,2.3781558056157337e-08
1827,1.0774991778816911e-06,4.608636583469661e-09
1828,1.3886864280721056e-06,3.668920500743411e-09
1829,1.7609303313292912e-06,1.3717081692732336e-08
1830,2.0602312815753976e-06,6.262101504006523e-09
1831,1.8459987813912448e-06,0.0
1832,2.320389739907114e-06,2.1647950987357945e-08
1833,2.0711527213279624e-06,2.2008894817737712e-08
1834,1.5439313756360207e-06,6.534171426153534e-09
1835,1.6578288750679349e-06,6.806779140333674e-09
1836,1.78570326170302e-06,4.704525213838906e-09
