year,deux_DET eaux_NOUN,deux_DET sauts_NOUN
1800,3.8673223912155663e-07,3.772997558826319e-08
1801,3.119349116786907e-07,5.9529565277216534e-08
1802,7.250602038766374e-07,8.280008501060365e-08
1803,2.554944273924775e-07,5.070882025393075e-08
1804,2.644880510160874e-07,2.4718509905596875e-08
1805,3.0703080255989335e-07,5.685755510853596e-08
1806,1.556101381083863e-07,5.4751712497136396e-08
1807,1.9074599322266295e-07,1.4234775136401367e-08
1808,3.580396992219903e-07,2.2660739062985158e-08
1809,4.947276579514437e-07,6.7770917766551975e-09
1810,2.0593115834799391e-07,4.212228077449254e-08
1811,2.1310152220621603e-07,1.0028307073639553e-08
1812,1.2802598803318688e-07,1.600324850414836e-08
1813,3.077043686516845e-07,4.888760685162197e-08
1814,9.125363931161701e-08,1.5733386149463513e-08
1815,1.4834729711310501e-07,1.8880564667256294e-08
1816,3.383701709935849e-07,1.1588019432906549e-08
1817,1.977229260319291e-07,2.80237220096069e-08
1818,2.84916149784209e-07,1.4305412854298538e-08
1819,2.6291667154509923e-07,2.3807414706311647e-08
1820,1.96983592104516e-07,4.034603762193001e-08
1821,2.1202200173320307e-07,2.9584464655840748e-08
1822,1.5539704634193185e-07,1.0727409005539812e-07
1823,1.9765373338032077e-07,4.941343334508019e-08
1824,1.8779081756292726e-07,3.536867154707579e-08
1825,2.606411271255382e-07,3.522177394188475e-08
1826,3.805049288985174e-07,2.4662355713189754e-08
1827,2.562401846262219e-07,2.2121454890111636e-08
1828,1.742737225640667e-07,4.769596628761974e-08
1829,2.734843072005333e-07,5.915491385621863e-08
1830,2.2752301731543412e-07,6.888311787633938e-08
1831,2.229542468423773e-07,7.639690835503643e-08
1832,2.1783250758744543e-07,7.982681893281551e-08
1833,2.6294836175111413e-07,5.90765054653275e-08
1834,2.5016544213940506e-07,3.267085801894609e-08
1835,2.9269151013977535e-07,4.235329242874286e-08
1836,2.1371985781115654e-07,3.5619976301859424e-08
1837,3.082345728655511e-07,5.427154903259179e-08
1838,2.379685055675651e-07,3.66105403770689e-08
1839,1.8177836125232716e-07,2.6567605004856887e-08
1840,1.9554944685751252e-07,3.503328604992362e-08
1841,2.3370796498056734e-07,1.8619591202195807e-08
1842,1.9319803179485007e-07,2.4149754196400863e-08
1843,1.9374668625005143e-07,2.2446261738195972e-08
1844,1.877087925095111e-07,1.920996517412732e-08
1845,2.2209307815046486e-07,2.17628883802945e-08
1846,2.3944911009543546e-07,1.8734404472198207e-08
1847,1.65032645327301e-07,7.550513103637968e-09
1848,1.5125016261663404e-07,2.654923214606697e-08
1849,1.5585712276333652e-07,1.4245005175439474e-08
1850,1.6904599853262425e-07,1.765138968323754e-08
1851,1.5027193001060368e-07,1.0319102017319892e-08
1852,2.0833745395520964e-07,3.059956199535918e-08
1853,2.538071157687227e-07,2.329053394589664e-08
1854,1.8964175563240815e-07,1.9743524148907454e-08
1855,2.3668939874710304e-07,2.3350523292720027e-08
1856,1.8275478141926982e-07,2.847454005916461e-08
1857,2.7580525463477557e-07,2.4895696171256532e-08
1858,2.025981833408963e-07,4.893675864536817e-08
1859,2.597008528226752e-07,3.1571474323754956e-08
1860,2.4716792201839866e-07,2.1055045706930287e-08
1861,2.1316155418560356e-07,2.263662679524714e-08
1862,2.512000492060906e-07,1.3102160245637151e-08
1863,2.2625632700723486e-07,2.097740825490746e-08
1864,3.1932889443808676e-07,3.068625886726295e-08
1865,3.0406213258338255e-07,2.4946275767323556e-08
1866,3.0604706369175005e-07,2.919367680931373e-08
1867,2.0964146330015865e-07,2.523461972714358e-08
1868,3.7197252522602753e-07,2.3711395513714706e-08
1869,2.500361775403803e-07,2.24641887314192e-08
1870,2.9645032917358094e-07,2.6376625328339287e-08
1871,3.313807326321694e-07,3.611200227737754e-08
1872,2.3100835733202985e-07,3.3260366905096816e-08
1873,2.4722197355941944e-07,2.21482157058972e-08
1874,2.4973866263877653e-07,3.1665429389704514e-08
1875,3.2269414429464405e-07,2.9179789251543298e-08
1876,2.9867314310649817e-07,2.5997863417615008e-08
1877,3.6861502650253897e-07,3.710889728836264e-08
1878,2.6571990474622e-07,1.5701630218245555e-08
1879,3.048553307571922e-07,3.604501941367744e-08
1880,2.7147488346201953e-07,4.043243251317108e-08
1881,3.158545851533745e-07,4.3229546664580454e-08
1882,3.108064907664243e-07,1.3310770263785798e-08
1883,3.4756363653798417e-07,4.549923993124594e-08
1884,3.630933216314247e-07,2.970763546272792e-08
1885,2.945655560582239e-07,2.900535994720954e-08
1886,3.4913240387624e-07,1.677900662855336e-08
1887,3.832478638887693e-07,2.7421483750345033e-08
1888,3.265416665954035e-07,1.1413106904001324e-08
1889,2.618827292799608e-07,1.0650732740202784e-08
1890,2.91670203989014e-07,2.0318598359381213e-08
1891,2.5305653839069464e-07,1.7210394887001712e-08
1892,2.3757662592771567e-07,2.4447197599641868e-08
1893,2.4818419330774333e-07,3.2639608404938514e-08
1894,2.6340435121952055e-07,2.2685540557176864e-08
1895,2.5518925816925275e-07,1.8055843931108484e-08
1896,2.2054888337841305e-07,1.1204354777305525e-08
1897,3.123118581527251e-07,1.5732126712464378e-08
1898,2.3878257504605926e-07,2.9423445013776472e-08
1899,3.0346405388570474e-07,1.879376654301268e-08
1900,2.922562937213158e-07,4.0490213626398486e-08
1901,2.0957771351692855e-07,2.4590450786732276e-08
1902,2.563168124414261e-07,1.9150106222998176e-08
1903,2.543503780927381e-07,9.720396931811592e-09
1904,3.257022891389738e-07,2.042357571951925e-08
1905,3.158384638268785e-07,1.3934049136743454e-08
1906,2.6441109790553696e-07,1.4403716441790948e-08
