year,seriez_VERB en_ADP,seriez_VERB sans_ADP
1800,6.288328791015374e-08,1.5720821977538435e-08
1801,3.5717739876872656e-08,5.000483582762172e-08
1802,4.2518962573012686e-08,6.713520406265161e-08
1803,2.3404069793286908e-08,2.9255089017965474e-08
1804,5.19088700912107e-08,4.2021465418429216e-08
1805,6.822906328807221e-08,6.822906328807221e-08
1806,7.492339904047185e-08,5.4751712497136396e-08
1807,5.124519120158766e-08,3.4163463169534225e-08
1808,6.798222074166915e-08,4.758755522971114e-08
1809,3.162642769893864e-08,4.0662548883574345e-08
1810,7.020380365929668e-08,4.914266327205041e-08
1811,2.0056614147279106e-08,2.5070767684098882e-09
1812,3.467370746079723e-08,8.00162425207418e-09
1813,2.0130190847567064e-08,2.0130190847567064e-08
1814,3.1466772298927026e-08,9.440030979135372e-09
1815,5.394447111228828e-09,2.697223555614414e-09
1816,6.025770460382773e-08,1.3905623319487859e-08
1817,9.341240314597599e-08,4.203558034987509e-08
1818,4.410835785506606e-08,2.8610825708597076e-08
1819,7.866798057420965e-08,4.0369094733705424e-08
1820,9.255855104584043e-08,8.306536614099969e-08
1821,1.23268605989324e-07,1.7750679148775816e-08
1822,7.920236555492011e-08,1.0025615893027862e-08
1823,7.510841726343642e-08,2.174191138237802e-08
1824,7.831634718513669e-08,1.8526447931321854e-08
1825,1.2327620879659662e-07,5.6354835464844655e-08
1826,9.336463335785083e-08,1.8496766784892316e-08
1827,1.0231173064312316e-07,2.8573547083965423e-08
1828,5.961995697134626e-08,3.66892045633449e-08
1829,6.601345603485242e-08,2.4004892296147773e-08
1830,4.800944353178238e-08,5.4271545479878114e-08
1831,7.016042502527853e-08,3.897801548191637e-08
1832,5.411987658021644e-08,2.976593194148336e-08
1833,6.834341093053808e-08,1.3900354645102198e-08
1834,3.453776287187793e-08,2.0535967593104942e-08
1835,7.789980571715205e-08,3.025235173481633e-08
1836,6.787957573806125e-08,3.1587525484155776e-08
1837,9.323574090558395e-08,1.461157062010443e-08
1838,1.249808008196851e-07,2.3354999711955315e-08
1839,9.019002789045771e-08,3.705481788074394e-08
1840,9.490835850556323e-08,1.4013314952876499e-08
1841,7.833069304297169e-08,1.1556987367100646e-08
1842,7.647422251011449e-08,2.884553929050071e-08
1843,8.446883015267304e-08,1.5357969118667825e-08
1844,6.641159444598088e-08,2.9638231424655714e-08
1845,5.970844085823046e-08,4.185170965342877e-08
1846,6.030136034951283e-08,1.9319854160926297e-08
1847,9.977463832910871e-08,2.0494249852731627e-08
1848,8.769291781618449e-08,2.896279838182636e-08
1849,5.362825561405771e-08,1.9272654583346593e-08
1850,5.838536765168101e-08,2.1724787302446202e-08
1851,5.546517201082679e-08,2.1283147688677673e-08
1852,8.398603768000612e-08,1.5625309046640723e-08
1853,5.1358615138497044e-08,2.8665272822081533e-08
1854,1.080698197597485e-07,3.221311928314208e-08
1855,7.8542669257331e-08,3.3964397516683675e-08
1856,6.264399132760445e-08,1.2942972915652717e-08
1857,9.128422107096412e-08,2.001418764052687e-08
1858,8.808616769329092e-08,2.300027723833864e-08
1859,7.027199444564758e-08,2.6988518087023294e-08
1860,7.048863182035348e-08,2.1512764902809067e-08
1861,6.083593007133459e-08,1.2733101684148096e-08
1862,1.1746764272402288e-07,2.3945327498609004e-08
1863,8.740586565636477e-08,2.097740825490746e-08
1864,9.54150891629979e-08,2.349416661218129e-08
1865,7.90749865586804e-08,3.577201823645737e-08
1866,8.368854054197072e-08,2.2868380966656332e-08
1867,9.074757656435395e-08,1.9896527092555516e-08
1868,6.125443974269729e-08,1.1855697756857353e-08
1869,7.325278517100742e-08,1.3673853160867111e-08
1870,7.798306000950106e-08,2.3509599600401998e-08
1871,4.991953161948004e-08,2.1242353653860846e-08
1872,6.168286148522384e-08,3.38650991693612e-08
1873,5.5071240012694034e-08,1.5563610844537834e-08
1874,6.572069821686455e-08,9.559374625212058e-09
1875,9.097227859911072e-08,2.460256709468922e-08
1876,3.808989390563511e-08,2.0556450763820067e-08
1877,6.49405649255641e-08,2.535774612510977e-08
1878,4.7708802242141246e-08,2.1740719446938783e-08
1879,8.369775628125353e-08,2.1993571408529533e-08
1880,6.417846520889725e-08,1.2193908105473383e-08
1881,7.600033313792665e-08,1.045876096839038e-08
1882,6.788492612486152e-08,2.5956001792337702e-08
1883,4.3603439081607576e-08,2.0853818227806187e-08
1884,6.46966284989503e-08,1.1222884843675729e-08
1885,4.447488777259423e-08,1.4824961702686323e-08
1886,4.904632433522238e-08,1.4197620856748472e-08
1887,5.092561039532484e-08,1.566941953967671e-08
1888,4.438430423192585e-08,8.242799331981132e-09
1889,4.385595886446936e-08,2.0674951528576457e-08
1890,6.292211196523567e-08,8.520702365899524e-09
1891,5.5455714687013824e-08,1.3385862196457765e-08
1892,6.519253048509199e-08,1.4417578242387208e-08
1893,5.1114856347567184e-08,8.621783287310336e-09
1894,4.915200690902566e-08,1.7014155417882648e-08
1895,4.814891596538473e-08,1.745398137131815e-08
1896,3.715128116255073e-08,1.47425724961181e-08
1897,3.26295968022805e-08,1.981082675683865e-08
1898,4.9227686815811467e-08,5.092519295146758e-09
1899,3.371822998587959e-08,1.1607914629507832e-08
1900,5.294874227956825e-08,1.245852754294674e-08
1901,3.520905522691464e-08,1.0059729937950124e-08
1902,4.959386856739911e-08,1.8659077838378835e-08
1903,4.1581696308412575e-08,1.5660639007819555e-08
1904,4.03096898082822e-08,8.599400302955473e-09
1905,2.9932401446330914e-08,1.3417973399043603e-08
1906,3.600929332492342e-08,4.629765903985117e-09
1907,4.782844342798853e-08,1.6457098794830927e-08
1908,4.0764529529724314e-08,1.620758460774141e-08
1909,4.1807474815414025e-08,1.265226234892225e-08
1910,5.50447509795049e-08,1.1222716089775986e-08
1911,5.533189195716659e-08,1.2236860413850081e-08
1912,4.167537070998151e-08,1.510732161591477e-08
1913,4.560571298384275e-08,1.3257474229533273e-08
1914,5.424362470307642e-08,1.4063162190325329e-08
1915,1.767114277129167e-08,1.1780762143587253e-08
1916,3.186363883855847e-08,1.0987461607214755e-08
1917,2.1932848426331475e-08,5.483212106582869e-09
1918,3.675640414257941e-08,1.378365155346728e-08
1919,4.4197673076951105e-08,1.012863304339362e-08
1920,4.467616676606667e-08,7.572231730534895e-09
1921,3.180553775905537e-08,6.815472630705699e-09
1922,5.75478971143184e-08,1.8444838545406128e-08
1923,6.051090650771584e-08,2.0170300985000722e-08
1924,4.769901096324247e-08,2.0626599095407983e-08
1925,3.739380360912037e-08,1.4297631523163545e-08
1926,3.4553028882555736e-08,1.114613823460786e-08
1927,4.9056588125040435e-08,1.3379070296082318e-08
1928,5.255979118601317e-08,1.4853853258500749e-08
1929,5.23599084090165e-08,2.0052731031228177e-08
1930,4.20144132817768e-08,1.2604324695075775e-08
1931,3.5356606531422585e-08,1.1405356659111021e-08
1932,5.370172928564898e-08,8.767629289252454e-09
1933,3.0970788600370724e-08,2.2941324395731044e-09
1934,3.834105655187159e-08,5.990790086229936e-09
1935,2.992070946561398e-08,1.196828414151696e-08
1936,2.66743711563322e-08,9.699771652549316e-09
1937,3.777335422228134e-08,6.295559185076627e-09
1938,4.2785206488815675e-08,1.2965214679638848e-08
1939,2.9058696782158222e-08,1.8352860564618823e-08
1940,3.296517903095264e-08,2.5357829169792012e-09
1941,5.017554371988808e-08,5.9030051957620344e-09
1942,1.517105907566929e-08,1.517105907566929e-08
1943,5.806470415592457e-09,2.9032352077962287e-09
1944,4.177142187700156e-08,6.4263723231761105e-09
1945,3.921307367704685e-08,1.5249527862692958e-08
1946,2.645009899993056e-08,6.960552134671616e-09
1947,5.245183132274178e-08,1.3112957830685446e-08
1948,3.587722829934137e-08,2.5005341797168512e-08
1949,5.2030145525350235e-08,1.7670615193310368e-08
1950,7.12569203642488e-08,1.3825969702452312e-08
1951,4.371174711081949e-08,1.3859822622919182e-08
1952,4.112473561690422e-08,1.1599284199803606e-08
1953,4.201792691560513e-08,8.619061908632375e-09
1954,3.9090146231046674e-08,8.795282724349818e-09
1955,4.129667274810345e-08,1.1262729415761896e-08
1956,4.0117249966442614e-08,6.976913269340912e-09
1957,3.6223653410161205e-08,1.4136060322300636e-08
1958,4.9633460008635666e-08,7.445019267748876e-09
1959,5.348016074435691e-08,1.6276571201956358e-08
1960,4.0832915715327545e-08,1.7994166157109248e-08
1961,4.099414141478519e-08,6.94815938118154e-09
1962,5.834600003140622e-08,1.4586500007851555e-08
1963,3.168366191630412e-08,1.681173777967615e-08
1964,3.04198408684897e-08,1.034274621503073e-08
1965,3.775710055720083e-08,1.4774516721161035e-08
1966,4.043524626240469e-08,1.0524241922382771e-08
1967,2.9582013283402375e-08,1.3311906243984595e-08
1968,4.6710724177501106e-08,1.1677681044375277e-08
1969,5.450109341609277e-08,1.090021850558287e-08
1970,5.334521091526767e-08,1.5635665207014426e-08
1971,4.624557803367679e-08,1.0790635052160269e-08
1972,3.33459553303328e-08,1.2312352026810913e-08
1973,3.6938466507763223e-08,1.1026407342740185e-08
1974,3.037808582462276e-08,9.00091468025721e-09
1975,2.627280792921738e-08,7.996072248772634e-09
1976,3.828062844490887e-08,9.712995741040231e-09
1977,2.6445517775641747e-08,6.464460078348111e-09
1978,2.8514838490423244e-08,1.2475242172627077e-08
1979,3.803782533395861e-08,1.2289143924704149e-08
1980,3.240536017301565e-08,1.4212877097463661e-08
1981,3.226030287351023e-08,8.223214109648325e-09
1982,4.0969514003563745e-08,9.932003663948308e-09
1983,3.157657957331139e-08,4.4207211225000265e-09
1984,3.943325666000419e-08,1.2177918229383522e-08
1985,2.8874678648094232e-08,7.218669662023558e-09
1986,3.2370220282018636e-08,1.3787316177626963e-08
1987,2.5665430669619127e-08,1.4054879038383206e-08
1988,2.818380373525997e-08,8.994830658082265e-09
1989,3.5123981945162086e-08,8.780995486290522e-09
1990,2.3429199913493903e-08,7.083246433836621e-09
1991,3.3996499837485317e-08,7.033758464558559e-09
1992,2.589673719910479e-08,1.322386644631024e-08
1993,3.212740296021366e-08,9.970573700002205e-09
1994,4.114442830882581e-08,1.002236071911966e-08
1995,2.331653803366862e-08,9.21816667442954e-09
1996,2.4555223632205525e-08,7.473328622609188e-09
1997,3.212579358091716e-08,4.315404922294874e-09
1998,3.099284029417504e-08,6.198567881199324e-09
1999,2.559312584082818e-08,4.570201106446348e-09
2000,2.2973763336153752e-08,7.510653432518666e-09
2001,3.8992784112679146e-08,1.1391150245287918e-08
2002,2.8477940006155222e-08,6.133709984368352e-09
2003,3.1251921939201566e-08,1.0417307017007715e-08
2004,2.686922684347337e-08,1.189293641346012e-08
2005,2.432024714948966e-08,1.306087415997581e-08
2006,2.9648807853277503e-08,7.412201963319376e-09
2007,4.314037838071272e-08,1.6377365241737607e-08
