year,gros_ADJ cils_NOUN
1800,0.0
1801,1.1905912700171939e-08
1802,4.475680270843441e-09
1803,2.5354410126965377e-08
1804,0.0
1805,0.0
1806,5.76333825108577e-09
1807,0.0
1808,2.2660739951163578e-09
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,1.8682481339737933e-08
1818,0.0
1819,0.0
1820,0.0
1821,0.0
1822,0.0
1823,0.0
1824,0.0
1825,3.522177216552791e-09
1826,0.0
1827,0.0
1828,9.172301251858528e-10
1829,2.0575622983187714e-08
1830,0.0
1831,1.5591206103948707e-09
1832,5.411987746839486e-09
1833,0.0
1834,0.0
1835,1.5126175867408165e-09
1836,9.409050427677812e-09
1837,0.0
1838,6.312161904276081e-10
1839,0.0
1840,0.0
1841,7.704658244733764e-09
1842,1.341653010911159e-09
1843,7.678984559333912e-09
1844,5.488561272137815e-10
1845,0.0
1846,2.3418005312692003e-09
1847,2.1572894581822766e-09
1848,4.02261068899179e-09
1849,8.379414939696517e-10
1850,1.3577992064028876e-09
1851,0.0
1852,6.510545436100301e-10
1853,4.777545470346922e-09
1854,2.5978321716024766e-09
1855,1.0613874223963649e-09
1856,1.5531567143511893e-09
1857,1.513267733344037e-08
1858,7.34051397444091e-09
1859,0.0
1860,6.408057640072684e-09
1861,1.4147891747029462e-09
1862,0.0
1863,3.995696662428827e-09
1864,0.0
1865,0.0
1866,6.3252967308358166e-09
1867,5.338092634588065e-09
1868,0.0
1869,0.0
1870,5.734048791339319e-10
1871,2.1242354542039266e-09
1872,7.861540751719076e-09
1873,2.3944017879529156e-09
1874,4.779687312606029e-09
1875,1.4875970677508121e-08
1876,2.478866001354163e-08
1877,6.184816214727107e-09
1878,4.831270938865373e-09
1879,2.3826368433788048e-08
1880,1.9253539207397807e-08
1881,9.761510710859511e-09
1882,3.3276925659464496e-09
1883,1.579834751908038e-08
1884,3.9610181801208455e-09
1885,5.156508553483263e-09
1886,2.5813855497602844e-09
1887,2.154545164501087e-08
1888,6.974675947901687e-09
1889,1.2530273707511697e-08
1890,7.865263995654459e-09
1891,1.7210394887001712e-08
1892,9.402768341715273e-09
1893,1.0469308087124318e-08
1894,1.1342770278588432e-08
1895,5.416753268150387e-09
1896,1.1794058174530164e-08
1897,5.826713334045053e-09
1898,1.13167097914868e-09
1899,6.080336234504102e-09
1900,1.038210628578895e-09
1901,1.1177477832191585e-09
1902,0.0
1903,3.2401321625741275e-09
1904,1.9886112312406112e-08
1905,2.580379465655369e-09
1906,5.144184633820714e-09
1907,8.228549397415463e-09
1908,1.1296195090437777e-08
1909,2.2003934674330594e-08
1910,1.1222716089775986e-08
1911,5.3203743632934675e-09
1912,6.251305251225858e-09
1913,6.363587878865928e-09
1914,1.0045115850232378e-08
1915,1.1780761921542648e-09
1916,2.197492410260793e-09
1917,0.0
1918,5.743188147278033e-09
1919,5.524709134618888e-09
1920,0.0
1921,7.572747429129834e-10
1922,4.426761179843197e-09
1923,2.1231896241147297e-09
1924,0.0
1925,0.0
1926,3.343841648018042e-09
1927,1.4493992672726108e-08
1928,5.713020723163709e-09
1929,0.0
1930,0.0
1931,4.5621426636444085e-09
1932,3.287861094491973e-09
1933,1.1470662197865522e-09
1934,4.7926320689839486e-09
1935,9.574627313213568e-09
1936,2.424942913137329e-09
1937,1.2591118370153254e-08
1938,5.186085783037697e-09
1939,3.058810094103137e-09
1940,1.7750480196809804e-08
1941,3.246652724442356e-08
1942,3.3376331032286544e-08
1943,2.322588166236983e-08
1944,7.711646787811333e-08
1945,5.8819608739213436e-08
1946,1.2528993842408909e-08
1947,5.960435700558264e-09
1948,3.370285384107774e-08
1949,7.853606653895895e-09
1950,1.0635361480382244e-09
1951,4.264560704569931e-09
1952,2.003512733494972e-08
1953,1.0773827385790469e-09
1954,1.9545072227344917e-09
1955,1.8771215692936494e-09
1956,0.0
1957,6.184526224473075e-09
1958,3.3088973783179654e-09
1959,7.750747821333448e-10
1960,1.1765417085030094e-08
1961,6.948159270159238e-10
1962,0.0
1963,3.879631726988464e-09
1964,6.083968329129164e-10
1965,1.6416130677043839e-09
1966,5.539074754423723e-10
1967,9.860671168482327e-10
1968,1.7965663401398047e-09
1969,9.083515606356229e-10
1970,9.197450023812337e-10
1971,5.138397485282553e-10
1972,5.130146862875051e-10
1973,0.0
1974,3.3753431161187564e-09
1975,5.711480177694739e-10
1976,4.570821499072508e-09
1977,0.0
1978,2.3762365408686037e-09
1979,1.7555920051037788e-09
1980,0.0
1981,0.0
1982,1.2415004579935385e-09
1983,0.0
1984,0.0
1985,0.0
1986,5.994485463567401e-10
1987,1.8332451112712533e-09
1988,1.1993107618124554e-09
1989,5.488122178931576e-10
1990,5.44865097484859e-10
1991,1.1722930404189924e-09
1992,0.0
1993,0.0
1994,5.274926606624319e-10
1995,1.0844901643380922e-09
1996,5.338092190498855e-10
1997,1.438468344439059e-09
1998,0.0
1999,1.8280804647829996e-09
2000,1.7672125984802278e-09
2001,0.0
2002,0.0
2003,0.0
2004,8.809582507929292e-10
2005,0.0
2006,0.0
2007,3.994479469415779e-10
2008,0.0
2009,1.907277002999308e-09
2010,2.3618964561933353e-09
2011,7.64794394481072e-10
2012,1.0212758416727752e-09
2013,2.789125042035323e-10
2014,1.7323561474213989e-09
2015,6.649726325136385e-10
2016,1.0356699942093428e-09
2017,0.0
2018,5.162933414126769e-10
2019,0.0
