year,six_DET ailes_NOUN,six_DET selles_NOUN
1800,5.0306631749208464e-08,0.0
1801,3.5717739876872656e-08,0.0
1802,4.2518962573012686e-08,3.3567602031325805e-08
1803,6.046051481689574e-08,1.3652374342143503e-08
1804,5.19088700912107e-08,1.0134588990240445e-07
1805,9.665784261869703e-08,8.24434520652062e-08
1806,8.645007376628655e-09,1.4408345627714425e-08
1807,3.9857372513552036e-08,8.540865792383556e-09
1808,8.611080914988634e-08,1.3596443970698147e-08
1809,4.0662548883574345e-08,1.3554183553310395e-08
1810,3.978215445954447e-08,5.616304221689461e-08
1811,1.3287507272252697e-07,1.7549536934780008e-08
1812,3.7340914360584065e-08,2.400487453257938e-08
1813,3.163315653864629e-08,4.601186631703058e-08
1814,1.2586708564299443e-08,2.5173417128598885e-08
1815,1.780167533382837e-07,1.3486118000116676e-08
1816,1.1356259221884102e-07,3.0128852301913867e-08
1817,9.808302792180257e-08,5.1376822796100896e-08
1818,6.556647713651387e-08,3.099506074022429e-08
1819,4.554462107453361e-08,1.0351049795076506e-08
1820,3.0852850052554004e-08,1.6613073583471305e-08
1821,2.2681422962023134e-08,7.88919063410276e-09
1822,6.015369535816717e-08,3.408709403629473e-08
1823,7.412015112784331e-08,1.2551011896455577e-07
1824,4.547400767052068e-08,3.8737118401854786e-08
1825,4.490776106536032e-08,3.610231757988913e-08
1826,4.492072036565986e-08,7.398706713956926e-08
1827,4.3321183085254233e-08,5.069500330634469e-08
1828,4.219258542548232e-08,4.494427674472945e-08
1829,5.3153691226270894e-08,5.3153690338092474e-08
1830,7.827626546941246e-08,9.601888706356476e-08
1831,6.080570358335535e-08,2.9623292263636358e-08
1832,1.1635773511375902e-07,7.712082705779721e-08
1833,6.023486887052343e-08,2.3167256557599103e-08
1834,4.6672655740209734e-08,1.456186895509859e-07
1835,6.655517381659593e-08,6.882410019670715e-08
1836,8.400937401287223e-08,3.96524240109386e-08
1837,4.453050106434375e-08,8.071153168032197e-08
1838,5.680945891484157e-08,8.584540456268996e-08
1839,4.6842884238174065e-08,8.249940819382573e-08
1840,3.885510002632486e-08,1.1146955181118301e-07
1841,5.714288064950779e-08,7.576247362806043e-08
1842,9.794066979651461e-08,3.8237109922789614e-08
1843,1.0041748876865597e-07,4.430183198067539e-08
1844,1.201994876964818e-07,4.226192207301693e-08
1845,1.065823534429633e-07,4.631589139991732e-08
1846,5.620321119614857e-08,3.9810608143397985e-08
1847,6.14827504463733e-08,3.020205152637345e-08
1848,8.849743998728954e-08,2.976732055293141e-08
1849,5.027649052635752e-08,1.4412593163370957e-07
1850,1.1201843364005981e-07,4.752297400045791e-08
1851,8.835731080125697e-08,2.3217978872835943e-08
1852,8.073076673831281e-08,4.6875927806055984e-08
1853,5.673335157219128e-08,6.5094056367343e-08
1854,8.676759899461928e-08,4.1045749910040286e-08
1855,1.3744967475304293e-07,1.6451505047143655e-08
1856,9.267169076565551e-08,1.1907535124588975e-08
1857,8.103304782736132e-08,2.538384802353022e-08
1858,1.3653356301102093e-07,3.52344675658145e-08
1859,7.536416868347828e-08,2.800695320104296e-08
1860,8.422018477061144e-08,3.4328881071132855e-08
1861,7.781340072288145e-08,4.433006051129951e-08
1862,1.1385325415780301e-07,2.710791813242963e-08
1863,6.942522778885518e-08,2.946826338501296e-08
1864,1.0452507126501587e-07,1.4384183621984903e-08
1865,1.0307988973501381e-07,2.9653119515415938e-08
1866,5.838735595009581e-08,2.092213513549268e-08
1867,1.2083500777748668e-07,1.94112459439566e-08
1868,9.682153234713553e-08,2.6181331880259506e-08
1869,6.250904804883106e-08,1.416220518635214e-08
1870,5.447346484999116e-08,3.612450605317008e-08
1871,8.603153389685758e-08,2.973929724703339e-08
1872,2.9027228509725944e-08,2.4794091668667306e-08
1873,1.2810049554445868e-07,6.405024688405092e-08
1874,6.930546553318706e-08,3.704257789394205e-08
1875,6.408110192479555e-08,2.0597497041308088e-08
1876,4.776351603119622e-08,1.6928841883867563e-08
1877,7.607323548874945e-08,2.0409893108919164e-08
1878,6.220261350442513e-08,2.6571989497625736e-08
