year,ces_DET iles_NOUN,ces_DET cils_NOUN
1800,2.2952400957620966e-07,6.288328968651058e-09
1801,2.5954890969792643e-07,9.524730337773235e-09
1802,2.551137754380761e-07,1.3427040812530322e-08
1803,2.125869797975355e-07,8.776526527753958e-08
1804,4.770672230591799e-07,2.7190360185613827e-08
1805,1.4498676925711607e-07,1.3645812657614442e-07
1806,1.7578181132904547e-07,3.458002950651462e-08
1807,3.3024679613191665e-07,6.547996855843508e-08
1808,2.5606635878361317e-07,4.078933102391602e-08
1809,2.50752382413566e-07,2.0331274441787173e-08
1810,5.07807524030568e-07,1.6380887757350138e-08
1811,4.838658114181271e-07,2.0056614147279106e-08
1812,1.653669094991983e-07,1.3336041604361526e-08
1813,2.041776518968419e-07,2.8757416004054903e-08
1814,1.44747149377622e-07,1.2586708564299443e-08
1815,1.0249449222676787e-07,9.979726911524267e-08
1816,1.0197456745686395e-07,5.5622493277951435e-08
1817,1.0431052022141785e-07,1.8682481339737933e-08
1818,1.0133000749590337e-07,1.9073883805731384e-08
1819,1.0972113195784061e-07,1.3456364911235141e-08
1820,1.530776057023786e-07,4.746592452420373e-09
1821,1.2819934880337058e-07,9.86148829262845e-10
1822,2.0552512580707116e-07,1.604098542884458e-08
1823,1.9567720066504535e-07,3.95307486744656e-09
1824,1.8021180814287163e-07,1.1789557774477544e-08
1825,2.2101662167095526e-07,2.201360693732113e-08
1826,3.0387546656740483e-07,2.7304752237000685e-08
1827,2.442577334837992e-07,9.401618417115287e-08
1828,2.2380415504175133e-07,9.814362300630819e-08
1829,4.466624755616877e-07,4.4580516167513906e-08
1830,1.9203777990028925e-07,2.922314079611965e-08
1831,1.5747117698694524e-07,6.704218513675642e-08
1832,2.55716420038965e-07,3.788391467196561e-08
1833,8.201208896441159e-07,6.370995642157595e-08
1834,2.9310427596129784e-07,1.0174638731541563e-07
1835,3.7512914730086777e-07,5.7479468296151026e-08
1836,2.574047193171225e-07,3.293167605278313e-08
1837,3.833797962426999e-07,3.2006298833486824e-08
1838,4.248085065938767e-07,7.13274284080967e-08
1839,3.3139591604225416e-07,7.97028167909275e-08
1840,4.5989152175351933e-07,6.751870174070973e-08
1841,3.338685270470876e-07,7.897274656443187e-08
1842,2.864429156090864e-07,4.494537497734541e-08
1843,4.140744707115118e-07,8.683159080646874e-08
1844,2.810143364673223e-07,3.896878553177885e-08
1845,3.4262599513112946e-07,1.1941687461103356e-07
1846,3.711753784330085e-07,8.95738700990023e-08
1847,3.7105379391277893e-07,1.0840379616183782e-07
1848,3.2904956581703004e-07,7.642960753173611e-08
1849,3.770736656250051e-07,9.301150782903278e-08
1850,2.7020204296235306e-07,8.07890518927934e-08
1851,2.3604946530753068e-07,5.997978114180569e-08
1852,2.7214079700854654e-07,5.989701712394435e-08
1853,3.0815168550191174e-07,4.658107011223933e-08
1854,2.2757009610074874e-07,6.286754139495088e-08
1855,3.0143402085514026e-07,3.661786607267459e-08
1856,2.2520773690359874e-07,4.9183298322930113e-08
1857,2.2064420956979802e-07,1.1862066884305023e-07
1858,1.766617074849819e-07,9.78735243961637e-08
1859,2.1539893424460388e-07,1.2119372527763517e-07
1860,1.4463901543138036e-07,4.027921818305913e-08
1861,1.6128595969888693e-07,4.527325048186981e-08
1862,1.7394247731061796e-07,2.2589932147099034e-08
1863,2.1526815974226565e-07,4.595051295019914e-08
1864,1.8747385976958242e-07,4.075518766910591e-08
1865,1.741532420496128e-07,6.307171496189312e-08
1866,2.04355741661999e-07,9.682569768187932e-08
1867,1.3927569142424545e-07,5.774845845962773e-08
1868,1.4473830578509705e-07,9.336362261080922e-08
1869,1.318550193474266e-07,9.083345808846843e-08
1870,1.1869481175708074e-07,5.2753247103964895e-08
1871,1.1258447996098653e-07,4.6733179104307965e-08
1872,1.215515206265394e-07,7.25680706636922e-08
1873,2.5260938296689517e-07,7.362785581221942e-08
1874,9.141151990910146e-08,1.67886511803772e-07
1875,1.2987866870872722e-07,1.0928116722652703e-07
1876,1.348261280398333e-07,2.1826113538736536e-07
1877,1.224593546567121e-07,1.317365807551596e-07
1878,1.3708731083639236e-07,5.7975252154562895e-08
1879,1.0141480155656524e-07,5.1929264444083856e-08
1880,1.3284941902114156e-07,8.471556789402257e-08
1881,1.1992712645181314e-07,1.2620238720728594e-07
1882,1.0981385645258968e-07,1.2512124136776492e-07
1883,1.162758399009256e-07,1.4218512589536658e-07
1884,1.802263236427848e-07,8.91229081645406e-08
1885,1.5533982034021676e-07,6.510092021017044e-08
1886,2.9363261333514856e-07,9.422057090091585e-08
1887,1.358016349373159e-07,9.858676008889233e-08
1888,2.3143244010093156e-07,1.591494296349083e-07
1889,1.9296621045494788e-07,1.1715805392498169e-07
1890,2.0384142374041403e-07,6.554386544621593e-08
1891,1.823026873903899e-07,7.712806127102567e-08
1892,2.613969622977663e-07,6.519252870873515e-08
1893,2.0877031947641456e-07,1.0284555784778604e-07
1894,1.0964678542890738e-07,7.05772382758596e-08
1895,2.9370837761888424e-07,5.356567100989196e-08
1896,1.810387856293616e-07,8.668632744956994e-08
1897,1.7771476845673817e-07,7.166857685092509e-08
