year,vingt - six heures
1800,4.822675947480093e-08
1801,3.922474345330329e-08
1802,3.6952563675640704e-08
1803,4.0714258631169287e-08
1804,4.077608295460777e-08
1805,9.366705633340189e-09
1806,5.3718839154726084e-08
1807,1.2459794085373233e-08
1808,2.7391628520945233e-08
1809,1.97676737201391e-08
1810,3.333577325292936e-08
1811,2.7593035412110112e-08
1812,2.336733473384811e-08
1813,3.7764785076888074e-08
1814,6.534819618764232e-08
1815,1.7738505775355407e-08
1816,1.0132563232900793e-08
1817,4.265308817252844e-08
1818,5.60428858875639e-08
1819,2.826522660370756e-08
1820,6.992312506781673e-08
1821,2.0520610988228327e-08
1822,5.482381215671239e-09
1823,7.880986885311358e-08
1824,5.8800244673307134e-08
1825,5.285887283434931e-08
1826,6.919625405998886e-08
1827,6.841244903910138e-08
1828,3.808780846270565e-08
1829,6.743155722688243e-08
1830,5.9352387893341074e-08
1831,2.3960275097323347e-08
1832,1.0526653682063625e-07
1833,1.0265761574146381e-07
1834,4.0096674069900473e-07
1835,5.643731615379011e-08
1836,3.304570483919633e-08
1837,4.478682669173395e-08
1838,4.817570209425526e-08
1839,3.515586377567104e-08
1840,5.566831429160146e-08
1841,7.370779764315216e-08
1842,3.740955989428585e-08
1843,3.678881543844881e-08
1844,3.889583055638468e-08
1845,4.2092791030512444e-08
1846,7.111331179476821e-08
1847,3.298735773427097e-08
1848,5.813950920696698e-08
1849,5.13755832320939e-08
1850,5.721151119519874e-08
1851,7.411496855125321e-08
1852,9.630268404947628e-08
1853,1.0459267052453924e-07
1854,6.990316547828002e-08
1855,4.945119574939483e-08
1856,6.18154274434346e-08
1857,2.6748486425809403e-08
1858,4.34240021718324e-08
1859,4.4594083037363674e-08
1860,3.964206030104833e-08
1861,7.074466168432991e-08
1862,6.931519169750544e-08
1863,5.208482478646914e-08
1864,3.254714686651283e-08
1865,3.921300256726212e-08
1866,7.047884093003276e-08
1867,5.163631966453863e-08
1868,7.195182216701568e-08
1869,5.3037392033772335e-08
1870,5.215129250668582e-08
1871,7.815500424612765e-08
1872,3.316755581295183e-08
1873,5.510756562188135e-08
1874,7.079577102331314e-08
1875,6.475579172882107e-08
1876,7.172097860053128e-08
1877,8.985979604858585e-08
1878,5.6498119405112845e-08
1879,5.510833800403958e-08
1880,7.63234186962336e-08
1881,9.374959270003203e-08
1882,7.694015113912656e-08
1883,8.22059940119857e-08
1884,5.310634954014404e-08
1885,5.894729571132018e-08
1886,4.0535335976699116e-08
1887,7.70680772532728e-08
1888,5.591215457290133e-08
1889,6.084374637449486e-08
1890,6.79523588509312e-08
1891,7.519111955289759e-08
1892,5.60292276463592e-08
1893,5.77400038892506e-08
1894,6.889221282335711e-08
1895,6.64195751731711e-08
1896,1.0341923362133798e-07
1897,7.150444014669688e-08
1898,7.990518724465545e-08
1899,8.113545590937576e-08
1900,5.449204287799603e-08
1901,8.202570023208011e-08
1902,6.110082195753819e-08
1903,7.689679659694804e-08
1904,6.647454064978575e-08
1905,4.8432115262730946e-08
1906,4.427012550989318e-08
1907,4.149093385530378e-08
1908,5.262118335513932e-08
1909,6.73333246936636e-08
1910,3.8339330044045994e-08
1911,6.106682803874719e-08
1912,5.9201535673736316e-08
1913,7.898985332488451e-08
1914,4.431956313055707e-08
1915,4.805596076629115e-08
1916,4.716410728633491e-08
1917,7.116003786222791e-08
1918,3.7913087891361386e-08
1919,3.547231264278139e-08
1920,3.9213870095533565e-08
1921,4.429188393828554e-08
1922,4.153382393567995e-08
1923,5.513765000131343e-08
1924,3.704754747424488e-08
1925,3.168148410281901e-08
1926,4.6913672946402585e-08
1927,3.5793772834580295e-08
1928,3.0363963787749526e-08
1929,3.826214367563807e-08
1930,3.138964288496027e-08
1931,3.157136407860861e-08
1932,3.1534931110854814e-08
1933,4.567671685329344e-08
1934,3.4512857238766514e-08
1935,4.509671236441193e-08
1936,3.7582420731041566e-08
1937,3.486897881543882e-08
1938,3.5860277192156786e-08
1939,6.94629196384966e-08
1940,2.533153420358758e-08
1941,3.609059717746277e-08
1942,3.700834927400365e-08
1943,2.5690982008441665e-08
1944,2.484615357900566e-08
1945,3.1238506004171995e-08
1946,3.695366146416745e-08
1947,3.5553134880572657e-08
1948,3.7299402788626423e-08
1949,2.055054260097222e-08
1950,3.999339881488595e-08
1951,4.601633207812483e-08
1952,3.504084744587743e-08
1953,3.4533957915527935e-08
1954,2.2694118584354328e-08
1955,2.5969566053163362e-08
1956,3.858756425501042e-09
1957,1.6623920018332683e-08
1958,1.4638269263400616e-08
1959,1.4576506557339997e-08
1960,1.989874998109542e-08
1961,1.2269006255394288e-08
1962,1.74856444323801e-08
1963,1.569080332330941e-08
1964,2.1476202816117507e-08
1965,2.654899855514259e-08
1966,1.7109610395138475e-08
1967,3.259131997612741e-08
1968,2.7669231794646976e-08
1969,3.045571839166428e-08
1970,3.135884085736507e-08
1971,1.6432364802199118e-08
1972,3.6179225393340175e-08
1973,2.2545140865304347e-08
1974,2.425523160098919e-08
1975,2.084137129543251e-08
1976,2.0827514379817558e-08
1977,1.688611883654545e-08
1978,1.1778245712079638e-08
1979,1.3527034825600026e-08
1980,1.7532667817565795e-08
1981,1.740706512265433e-08
1982,1.2273686067487688e-08
1983,2.776772589641041e-08
1984,1.8467581130998667e-08
1985,1.8503559573446182e-08
1986,1.580050534855104e-08
1987,1.8126934842044307e-08
1988,1.4488789723543505e-08
1989,1.1452832460179252e-08
1990,2.0297985292572207e-08
1991,1.8646781896336506e-08
1992,2.1122625315506127e-08
1993,2.8510535710069007e-08
1994,1.4433425454818405e-08
1995,2.0158116953439276e-08
1996,1.5167183342601476e-08
1997,1.360902507352435e-08
1998,1.768870416807289e-08
1999,1.9940571860388445e-08
2000,1.686073475282157e-08
2001,1.2899159851365027e-08
2002,1.7661379914102326e-08
2003,1.8605522456027757e-08
2004,2.302393831143945e-08
2005,1.4224312949728812e-08
2006,1.660344861598162e-08
2007,1.6579492306822985e-08
2008,3.021744687803363e-08
2009,2.3470635657218963e-08
2010,2.01897653595573e-08
2011,2.853570046923437e-08
2012,4.499477945785202e-08
2013,4.127460417890916e-08
2014,3.401120274304503e-08
2015,3.603582365840907e-08
2016,3.347032517808657e-08
2017,3.3468237514711063e-08
2018,3.638542289685631e-08
2019,2.6059010505008473e-08
