year,nos_DET honnêtes_ADJ,nos_DET sonnettes_NOUN
1800,1.2576657937302116e-08,0.0
1801,4.0480102825313224e-08,0.0
1802,0.0,0.0
1803,0.0,0.0
1804,3.9549615138412264e-08,0.0
1805,0.0,0.0
1806,2.881669125542885e-09,6.627838899930794e-08
1807,2.2775640928784924e-08,0.0
1808,0.0,2.2660739951163578e-09
1809,0.0,0.0
1810,0.0,0.0
1811,2.5070767684098882e-09,0.0
1812,2.6672082320544632e-09,0.0
1813,0.0,5.751483289628823e-09
1814,3.1466771410748606e-09,0.0
1815,1.8880564667256294e-08,0.0
1816,4.6352077731626196e-09,0.0
1817,2.3353101674672416e-08,0.0
1818,1.7881765401739358e-08,0.0
1819,2.8982939270782992e-08,0.0
1820,1.5426425470366212e-08,0.0
1821,3.254291058851777e-08,0.0
1822,6.015369535816717e-09,0.0
1823,2.2730179516372573e-08,0.0
1824,1.7684335773537896e-08,0.0
1825,7.044354655150187e-09,0.0
1826,1.9377564886013943e-08,0.0
1827,1.5669364250570084e-08,0.0
1828,1.4675682002973645e-08,0.0
1829,3.429270478694235e-09,0.0
1830,2.2961038403934708e-08,1.0436835840010872e-09
1831,1.091384405071949e-08,0.0
1832,9.470978667991403e-09,1.3529969367098715e-09
1833,8.687721653188873e-08,0.0
1834,1.2134890647885754e-08,0.0
1835,1.4369867074037757e-08,0.0
1836,1.2097350121642592e-08,6.720750067579218e-10
1837,1.2524203674146861e-08,0.0
1838,1.4517972601879592e-08,6.312161904276081e-10
1839,1.6779539757649786e-08,2.7965900706306e-09
1840,1.6561189752906103e-08,6.369688665408546e-10
1841,8.988767952189392e-09,1.2841097074556274e-09
1842,7.379091560011375e-09,1.341653010911159e-09
1843,6.497602011990011e-09,5.31621990873532e-09
1844,2.195424508855126e-09,3.2931368743049916e-09
1845,7.812318791877715e-09,2.7901139176833567e-09
1846,8.196302303531411e-09,0.0
1847,1.294373674909366e-08,1.0786447290911383e-09
1848,1.126331028444838e-08,8.045221711050488e-10
1849,2.011059585527164e-08,0.0
1850,1.1541293254424545e-08,0.0
1851,3.2247193804124663e-09,1.2898877521649865e-09
1852,2.6042181744401205e-09,0.0
1853,1.0152284346531815e-08,1.7915795513800958e-09
1854,4.676098175337984e-09,7.79349651480743e-09
1855,4.2455496895854594e-09,3.714855978387277e-09
1856,4.659470143053568e-09,8.28350277259915e-09
1857,2.636014961865385e-08,4.881509085841174e-10
1858,1.0276719919488642e-08,1.468102750479261e-09
1859,4.073738679721828e-09,8.147477359443656e-09
1860,1.785101755302776e-08,0.0
1861,1.3676294763342867e-08,9.431927461278633e-10
1862,2.1686334950032915e-08,4.517986262886353e-10
1863,1.5982787093804518e-08,0.0
1864,3.3563094525845827e-09,1.9178911792039344e-09
1865,1.3649848473740178e-08,3.765475486972036e-09
1866,2.2868380966656332e-08,5.352174259343201e-09
1867,1.1161466417775046e-08,3.88224918879132e-09
1868,1.3831647049933338e-08,4.939874287401835e-09
1869,3.0766170278084815e-08,3.4184632902167778e-09
1870,2.2362788953955715e-08,1.1468097582678638e-09
1871,8.496942038860311e-09,1.0621177271019633e-09
1872,4.8378714367913744e-09,6.047339295989218e-10
1873,9.577606929767057e-09,0.0
1874,8.961913877669758e-09,0.0
1875,1.602027666081085e-08,1.1443054281912168e-09
1876,4.776351758550845e-08,6.04601479992084e-10
1877,1.4225076450102847e-08,6.184815992682502e-10
1878,8.4547240319921e-09,6.039088784604019e-09
