year,deux_DET antennes_NOUN,deux_DET centaines_NOUN
1800,3.112722986031713e-07,5.345079756580162e-08
1801,7.738843663673833e-07,2.3811825400343878e-08
1802,6.691142004910944e-07,1.5664880947952042e-08
1803,1.464704816100948e-06,1.755305234496518e-08
1804,1.5325476065974897e-07,5.438072037122765e-08
1805,4.8328921309348516e-08,0.0
1806,1.0374008940772228e-07,2.881669125542885e-09
1807,7.686778857873833e-08,0.0
1808,2.447359861434961e-07,2.945896149242344e-08
1809,1.8524050737767084e-07,2.4849335034105025e-08
1810,1.1466621430145096e-07,4.680253518074551e-09
1811,7.771937937661733e-08,1.2535384286138651e-08
1812,6.401299534886107e-08,5.3344166417446104e-08
1813,0.0,1.1502966579257645e-08
1814,6.293354282149721e-09,3.1466772298927026e-08
1815,2.9669459555847766e-08,5.394447111228828e-09
1816,5.840362007347721e-07,3.9399267848239106e-08
1817,9.123278346123698e-07,6.227493631882908e-09
1818,3.326008481963072e-07,7.152706427149269e-09
1819,1.542306478086175e-07,2.070210003424222e-09
1820,5.6959110317222894e-08,1.1866481131050932e-08
1821,5.818278037139635e-08,2.9584463767662328e-09
1822,8.922798144794797e-08,1.604098542884458e-08
1823,3.142694353641673e-07,2.4706716672540097e-08
1824,6.652678941065915e-08,1.1789557774477544e-08
1825,1.5145362297630527e-07,1.0566531649658373e-08
1826,1.3916615859699277e-07,1.4092774947016551e-08
1827,9.309445658800541e-08,3.6869092223668076e-09
1828,8.621963054622483e-08,1.0089530988466322e-08
1829,2.083281742670806e-07,1.714635211591542e-09
1830,1.7220779113813478e-07,2.400472176589119e-08
1831,1.8553535419130185e-07,6.236482441579483e-09
1832,1.0553376328381603e-07,8.117981842303834e-09
1833,1.2046974318113968e-07,2.548398292390175e-08
1834,1.1481473083385652e-07,7.467624740797874e-09
1835,1.4218605315363675e-07,6.806779140333674e-09
1836,1.6398630453551277e-07,1.2097349788575684e-08
1837,9.184416338570145e-08,1.3915782304252389e-08
1838,2.0577647319441894e-07,9.468243078458727e-09
1839,1.545116035117644e-07,2.0974426639952526e-09
1840,1.726185701045324e-07,1.592422194107712e-08
1841,4.8154113585496816e-08,5.1364388298225094e-09
1842,5.2324468313713624e-08,9.391571076378114e-09
1843,6.497602372812494e-08,1.476727812255163e-08
1844,8.232842152455788e-08,1.4819115712327857e-08
1845,3.124927516751086e-08,1.0602433431206038e-08
1846,2.6345256642912318e-08,1.1709002656346001e-09
1847,5.069630049092666e-08,1.6179670936367074e-08
1848,2.7353753262460145e-08,5.63165514222419e-09
1849,6.033178778785953e-08,1.0893239199560867e-08
1850,6.856885637063215e-08,1.6293590476834652e-08
1851,4.772584816237213e-08,2.96674187438839e-08
1852,8.854341615460726e-08,2.148479971708639e-08
1853,5.255300172812838e-08,1.7915796179934773e-08
1854,3.3252252507054436e-08,2.234135720868835e-08
1855,4.4578271740647324e-08,1.1675261646360013e-08
1856,2.277963218055845e-08,1.501384794266869e-08
1857,5.564920257938866e-08,8.78671624349181e-09
1858,3.474509924217273e-08,1.468102794888182e-08
1859,3.1571474323754956e-08,1.171199848215565e-08
1860,5.950339243554481e-08,9.612086238064421e-09
1861,4.5744847909645614e-08,2.4523011454835597e-08
1862,3.4788496083848486e-08,9.035972858839614e-09
1863,1.6482248454963155e-08,8.990317823531768e-09
1864,3.3563097190381086e-08,7.1920918109924514e-09
1865,7.860430173423083e-08,1.4120533187167439e-08
1866,6.909170480184912e-08,1.1677471434268227e-08
1867,7.764498199946956e-08,5.338092634588065e-09
1868,4.4952855660085334e-08,1.7289560005906424e-08
1869,6.202069613436834e-08,4.88351925564956e-09
1870,6.938198993111655e-08,1.4335121978348297e-08
1871,1.911811864374613e-08,9.559059321873065e-09
1872,5.563552274434613e-08,1.0885210510735988e-08
1873,5.926144286405588e-08,2.21482157058972e-08
1874,6.751308490038355e-08,8.364452575015946e-09
1875,6.122034318378766e-08,1.1443054503956773e-08
1876,4.17175023414984e-08,5.441413541973361e-09
1877,3.834585982076533e-08,9.27722432209066e-09
1878,4.468925740575003e-08,1.7513357875031943e-08
1879,3.726688291294522e-08,1.2829583506679398e-08
1880,2.9522093214495726e-08,1.0910338632541539e-08
1881,1.324776466304911e-08,1.045876146799074e-08
1882,3.4608003574021495e-08,2.3293848627758962e-08
1883,2.211768546089843e-08,2.148575239946382e-08
1884,3.6969503014461225e-08,1.9805090900604227e-08
1885,4.7697703564608673e-08,1.8692343894954888e-08
1886,5.2273056327933887e-08,1.7424351739236954e-08
1887,3.786776325842567e-08,5.223139754040318e-09
