year,es_VERB avant_ADP,es_VERB savant_ADJ
1800,6.288328968651058e-09,0.0
1801,2.3811825844433088e-09,0.0
1802,0.0,0.0
1803,0.0,0.0
1804,0.0,9.887403784603066e-09
1805,5.685755422035754e-09,0.0
1806,0.0,0.0
1807,0.0,0.0
1808,0.0,0.0
1809,6.7770917766551975e-09,4.518061036407062e-09
1810,0.0,0.0
1811,0.0,0.0
1812,2.6672082320544632e-09,0.0
1813,0.0,0.0
1814,3.1466771410748606e-09,0.0
1815,1.0788894222457657e-08,0.0
1816,0.0,0.0
1817,1.556873407970727e-09,0.0
1818,0.0,0.0
1819,0.0,0.0
1820,5.933240565525466e-09,0.0
1821,9.86148829262845e-10,0.0
1822,2.0051231786055723e-09,8.02049271442229e-09
1823,9.882686891060644e-10,0.0
1824,1.6842225392110777e-09,0.0
1825,5.283265824829186e-09,0.0
1826,0.0,0.0
1827,5.530363722527909e-09,7.373818444733615e-09
1828,9.172301251858528e-10,0.0
1829,1.714635211591542e-09,0.0
1830,3.1310507520032616e-09,0.0
1831,0.0,3.1182412207897414e-09
1832,2.705993873419743e-09,0.0
1833,2.3167257001688313e-09,0.0
1834,9.334530925997342e-10,0.0
1835,1.5126175867408165e-09,0.0
1836,5.376600054063374e-09,1.3441500135158435e-09
1837,6.957891152126194e-09,6.957890930081589e-10
1838,6.312161904276081e-10,6.312161904276081e-10
1839,6.9914751765765e-10,6.9914751765765e-10
1840,3.821813088222825e-09,0.0
1841,6.420548537278137e-10,0.0
1842,1.0733224087289273e-08,6.708265054555795e-10
1843,2.3627644285539873e-09,2.3627644285539873e-09
1844,2.195424508855126e-09,0.0
1845,3.348136878855712e-09,4.464182357111213e-09
1846,2.3418005312692003e-09,0.0
1847,3.235934187273415e-09,0.0
1848,2.413566457803995e-09,0.0
1849,2.513824481908955e-09,0.0
1850,1.3577992064028876e-09,0.0
1851,2.579775504329973e-09,0.0
1852,3.2552727180501506e-09,1.1067927019325907e-08
1853,1.7915795513800958e-09,0.0
1854,2.5978321716024766e-09,7.27393034694046e-09
1855,1.5920811335945473e-09,1.0613874223963649e-09
1856,2.0708756931497874e-09,1.5531567143511893e-09
1857,2.4407544874094356e-09,2.4407544874094356e-09
1858,4.893676130990343e-09,6.8511463169329545e-09
1859,5.092173349652285e-10,4.582956236731661e-09
1860,1.8308735638683515e-09,0.0
1861,1.8863854922557266e-09,0.0
1862,2.710791813242963e-09,0.0
1863,1.4983863039219614e-09,9.989241656072068e-10
1864,9.589455896019672e-10,0.0
1865,1.882737743486018e-09,0.0
1866,2.919367858567057e-09,1.4596839292835284e-09
1867,1.455843445796745e-09,9.7056229719783e-10
1868,4.93987406535723e-10,0.0
1869,1.4650557433881772e-09,9.767038289254515e-10
1870,1.1468097582678638e-09,0.0
1871,2.1242354542039266e-09,0.0
1872,6.047339295989218e-10,6.047339518033823e-09
1873,1.1972008939764578e-09,5.986004469882289e-10
1874,2.3898436563030145e-09,0.0
1875,1.716458086775674e-09,1.1443054281912168e-09
1876,1.813804439976252e-09,0.0
1877,1.8554447978047506e-09,0.0
1878,3.0195443923020093e-09,0.0
1879,3.0546627449723474e-09,0.0
1880,1.9253538763308597e-09,0.0
1881,3.4862537301449947e-09,6.972507571312292e-10
1882,1.9966155395678697e-09,1.3310770263785798e-09
1883,1.2638677882037541e-09,0.0
1884,6.601696966868076e-10,0.0
1885,1.2891271383708158e-09,0.0
1886,6.453463874400711e-10,3.2267319927115068e-09
1887,3.264462256069578e-09,0.0
1888,6.340614699951175e-09,0.0
1889,3.132568426877924e-09,0.0
1890,3.9326319978272295e-09,1.3108772956016423e-09
1891,3.824531802365527e-09,0.0
1892,1.2537024751679837e-09,0.0
1893,1.847525021858587e-09,3.695050043717174e-09
1894,4.411077725308132e-09,0.0
1895,1.2037228991346183e-09,0.0
1896,2.358811590497112e-09,0.0
1897,2.330685422435863e-09,5.826713556089658e-10
1898,2.26334195829736e-09,1.13167097914868e-09
1899,1.1055156790007459e-09,0.0
1900,1.5573159428683425e-09,0.0
1901,1.676621730339889e-09,0.0
1902,7.365425602756659e-09,9.820567692386817e-10
1903,1.6200660812870638e-09,1.0800440541913758e-09
1904,4.299700151477737e-09,4.299700151477737e-09
1905,1.5482277682110634e-09,0.0
1906,1.0288369045596824e-09,0.0
1907,3.0857059130084963e-09,0.0
1908,9.822778146428846e-10,2.9468334439286537e-09
1909,2.2003934230241384e-09,5.500983557560346e-10
1910,4.275320542035388e-09,0.0
1911,2.6601871816467337e-09,0.0
1912,2.6047106693738442e-09,5.209421227725386e-10
1913,3.71209285532359e-09,5.30298971401777e-10
1914,3.3483718020477227e-09,0.0
1915,4.712304768617059e-09,0.0
1916,1.0987462051303964e-09,0.0
1917,2.1932848870420685e-09,0.0
1918,4.594550517822427e-09,1.1486376294556067e-09
1919,3.6831393490643904e-09,9.207848372660976e-10
1920,3.028892692213958e-09,0.0
1921,1.5145494858259667e-09,0.0
1922,2.951174193910333e-09,2.2133805899215986e-09
1923,3.1847844361720945e-09,1.0615948120573648e-09
1924,2.578324886925998e-09,1.289162443462999e-09
