year,tes_DET ailes_NOUN,tes_DET selles_NOUN
1800,3.144164395507687e-08,0.0
1801,2.3811825400343878e-08,0.0
1802,2.0140561218795483e-08,0.0
1803,3.5106107132421016e-08,0.0
1804,2.7190360185613827e-08,2.4718509461507665e-09
1805,4.264316544322355e-08,0.0
1806,4.610670423232932e-08,0.0
1807,2.562259604488304e-08,0.0
1808,1.5862517965814504e-08,0.0
1809,1.581321384946932e-08,0.0
1810,2.8081521108447305e-08,0.0
1811,9.276184087525507e-08,0.0
1812,3.7340914360584065e-08,5.3344164641089264e-09
1813,3.4508899293683726e-08,0.0
1814,0.0,0.0
1815,8.091670666843243e-09,0.0
1816,6.952811659743929e-09,0.0
1817,6.227493631882908e-09,0.0
1818,3.5763532135746345e-09,0.0
1819,1.3456365355324351e-08,0.0
1820,3.0852850052554004e-08,0.0
1821,2.1695273577648777e-08,0.0
1822,2.3058916553964082e-08,1.0025615893027862e-09
1823,2.174191138237802e-08,0.0
1824,2.189489300974401e-08,0.0
1825,3.169959361670749e-08,0.0
1826,4.315912205399286e-08,0.0
1827,2.8573547083965423e-08,0.0
1828,2.5682443283159273e-08,0.0
1829,3.6864655328372464e-08,8.57317605795771e-10
1830,3.1310508408211035e-08,0.0
1831,4.6773619422069146e-08,0.0
1832,2.976593327375099e-08,1.3529969367098715e-09
1833,4.40177885252524e-08,1.1583628500844156e-09
1834,8.494422853999595e-08,0.0
1835,3.327758690829796e-08,7.563087933704082e-10
1836,6.989580203509149e-08,4.704525213838906e-09
1837,3.8268401558738674e-08,0.0
1838,4.16602670139099e-08,6.312161904276081e-10
1839,3.63556709181978e-08,1.3982950353153e-09
1840,3.439631796053888e-08,0.0
1841,5.714288064950779e-08,0.0
1842,5.0311988797346885e-08,1.341653010911159e-09
1843,5.7887728388550386e-08,2.3627644285539873e-09
1844,3.51267914755482e-08,0.0
1845,4.3525778536945836e-08,5.580227946389016e-10
1846,5.620321275046081e-08,5.854501328173001e-10
1847,1.995492660000764e-08,0.0
1848,2.011305383353701e-08,0.0
1849,4.273501641449684e-08,8.379414495607307e-09
