year,autres_ADJ eaux_NOUN,autres_ADJ seaux_NOUN
1800,3.6157891258881136e-07,3.144164484325529e-09
1801,4.690929813477851e-07,2.3811825844433088e-09
1802,4.430923468135006e-07,6.713520406265161e-09
1803,4.661310697429144e-07,1.950339223455444e-09
1804,3.1392505661642645e-07,0.0
1805,3.5251684948889306e-07,0.0
1806,2.507052272449073e-07,0.0
1807,4.5551280436484376e-07,0.0
1808,3.7163613342272583e-07,2.2660739951163578e-09
1809,3.95330346236733e-07,4.518061036407062e-09
1810,4.0250179722534085e-07,0.0
1811,3.93611060189869e-07,2.5070767684098882e-09
1812,2.0804223765935603e-07,0.0
1813,2.3581081620704936e-07,0.0
1814,3.8704129678990284e-07,0.0
1815,5.475363877849304e-07,0.0
1816,3.221469455638726e-07,0.0
1817,2.9424907665998035e-07,6.227493631882908e-09
1818,2.944530876902718e-07,9.536941902865692e-09
1819,1.418093802385556e-07,4.140420006848444e-09
1820,2.75302369345809e-07,2.3732962262101864e-09
1821,1.64686852599516e-07,3.94459531705138e-09
1822,4.3811940031446284e-07,1.4035862250239006e-08
1823,1.7492355652848346e-07,0.0
1824,1.4652735558229324e-07,1.0947446504872005e-08
1825,1.6730341201309784e-07,2.905796137042671e-08
1826,2.395771616647835e-07,3.5231937367541377e-09
1827,2.497880871032976e-07,6.452091305675367e-09
1828,2.017906268747538e-07,7.337841001486822e-09
1829,3.1720750826025323e-07,6.858540846366168e-09
1830,2.6092089910889626e-07,4.174734336004349e-09
1831,3.2117884529725416e-07,0.0
1832,2.3948047100930125e-07,0.0
1833,4.888291300630954e-07,2.3167257001688313e-09
1834,2.3616362909706368e-07,0.0
1835,2.4201881387853064e-07,1.5126175867408165e-09
1836,2.022945722046643e-07,3.36037508930076e-09
1837,3.4302402696084755e-07,2.7831563720326358e-09
1838,2.745790368408052e-07,8.2058102535143e-09
1839,2.195323247633496e-07,4.194885327990505e-09
1840,1.745294753163762e-07,5.732719632334238e-09
1841,3.1332277217188675e-07,0.0
1842,2.2875184413351235e-07,0.0
1843,1.8193286166479083e-07,0.0
1844,2.952845932213677e-07,0.0
1845,1.975400749643086e-07,1.1160455892778032e-09
1846,2.494017508070101e-07,0.0
1847,1.3213397664912918e-07,5.393223645455691e-10
1848,2.156119478513574e-07,2.413566457803995e-09
1849,2.379753851755595e-07,0.0
1850,1.4867900688386726e-07,6.788996032014438e-10
1851,1.8703372006712016e-07,2.579775504329973e-09
1852,2.070353417593651e-07,5.208436348880241e-09
1853,2.0125409605498135e-07,2.388772735173461e-09
1854,2.5043101459232275e-07,2.0782657816909023e-09
1855,2.3987354325072374e-07,9.021793090369101e-09
1856,2.619657664126862e-07,5.177189232874468e-10
1857,2.260138671772438e-07,2.4407544874094356e-09
1858,2.0406629630542739e-07,1.468102750479261e-09
1859,2.933091991508263e-07,1.018434669930457e-09
1860,2.7600418661677395e-07,5.950338888283113e-09
1861,1.9288292207875202e-07,4.715963730639317e-10
1862,1.8840002269371325e-07,0.0
1863,1.62325179076106e-07,2.4973103585068657e-09
1864,3.509740906793013e-07,1.9178911792039344e-09
