year,nos_DET herbes_NOUN
1800,9.432493897065797e-09
1801,1.1905912700171939e-08
1802,2.9091921760482364e-08
1803,5.851017448321727e-09
1804,1.4831105232815389e-08
1805,0.0
1806,0.0
1807,2.8469551160981155e-09
1808,6.798221985349073e-09
1809,3.162642769893864e-08
1810,0.0
1811,2.5070767684098882e-09
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,4.8669683394564345e-08
1817,1.401186011662503e-07
1818,4.2916237674717195e-08
1819,5.072014364060351e-08
1820,3.441279616822612e-08
1821,4.536284770040311e-08
1822,7.017931125119503e-09
1823,1.4824030891702478e-08
1824,3.789500624407083e-08
1825,1.3208164340028361e-08
1826,4.4039921931471326e-08
1827,1.1060728055678481e-08
1828,5.503380862137419e-09
1829,8.573175946935407e-09
1830,1.982998831806526e-08
1831,1.5591206548037917e-08
1832,2.705993829010822e-08
1833,1.9692167896323554e-08
1834,1.213489042584115e-08
1835,1.739510224751939e-08
1836,3.427582484505365e-08
1837,1.8786304845086477e-08
1838,3.787297142565649e-09
1839,1.957613093850341e-08
1840,8.917564464638872e-09
1841,1.0914932957462042e-08
1842,5.366612043644636e-09
1843,1.4176587015413133e-08
1844,1.4270259640625227e-08
1845,1.3392547515422848e-08
1846,1.8734404916287417e-08
1847,1.4022381478184798e-08
1848,1.126331028444838e-08
1849,3.3517659758786067e-09
1850,4.073397619208663e-09
1851,1.2253933867611977e-08
1852,1.0416872697760482e-08
1853,2.3887727129690006e-08
1854,4.67609800880453e-09
1855,1.3798036491152743e-08
1856,6.212626857404757e-09
1857,8.298565390418844e-09
1858,1.2723557263338847e-08
1859,5.092173349652285e-09
1860,5.950338888283113e-09
1861,2.6880993431177558e-08
1862,8.132375661773494e-09
1863,5.993544882620938e-09
1864,3.3563094525845827e-09
1865,2.165148416111151e-08
1866,1.5083399418358567e-08
1867,6.79393608038481e-09
1868,2.1735445443482604e-08
1869,5.860223195597314e-09
1870,1.490852685748223e-08
1871,2.3366589108064773e-08
1872,1.2094679036067646e-08
1873,1.9155214303623325e-08
1874,3.5847653734322193e-09
1875,1.5448122780981066e-08
1876,1.0278225381910033e-08
1877,6.80329748092845e-09
1878,1.872117572077059e-08
1879,1.0385853066452455e-08
1880,1.7969969734465963e-08
1881,2.789003084036068e-09
1882,8.652000893505374e-09
1883,4.423537092179686e-09
1884,1.1883054540362536e-08
1885,5.156508553483263e-09
1886,8.38950331427668e-09
1887,1.828098916689669e-08
1888,7.60873763994141e-09
1889,9.397704836544563e-09
1890,1.3108772733971819e-08
1891,1.1473596295275001e-08
1892,1.6298132621272998e-08
1893,6.774258043407144e-09
1894,6.9316934414587195e-09
1895,3.0093072478365457e-09
1896,8.255840455717589e-09
1897,2.9133566670225264e-09
1898,7.921697076085366e-09
1899,1.0502398950507086e-08
1900,4.15284251431558e-09
1901,3.912117296778206e-09
1902,7.365425602756659e-09
1903,1.6200660812870638e-09
1904,6.449550227216605e-09
1905,6.708986699521802e-09
1906,8.230695236477459e-09
1907,6.1714118260169926e-09
1908,8.349361202419914e-09
1909,4.950885035270858e-09
1910,9.085056262847502e-09
1911,1.2236860413850081e-08
1912,5.2094213387476884e-09
1913,8.484783542428431e-09
1914,1.2054139020278853e-08
1915,7.068456930880984e-09
1916,3.2962386153911893e-09
1917,5.483212106582869e-09
1918,8.040463406189247e-09
1919,1.012863304339362e-08
1920,9.843901693784574e-09
1921,0.0
1922,7.377935595798135e-09
1923,3.1847844361720945e-09
1924,1.5469948877466777e-08
1925,9.898360353588487e-09
1926,4.458455382660986e-09
1927,1.0034302277972529e-08
1928,3.4278122562625413e-09
1929,1.0026365737658693e-08
1930,1.575540586884472e-08
1931,7.983749661377715e-09
1932,9.863582950409011e-09
1933,3.4411986593596566e-09
1934,9.585264137967897e-09
1935,2.393656828303392e-09
1936,1.33371855781661e-08
1937,5.0364472592434595e-09
1938,1.6854778350783306e-08
1939,1.2235240376412548e-08
1940,1.0143131667916805e-08
1941,8.854507793643052e-09
1942,1.5171058853624686e-08
1943,3.483882360377777e-08
1944,1.927911696952833e-08
1945,1.089252066321933e-08
1946,1.1136883415474585e-08
1947,1.7881307101674793e-08
1948,1.3046265401328583e-08
1949,5.890204768377316e-09
1950,1.2762433554414088e-08
1951,3.1984206394497505e-09
1952,1.1599284199803606e-08
1953,6.464296653518886e-09
1954,1.9545072227344917e-09
1955,5.631364707880948e-09
1956,7.849027205963921e-09
1957,7.951533653738352e-09
1958,3.3088973783179654e-09
1959,1.1626121398933265e-08
1960,4.152500121534786e-09
1961,4.168895617606694e-09
1962,1.0147130247162295e-08
1963,7.759263453976928e-09
1964,9.125952216137989e-09
1965,1.0396882466068291e-08
1966,9.970334780007306e-09
1967,1.0846738618397467e-08
1968,6.287982134978165e-09
1969,3.1792304344691047e-09
1970,6.438215210957665e-09
1971,7.707596338946132e-09
1972,4.617132176587546e-09
1973,4.9618833486420044e-09
1974,5.06301445213353e-09
1975,5.140332159925265e-09
1976,2.285410749536254e-09
1977,5.289103821581875e-09
1978,8.910887139279566e-09
1979,7.607565244427406e-09
1980,5.116635559687666e-09
1981,8.223214109648325e-09
1982,6.2075020679230875e-09
1983,5.052252838311233e-09
1984,2.8995041922996734e-09
1985,3.0077789148208467e-09
1986,3.5966913891627428e-09
1987,3.0554083707556856e-09
1988,5.396898483667201e-09
1989,4.390497743145261e-09
1990,9.262707045820662e-09
1991,6.4476117778156095e-09
1992,5.509944056569793e-09
1993,5.539207592608619e-09
1994,8.439882570598911e-09
1995,6.506940763983948e-09
1996,5.871901187504136e-09
1997,3.835915696193126e-09
1998,5.2449422582867555e-09
1999,5.941261621567051e-09
2000,6.627047355323157e-09
2001,3.943090742808408e-09
2002,4.81934359086722e-09
2003,8.333845835650777e-10
2004,2.642874807889939e-09
2005,3.602999676388663e-09
2006,3.706100981659688e-09
2007,4.393927499624084e-09
2008,8.51487946817997e-09
2009,2.860915504498962e-09
2010,3.7790344187271785e-09
2011,8.795135231220996e-09
2012,7.82978132329859e-09
2013,7.809550006676602e-09
2014,1.104377074512275e-08
2015,8.86630147078904e-09
2016,6.421154274960372e-09
2017,5.785906254107687e-09
2018,8.26069340709168e-09
2019,7.908061983030734e-09
