year,pas_ADV eu_VERB,pas_ADV su_VERB
1800,2.0210689399391413e-05,3.0341186629812e-06
1801,2.2166428607306443e-05,2.9455229650920955e-06
1802,2.083876825054176e-05,2.6988352601620136e-06
1803,1.9162082026014104e-05,2.880650981751387e-06
1804,2.4147511794581078e-05,3.287561867182376e-06
1805,2.196407331211958e-05,2.7774915452027926e-06
1806,2.296978527738247e-05,2.59062062468729e-06
1807,2.6012628950411454e-05,2.471157131367363e-06
1808,2.215087260992732e-05,2.3816437533241697e-06
1809,2.2766509573557414e-05,2.602403128548758e-06
1810,2.537633372412529e-05,2.8643150926654926e-06
1811,2.044521170319058e-05,2.421836143184919e-06
1812,2.512510218366515e-05,2.528513505239971e-06
1813,2.4501317966496572e-05,3.309978637844324e-06
1814,2.291724922542926e-05,4.005719802080421e-06
1815,2.3665439584874548e-05,4.283191174181411e-06
1816,2.2508569600176997e-05,2.667562057467876e-06
1817,2.2201014871825464e-05,4.018290383100975e-06
1818,2.2368896679836325e-05,3.2461366572533734e-06
1819,2.2470059775514528e-05,3.1322276754508493e-06
1820,2.3604803573107347e-05,3.4756922104861587e-06
1821,2.441605829517357e-05,3.675376774481265e-06
1822,2.275012775498908e-05,3.0066821636864915e-06
1823,2.273709833389148e-05,3.421386281843297e-06
1824,2.192099782405421e-05,3.200864966856898e-06
1825,2.2650241589872167e-05,3.0845467335893773e-06
1826,2.1821781047037803e-05,3.127715217488003e-06
1827,2.4740082153584808e-05,3.028795845239074e-06
1828,2.553660306148231e-05,3.2323189316230128e-06
1829,2.551805846451316e-05,3.399264414838399e-06
1830,2.533228871470783e-05,3.5537425446818816e-06
1831,2.6118388632312417e-05,3.5735045003093546e-06
1832,2.672980735951569e-05,3.5813829981634626e-06
1833,2.3818256522645243e-05,3.4889887956524035e-06
1834,2.4819584723445587e-05,3.0803951176494593e-06
1835,2.3432714442606084e-05,3.4979282190761296e-06
1836,2.2404292394639924e-05,3.4074203085765475e-06
1837,2.3403561499435455e-05,2.987022526212968e-06
1838,2.2798265490564518e-05,3.405411234780331e-06
1839,2.3339642211794853e-05,3.281099225205253e-06
1840,2.4296539777424186e-05,3.6039698443346424e-06
1841,2.450209649396129e-05,4.209311555314343e-06
1842,2.4369785023736767e-05,3.737845190698863e-06
1843,2.3371874704025686e-05,3.6286155591369607e-06
1844,2.384340768912807e-05,4.017078026663512e-06
1845,2.402567224635277e-05,3.681834414237528e-06
1846,2.443903031235095e-05,4.208215614198707e-06
1847,2.4589324311818928e-05,4.013636953459354e-06
1848,2.550013414293062e-05,3.9807755456422456e-06
1849,2.829728509823326e-05,4.50393554274342e-06
1850,2.563253292464651e-05,3.986498541053152e-06
1851,2.5477862436673604e-05,3.811618398685823e-06
1852,2.4818849851726554e-05,3.41217696586682e-06
1853,2.3702597900410183e-05,3.453568069744506e-06
1854,2.4187896997318603e-05,3.5751368159253616e-06
1855,2.4087656129267998e-05,3.766863983400981e-06
1856,2.4798737285891548e-05,3.6975486636947608e-06
1857,2.434701491438318e-05,3.982823272963287e-06
1858,2.5688374080345966e-05,4.406265816214727e-06
1859,2.5129875211860053e-05,4.177109985903371e-06
1860,2.4018314434215426e-05,4.2325218601035886e-06
1861,2.4906890757847577e-05,4.427818566909991e-06
1862,2.463386772433296e-05,4.0133272705134004e-06
1863,2.477481757523492e-05,3.9961960283108056e-06
1864,2.532575308578089e-05,4.386216915008845e-06
1865,2.5237157387891784e-05,4.105780135432724e-06
1866,2.4979570298455656e-05,3.767930593312485e-06
1867,2.5342351364088245e-05,4.153036115894793e-06
1868,2.45813080255175e-05,3.852113877655938e-06
1869,2.582746856205631e-05,4.224244094075402e-06
1870,2.4851367925293744e-05,4.389987680042395e-06
1871,2.818754182953853e-05,5.244737167231506e-06
1872,2.734183544816915e-05,4.683059614762897e-06
1873,2.6412048100610264e-05,4.186013029539026e-06
1874,2.6748923119157553e-05,4.145183993387036e-06
1875,2.5674780772533268e-05,4.2058945837197825e-06
1876,2.497850618965458e-05,3.974045739596477e-06
1877,2.4468368792440742e-05,3.73810280507314e-06
1878,2.4206479793065228e-05,3.7351762784965103e-06
1879,2.5364695829921402e-05,4.170225565758301e-06
1880,2.4315293558174744e-05,3.758290858968394e-06
1881,2.434241832816042e-05,3.6075753087061457e-06
1882,2.5305771487182938e-05,3.956626642320771e-06
1883,2.4984770789160393e-05,4.056383659190033e-06
1884,2.4729957658564672e-05,3.98478414354031e-06
1885,2.518438850529492e-05,3.7687632357119583e-06
1886,2.3946868168422952e-05,3.916607056453358e-06
1887,2.5392946554347873e-05,3.897115220752312e-06
1888,2.525276613596361e-05,3.8690432120347396e-06
1889,2.504175245121587e-05,4.163809990131995e-06
1890,2.6125129807041958e-05,3.852668214676669e-06
1891,2.4647833924973384e-05,3.7442168832058087e-06
1892,2.4835846488713287e-05,3.830688001471572e-06
1893,2.5230416213162243e-05,3.943234332837164e-06
1894,2.5523755539325066e-05,4.152714609517716e-06
1895,2.457400296407286e-05,4.151038410782348e-06
1896,2.4874258087947965e-05,4.212247858959017e-06
1897,2.4384213247685693e-05,4.1777534534048755e-06
1898,2.5205141355399974e-05,4.185485067864647e-06
1899,2.5254952561226673e-05,4.234124844515463e-06
1900,2.3609429263160564e-05,3.935856511816382e-06
1901,2.4198121536755934e-05,3.891439064318547e-06
1902,2.1113239199621603e-05,3.5187094908906147e-06
1903,2.3992639398784377e-05,4.139268639846705e-06
1904,2.376928023295477e-05,4.048705250170315e-06
1905,2.4114162442856468e-05,4.110028385184705e-06
1906,2.3862328816903755e-05,4.173991328570992e-06
1907,2.3410737412632443e-05,4.064389031555038e-06
1908,2.4200870029744692e-05,4.0887312025006395e-06
