year,ces_DET herbes_NOUN
1800,4.181738830766335e-07
1801,4.095634125178549e-07
1802,5.348437923657912e-07
1803,5.012371868673426e-07
1804,3.683057911985088e-07
1805,4.889749618541828e-07
1806,4.84120420196632e-07
1807,2.1921554571591173e-07
1808,5.574542285557982e-07
1809,6.347875824985749e-07
1810,3.697400217106406e-07
1811,1.930449116116506e-07
1812,1.626997043757683e-07
1813,1.6966875548973803e-07
1814,1.7936060103806994e-07
1815,3.6951961490672147e-07
1816,1.900435186996674e-07
1817,3.8454773232388106e-07
1818,2.3842354934799914e-07
1819,2.732677284456031e-07
1820,1.4358442168571628e-07
1821,1.9525747063653398e-07
1822,2.5866089004011883e-07
1823,1.9468893874829973e-07
1824,1.9958037000833428e-07
1825,1.5585634116632718e-07
1826,1.567821286130311e-07
1827,1.6591091167583727e-07
1828,1.8619770969507954e-07
1829,1.4488666977285902e-07
1830,3.1310508319393193e-07
1831,1.668259024256713e-07
1832,2.1242051495562464e-07
1833,2.6063163716116833e-07
1834,1.5868702862853468e-07
1835,2.2235478525090002e-07
1836,2.1170362174416368e-07
1837,2.463093276006134e-07
1838,1.401299938308398e-07
1839,2.405067505151237e-07
1840,1.5159859145796872e-07
1841,2.1252016146888764e-07
1842,2.1533530869533024e-07
1843,2.309602269434663e-07
1844,2.3545927163581837e-07
1845,1.752191529647007e-07
1846,1.9671123840936389e-07
1847,1.2512278857457204e-07
1848,1.8745366681116593e-07
1849,1.424500597480005e-07
1850,1.6972489902400412e-07
1851,2.0380226928295997e-07
1852,1.4518516433525974e-07
1853,1.6243655132086587e-07
1854,1.865243479670653e-07
1855,2.1174678366264743e-07
1856,2.2261913379395537e-07
1857,1.332652033170234e-07
1858,1.424059750121387e-07
1859,1.9095649861355923e-07
1860,1.597437204736707e-07
1861,1.542120182662643e-07
1862,1.5180433710071384e-07
1863,2.1826493679100167e-07
1864,1.9418647845270698e-07
1865,1.798014572784723e-07
1866,1.8781265787026769e-07
1867,1.6790727386251092e-07
1868,1.6350983678137254e-07
1869,1.8752712982461617e-07
1870,2.104395946389559e-07
1871,1.5825554378068318e-07
1872,1.9411959506498988e-07
1873,1.7598853396805225e-07
1874,1.3323378400542651e-07
1875,1.5905845884844894e-07
1876,1.4631355149674619e-07
1877,2.418263047587743e-07
1878,2.49414361164213e-07
1879,2.8958200815054624e-07
1880,1.1552123124758396e-07
1881,1.443309114446123e-07
1882,1.5174278189533652e-07
1883,1.8642049770534186e-07
1884,1.769254822647781e-07
1885,1.6307458317044166e-07
1886,1.1358096152491726e-07
1887,1.2274378313748002e-07
1888,1.3632321582690565e-07
1889,1.359534671507845e-07
1890,1.2912141045262615e-07
1891,1.217476039983012e-07
1892,1.310119088770989e-07
1893,2.0569110947832314e-07
1894,1.2161970985857806e-07
1895,1.48057914373112e-07
1896,9.907008546861107e-08
1897,1.4275448734224483e-07
1898,1.2165462859314857e-07
1899,1.8462112549855192e-07
1900,1.3496738482388082e-07
1901,9.500856368305222e-08
1902,1.2373915225794008e-07
1903,1.242050693406327e-07
1904,1.1662936749701203e-07
1905,1.0527948823835231e-07
1906,1.7130134377651984e-07
1907,2.1085658197250723e-07
1908,1.3457206460287807e-07
1909,1.0176819831286821e-07
1910,1.4001674664143593e-07
1911,1.1385601084157315e-07
1912,1.3284024369397684e-07
1913,1.2515055836104239e-07
1914,9.509376219796195e-08
1915,1.0602685840410686e-07
1916,1.1866458748954756e-07
1917,1.3159709144616727e-07
1918,1.1486376561009592e-07
1919,6.905886085206703e-08
1920,1.044967952168463e-07
1921,8.708659304801358e-08
1922,1.2542490424038988e-07
1923,1.0828266949758358e-07
1924,1.4567535400189513e-07
1925,1.4407612880518172e-07
1926,1.3375365437440223e-07
1927,1.694682119079971e-07
1928,1.1426041002238208e-07
1929,1.3479891780576736e-07
1930,1.417986492668888e-07
1931,9.238338982697769e-08
1932,1.2055490206108743e-07
1933,1.3420674527253595e-07
1934,1.1023053403391714e-07
1935,1.328479601880872e-07
1936,1.527714026394733e-07
1937,1.057653902236666e-07
1938,1.25762577241062e-07
1939,8.5646680858531e-08
1940,1.065028847335725e-07
1941,1.1806010213888385e-07
1942,1.426079556665627e-07
1943,2.0032322911589517e-07
1944,1.5744611836510103e-07
