year,mais_CONJ avoir_VERB,mais_CONJ savoir_VERB
1800,1.8550570501929542e-07,6.288329146286742e-08
1801,1.8811342528124442e-07,6.429193000201394e-08
1802,2.1707049313590687e-07,3.5805442166747525e-08
1803,1.9698425646197393e-07,8.386458993925316e-08
1804,2.595443504560535e-07,7.168367766041683e-08
1805,3.1555943813543763e-07,6.8229062843983e-08
1806,2.593502230752165e-07,2.881669125542885e-08
1807,1.2526602510831708e-07,4.8398235641400333e-08
1808,2.7872710717247173e-07,2.4926813502190726e-08
1809,2.8915590633005195e-07,1.3554183109221185e-08
1810,2.2231204610534405e-07,7.956430891908894e-08
1811,1.1281845502253418e-07,3.008492122091866e-08
1812,1.7603573887470247e-07,3.467370524035118e-08
1813,1.5529004571135374e-07,5.7514832008109806e-08
1814,1.3216043903696573e-07,6.293354282149721e-09
1815,1.618334160014001e-07,5.933891866760632e-08
1816,1.251506134281044e-07,9.733936678912869e-08
1817,2.5221349631010526e-07,3.7364962679475866e-08
1818,1.2755659462015956e-07,2.8610824820418657e-08
1819,1.355987624407362e-07,9.108923748613051e-08
1820,3.22768279659158e-07,2.254631414899677e-08
1821,2.662601765734962e-07,6.409967312492881e-08
1822,1.9950975627125445e-07,4.8122956286533736e-08
1823,1.4527550007414902e-07,1.3143973376372742e-07
1824,1.6000114300140922e-07,4.8000343255694133e-08
1825,1.5937852282377207e-07,5.0191026446100295e-08
1826,1.550205261935389e-07,2.55431547024898e-08
1827,1.8065855655891028e-07,2.949527377893446e-08
1828,1.5868080538439244e-07,3.760643574324263e-08
1829,1.5345984749615127e-07,5.658296098332016e-08
1830,2.0873672212928795e-07,9.393151856329496e-08
1831,2.2607249405837138e-07,4.5214497035317436e-08
1832,2.3677446492342824e-07,3.923691149765318e-08
1833,1.7491279535875037e-07,7.41352224054026e-08
1834,2.062931265811585e-07,4.947301412983052e-08
1835,1.663879345414898e-07,2.8739734148075513e-08
1836,2.2447305170203435e-07,6.048675160741368e-08
1837,2.163904113672288e-07,4.0355765840160984e-08
1838,1.8747120478224133e-07,5.3653374187945246e-08
1839,1.6639710231913796e-07,6.781730643723449e-08
1840,1.3758527828144906e-07,6.433385468795905e-08
1841,1.3483151839466245e-07,4.237561945785728e-08
1842,1.6166919181159756e-07,5.970355765327895e-08
1843,1.3763102479913414e-07,4.371114048495883e-08
1844,1.9758821068194266e-07,6.09230301762409e-08
1845,1.86937636925677e-07,4.7431937488795484e-08
1846,2.253982955835454e-07,5.795956425913573e-08
1847,1.7204383695457182e-07,3.3437987490003707e-08
1848,1.2630997936469157e-07,4.746680737355291e-08
1849,1.0139091699556957e-07,2.4300303103075294e-08
1850,1.398533164831406e-07,5.702756578074286e-08
1851,1.1415506406819986e-07,3.4826968420276216e-08
1852,1.4127883574133193e-07,6.054807144550978e-08
1853,1.5945057185717815e-07,4.837264810930719e-08
1854,1.2001985183474062e-07,2.338048954442229e-08
1855,1.3638828377793288e-07,4.086341576226005e-08
1856,1.7913074046305155e-07,1.0095518732100572e-07
1857,1.5376753736973114e-07,5.0767695825015835e-08
1858,1.7617233538658184e-07,3.7191938861980134e-08
1859,1.644771998599026e-07,5.0412517271780644e-08
1860,1.8034105409014956e-07,3.8448343619990055e-08
1861,2.1504795100213414e-07,4.998921543375445e-08
1862,1.1837124347380268e-07,1.8071945273590018e-08
1863,1.718149533758151e-07,4.694943722682865e-08
1864,1.5247234586013292e-07,4.8426750609564806e-08
1865,1.379105363241706e-07,6.260102924926514e-08
1866,1.610517834649272e-07,4.135771014546208e-08
1867,1.6548087344858686e-07,5.6292611461117303e-08
1868,1.481962215166277e-07,5.0386716132777565e-08
1869,1.6066777774881302e-07,6.836926980113844e-08
1870,1.47938457928376e-07,7.568944404567901e-08
1871,1.6037977701444106e-07,4.0360474073963815e-08
1872,1.6206869801749235e-07,6.289232779010945e-08
1873,1.7119973527712773e-07,3.052862229679931e-08
1874,1.786408141413176e-07,5.078417597559337e-08
1875,1.504761613091432e-07,6.865832880009748e-08
1876,1.6021938620269793e-07,3.627608746725741e-08
1877,1.818335917391778e-07,5.813727099734933e-08
1878,2.2706973012986964e-07,4.891661786743384e-08
1879,1.8694534986707367e-07,6.292605014834862e-08
1880,1.4953581839449726e-07,3.9790648109772064e-08
1881,1.554869157871508e-07,4.113779361603065e-08
1882,1.4575293150187463e-07,5.0580927002386034e-08
1883,1.6303894767588645e-07,4.044376833434171e-08
1884,1.439169956540809e-07,2.5746617282607076e-08
1885,1.411594219291601e-07,4.7697703564608673e-08
1886,1.5552847898447908e-07,6.38892929671897e-08
1887,1.55388406142265e-07,2.8727269008044232e-08
1888,1.5978349665601854e-07,4.9456794215529953e-08
1889,1.3470043924712627e-07,5.5759716843795104e-08
1890,1.4485193844393507e-07,2.7528422208433767e-08
1891,1.2493471679420054e-07,4.079500914855316e-08
1892,1.623544712003877e-07,4.3252734727161624e-08
1893,1.5642378237146204e-07,3.325545017140996e-08
1894,1.203593988918783e-07,3.528862002610822e-08
1895,1.4986349938794774e-07,5.2963809338280043e-08
1896,1.7455205103544813e-07,5.7790882301844704e-08
1897,1.9694291530925057e-07,3.204692511360463e-08
1898,1.7823817621831495e-07,5.771521838227045e-08
1899,1.3155636224837508e-07,3.703477524652499e-08
1900,1.713047552698299e-07,5.710158390570541e-08
1901,1.2630550294545628e-07,6.091725346379917e-08
1902,1.0900829927606992e-07,4.713872581163514e-08
1903,1.312253541385644e-07,4.10416749474507e-08
1904,9.674325340824907e-08,2.579820179704484e-08
1905,1.2747074684682502e-07,6.657379003627284e-08
1906,1.625562298102068e-07,3.137952475640304e-08
1907,1.23942527352483e-07,5.502842270743713e-08
1908,1.4046572971437854e-07,4.6167057732304784e-08
1909,1.36974492193076e-07,5.721022766635997e-08
1910,1.2505312341204444e-07,6.306097866115579e-08
1911,1.3886176830624208e-07,4.628725669419964e-08
1912,1.4065437525800917e-07,5.0010443786163705e-08
1913,1.4848371066022992e-07,6.469647395590528e-08
1914,1.500070574422807e-07,5.893134513712539e-08
1915,2.0498525543644064e-07,3.534228509849413e-08
1916,9.778841247864989e-08,4.394984909339428e-08
1917,1.3159709055798885e-07,6.250862050194428e-08
1918,1.343906035344844e-07,5.2837332731314746e-08
1919,1.2983066000060717e-07,9.299926873040931e-08
1920,1.294851621480575e-07,3.9375606775138294e-08
1921,1.6357135024236413e-07,5.9067430058235004e-08
1922,1.5493664662358242e-07,8.853522714957762e-08
1923,1.709167634089681e-07,4.4586981218230903e-08
1924,1.0957880824946642e-07,7.090393516762106e-08
1925,1.5067504222088246e-07,6.928852158694099e-08
1926,1.5047286794356296e-07,4.012609711168125e-08
1927,1.627786794244912e-07,8.027442177649391e-08
1928,1.4054030472721024e-07,7.541187230231117e-08
1929,1.4593931751960554e-07,7.129859902477165e-08
1930,1.207914390732867e-07,7.352522501946623e-08
1931,1.8248570654577634e-07,5.7026781519198266e-08
1932,1.6000923253045585e-07,4.603005265835236e-08
1933,1.1814782396868395e-07,6.997104051720271e-08
1934,8.866369682891673e-08,4.553000465534751e-08
1935,1.6516231227114986e-07,3.590485242455088e-08
1936,1.1397231602927604e-07,7.881064334469556e-08
1937,1.7879387925745505e-07,5.791914325925518e-08
1938,1.2187301479116286e-07,4.408172848968661e-08
1939,1.3611704829941118e-07,9.176430104673727e-08
1940,1.4707540785252604e-07,6.846613942457225e-08
1941,1.4757512545315876e-07,8.264207096431164e-08
1942,1.608132293995368e-07,5.76500234217292e-08
1943,1.3354882000271573e-07,8.709705667797607e-08
1944,1.8957798708640894e-07,1.317406344014671e-07
1945,1.3506724982903506e-07,1.0021118335146184e-07
1946,1.6148481307709517e-07,9.466351258424766e-08
1947,1.4066627684883315e-07,6.914105199484766e-08
