year,vos_DET âges_NOUN,vos_DET sages_ADJ
1800,4.4018303668735825e-08,3.772997381190635e-08
1801,4.7623651688866175e-09,5.4767200996508336e-08
1802,4.475680270843441e-09,3.8043282302169246e-08
1803,1.1702034896643454e-08,2.145373079187607e-08
1804,9.887403562558461e-09,2.9662210465630778e-08
1805,2.842877711017877e-09,1.421438877713399e-08
1806,2.881669125542885e-09,1.729001475325731e-08
1807,4.27043254092041e-08,1.9928686256776018e-08
1808,4.5321479902327155e-09,1.5862518409903714e-08
1809,2.4849335034105025e-08,1.8072244145628247e-08
1810,7.020380277111826e-09,2.574139479349924e-08
1811,2.0056614147279106e-08,1.7549536934780008e-08
1812,5.3344164641089264e-09,1.8670457180292033e-08
1813,1.4378708002027452e-08,5.1763349606659403e-08
1814,6.293354282149721e-09,2.2026739543434815e-08
1815,0.0,1.0788894222457657e-08
1816,0.0,2.7811246638975717e-08
1817,1.556873407970727e-09,4.047870949541732e-08
1818,2.741870730460505e-08,2.8610825264507866e-08
1819,3.415846561161118e-08,4.0369095177794634e-08
1820,9.374520004712394e-08,4.153268307049984e-08
1821,1.1833785507064931e-08,5.9168928867592285e-08
1822,4.6117833107928163e-08,2.105379337535851e-08
1823,3.9530747564242574e-09,3.5577674140085946e-08
1824,1.6842225392110777e-09,3.03160057057994e-08
1825,6.163809906922779e-09,1.4088708866211164e-08
1826,5.284790383086602e-09,2.02583643194032e-08
1827,1.8434546111834038e-09,1.935627302884768e-08
1828,1.834460228167245e-08,1.2841221697090788e-08
1829,8.573175946935407e-09,2.2290258194779256e-08
1830,0.0,3.965997663613052e-08
1831,1.5591206548037917e-08,5.9246584527272717e-08
1832,2.976593194148336e-08,4.735489433915774e-08
1833,9.266902800675325e-09,1.853380560135065e-08
1834,3.733812370398937e-09,2.14694217959277e-08
1835,7.563087933704082e-09,3.100866052818674e-08
1836,3.36037508930076e-09,1.4785650370718884e-08
1837,3.478945576063097e-09,3.687682026409789e-08
1838,3.787297142565649e-09,1.51491887923072e-08
1839,1.3982949909063791e-08,2.2372720787089406e-08
1840,7.64362617644565e-09,3.885510224677091e-08
1841,3.852329122366882e-09,1.0272877215555809e-08
1842,8.720745015011744e-09,2.951636668413471e-08
1843,1.9492807368237663e-08,1.5948659504161355e-08
1844,7.135129875823765e-09,1.3172547053130756e-08
