year,étais_VERB en_ADP,étais_VERB sans_ADP,etais_VERB en_ADP,etais_VERB sans_ADP
1800,5.973912209356058e-08,1.2576657937302116e-08,0.0,0.0
1801,3.5717739876872656e-08,0.0,0.0,0.0
1802,2.4616241489638924e-08,2.2378401354217203e-09,0.0,2.2378401354217203e-09
1803,1.5602713787643552e-08,0.0,0.0,0.0
1804,4.449331569844617e-08,7.4155526164076946e-09,0.0,0.0
1805,1.1371510844071508e-08,1.7057265822018053e-08,0.0,0.0
1806,3.7461699520235925e-08,2.881669125542885e-09,0.0,0.0
1807,6.263301344233696e-08,0.0,0.0,0.0
1808,2.4926814390369145e-08,6.798221985349073e-09,2.2660739951163578e-09,0.0
1809,3.388545621874073e-08,6.7770917766551975e-09,0.0,0.0
1810,4.44624070894406e-08,1.4040760554223652e-08,0.0,0.0
1811,3.5099073869560016e-08,3.008491944456182e-08,7.521229861140455e-09,0.0
1812,2.6672083208723052e-08,0.0,2.6672082320544632e-09,0.0
1813,2.0130190847567064e-08,1.7254450312975678e-08,0.0,0.0
1814,2.8320094713762956e-08,6.293354282149721e-09,0.0,3.1466771410748606e-09
1815,1.8880564667256294e-08,0.0,5.394447111228828e-09,0.0
1816,2.3176038865813098e-08,4.6352077731626196e-09,0.0,0.0
1817,4.0478710161551135e-08,3.7364962679475866e-08,0.0,0.0
1818,4.410835785506606e-08,3.5763532135746345e-09,0.0,0.0
1819,5.589566853814176e-08,1.1386155129855524e-08,1.035105001712111e-09,0.0
1820,4.153268307049984e-08,5.933240565525466e-09,1.1866481131050932e-09,0.0
1821,8.973954379598581e-08,9.861488514673056e-09,3.94459531705138e-09,9.86148829262845e-10
1822,6.015369535816717e-08,1.0025615893027862e-08,3.0076847679083585e-09,0.0
1823,7.214361374963119e-08,9.882686669016039e-09,1.9765373782121287e-09,9.882686891060644e-10
1824,5.894779064874456e-08,1.7684335773537896e-08,8.421112696055388e-10,0.0
1825,5.107157008410468e-08,1.937197424695114e-08,3.522177216552791e-09,0.0
1826,5.19671061738336e-08,3.5231937367541377e-09,2.642395191543301e-09,1.7615968683770689e-09
1827,4.7008093417844066e-08,1.8434546111834038e-09,0.0,9.217273055917019e-10
1828,6.970948618345574e-08,7.337841001486822e-09,9.172301251858528e-10,0.0
1829,7.287199821348622e-08,2.571952872898464e-09,3.429270423183084e-09,0.0
1830,7.097048637660919e-08,1.1480519646056564e-08,2.0873671680021744e-09,0.0
1831,7.327867024287116e-08,9.354723218280014e-09,0.0,1.5591206103948707e-09
1832,1.1906372776593344e-07,1.352996914505411e-08,2.705993873419743e-09,0.0
1833,1.459537202208594e-07,6.486831694019202e-08,4.6334514003376626e-09,0.0
