year,devez_VERB avoir_VERB,devez_VERB savoir_VERB
1800,6.822837121944758e-07,3.238489512114029e-07
1801,7.857902346586343e-07,5.786273504782002e-07
1802,5.572221652982989e-07,3.2448681963614945e-07
1803,5.616976750388858e-07,5.558466682487051e-07
1804,1.0109870345331728e-06,3.8808059343864443e-07
1805,4.406460334394069e-07,2.842877790953935e-07
1806,1.5157579582592007e-06,7.117722589100595e-07
1807,3.9287979802793416e-07,3.501754690660164e-07
1808,6.050417482583725e-07,3.5577360790739476e-07
1809,6.890043096063891e-07,2.778607495201868e-07
1810,8.377653557545273e-07,2.8783560424017196e-07
1811,4.437525831235689e-07,2.3065106802278024e-07
1812,3.787435787216964e-07,4.3475495203892933e-07
1813,6.815507731516846e-07,3.105801056335622e-07
1814,5.569618792833353e-07,3.020809913323319e-07
1815,5.879947480025294e-07,3.074834751259914e-07
1816,8.575134415877983e-07,2.5725404384502326e-07
1817,8.531666253475123e-07,4.6861890723448596e-07
1818,6.49704190891498e-07,3.3021660783560947e-07
1819,8.912253974813211e-07,6.407299792954291e-07
1820,9.505051252745034e-07,3.4175465657426685e-07
1821,1.566990476931096e-06,5.552017796617292e-07
1822,1.0957998028970906e-06,5.53413997295138e-07
1823,9.111837471209583e-07,4.684393672960141e-07
1824,7.966372663759103e-07,1.2463247003324796e-06
1825,8.400392630392162e-07,1.3745296882916591e-06
1826,7.275394864336704e-07,6.385788537954795e-07
1827,7.383035836028284e-07,4.1846419662761036e-07
1828,8.062452820922772e-07,4.338498627021181e-07
1829,7.115735911611409e-07,3.42927052088271e-07
1830,8.067673888945137e-07,5.437591426016297e-07
1831,7.530552466050722e-07,3.8822102510494005e-07
1832,1.2028142464259872e-06,4.5866596565247164e-07
1833,7.69152904922521e-07,3.7646793771273224e-07
1834,6.142121264929301e-07,2.9683809543712414e-07
1835,7.162244060054945e-07,1.2887501270597568e-06
1836,9.099895805775304e-07,5.437086656456813e-07
1837,9.135710570262745e-07,5.197544510338048e-07
1838,6.425780725294317e-07,5.182284894544864e-07
1839,9.270696068597317e-07,4.817126182388165e-07
1840,6.261403768803575e-07,6.974809139137506e-07
1841,6.34992261439038e-07,5.682185246769222e-07
1842,7.191260351646633e-07,6.963178975638584e-07
1843,5.641099960485008e-07,4.743249633065716e-07
1844,7.343695074268908e-07,3.96274117520079e-07
1845,7.103629968696623e-07,4.229812873290939e-07
1846,6.235043770175253e-07,4.033751395127183e-07
1847,5.155922053745599e-07,3.7051447066005494e-07
1848,4.3685554373951163e-07,2.912370291596744e-07
1849,4.533263506800722e-07,4.2232250052620657e-07
1850,4.7522971158286964e-07,3.25192900163529e-07
1851,4.701640818893793e-07,3.0118877702989266e-07
1852,5.143330668033741e-07,5.429794782685349e-07
1853,6.778142846997071e-07,4.49089270659897e-07
1854,8.240323836616881e-07,3.9746834090692573e-07
1855,7.052919386296708e-07,3.720163022080669e-07
1856,7.99358019776264e-07,3.4635397128113254e-07
1857,6.448473754971928e-07,3.7245914086270204e-07
1858,1.019352680486918e-06,4.5657998271053657e-07
1859,9.104805940296501e-07,3.6969177585888247e-07
1860,1.1548235079317237e-06,3.684633043121721e-07
1861,1.0280800779582933e-06,3.980273390880029e-07
1862,1.0233238754153717e-06,3.1942161626830057e-07
1863,1.2846164736401988e-06,3.7060087265672337e-07
1864,8.596946940997441e-07,3.917292872301914e-07
1865,1.0797500635817414e-06,3.883146462158038e-07
1866,7.240032005029207e-07,4.179561585715419e-07
1867,7.293775752259535e-07,4.5422314087772975e-07
1868,8.442244734396809e-07,3.0676616802338685e-07
1869,7.847815481909493e-07,3.838445934434276e-07
1870,6.542549613186566e-07,2.792481836877414e-07
1871,5.703572014681413e-07,2.8783389893760614e-07
1872,6.452510774579423e-07,3.368367913481052e-07
1873,6.309248874458717e-07,3.3222323736481485e-07
1874,6.870800461911131e-07,3.0769237469030486e-07
1875,7.117579912119254e-07,3.587397543469706e-07
1876,7.630070513187093e-07,3.9359557035822945e-07
1877,6.537350714097556e-07,3.822216285698232e-07
