year,ses_DET âges_NOUN,ses_DET ages_NOUN,ses_DET sages_NOUN
1800,1.4463157071986643e-07,3.144164484325529e-09,3.8044390482383506e-07
1801,7.381665767525192e-08,0.0,3.7860802848399544e-07
1802,2.2378401354217203e-08,2.2378401354217203e-09,3.625301019383187e-07
1803,1.8918289867997373e-07,3.900678446910888e-09,2.515937573832616e-07
1804,3.9549615138412264e-08,0.0,3.8313688488500475e-07
1805,1.1087222873129576e-07,0.0,3.496739624520018e-07
1806,3.7461699520235925e-08,0.0,3.6020862914654117e-07
1807,4.27043254092041e-08,0.0,2.1921555060089304e-07
1808,6.118399653587403e-08,0.0,3.2631464685906053e-07
1809,6.551188391767937e-08,0.0,2.5075238507810127e-07
1810,1.8721014072298203e-08,0.0,2.714546920579153e-07
1811,7.521229861140455e-09,0.0,1.855236746450828e-07
1812,1.600324850414836e-08,5.3344164641089264e-09,1.6803412261623407e-07
1813,3.738464116054274e-08,2.8757416448144113e-09,3.2208307221281984e-07
1814,4.090680150170556e-08,3.1466771410748606e-09,2.832009400322022e-07
1815,1.6183340889597275e-08,0.0,2.4814456445199085e-07
1816,5.7940098940889584e-08,4.6352077731626196e-09,1.923611261389624e-07
1817,7.628679554727569e-08,3.113746815941454e-09,2.475428765302823e-07
1818,7.867976847819591e-08,1.1921177378582115e-09,2.3723142783538265e-07
1819,9.522965882524659e-08,3.1053151161586356e-09,3.891994696525458e-07
1820,6.170570543417853e-08,8.306536791735653e-09,3.8210069419619686e-07
1821,2.859831660373402e-08,1.97229765852569e-09,3.0866457523259783e-07
1822,3.909990198280866e-08,2.0051231786055723e-09,2.837249439835432e-07
1823,2.2730180404550993e-08,0.0,3.1525771759799426e-07
1824,4.7158231097910175e-08,8.421112696055388e-10,4.3789784953673916e-07
1825,6.956300069305144e-08,7.924898959288385e-09,4.0152818869820806e-07
1826,2.8185549894033102e-08,5.284790383086602e-09,2.871402793314104e-07
1827,8.664236617050847e-08,9.217273055917019e-10,2.8112682848302484e-07
1828,3.760643352279658e-08,0.0,3.421268339742767e-07
1829,7.801590129474789e-08,8.57317605795771e-10,2.751989631732954e-07
1830,6.262101237552997e-08,0.0,2.5570246897643756e-07
1831,7.795603096383275e-08,0.0,2.7284611991973406e-07
1832,6.088486514954639e-08,1.3529969367098715e-09,2.2459749104974946e-07
1833,1.1467792404573629e-07,0.0,2.548398303492405e-07
1834,8.961149688957448e-08,9.334530925997342e-10,2.632337647856531e-07
1835,1.013453783116347e-07,1.5126175867408165e-09,2.8664102558195736e-07
1836,1.0954822471376247e-07,6.720750067579218e-10,2.123757083527522e-07
1837,9.671468603755784e-08,6.957890930081589e-10,2.720535468014873e-07
1838,6.375283589932224e-08,6.312161904276081e-10,2.8404729057740497e-07
1839,6.082583325905944e-08,1.3982950353153e-09,2.0834596625718405e-07
1840,7.38883869644269e-08,1.910906599622564e-09,2.305827306869901e-07
1841,6.292137300079048e-08,0.0,1.945426273408657e-07
1842,5.2324466537356784e-08,0.0,2.8510127503267313e-07
1843,7.029224491361674e-08,1.7720733769266417e-09,2.7289929899199095e-07
