year,des_DET âges_NOUN,des_DET ages_NOUN,des_DET sages_NOUN
1800,3.175606018146482e-07,2.829747991484055e-08,7.797528098762996e-07
1801,2.0001933620505952e-07,0.0,7.929337826340088e-07
1802,2.1483265300048515e-07,0.0,6.624006516631198e-07
1803,2.827991831821919e-07,7.801356893821776e-09,4.407766684977332e-07
1804,2.916784183071286e-07,4.943701892301533e-09,7.885204418300873e-07
1805,2.1037294750669844e-07,8.528632911009026e-09,7.334624454458094e-07
1806,3.4003695859041727e-07,0.0,4.2936869526499777e-07
1807,1.7935816742919997e-07,5.693910232196231e-09,5.950136099386327e-07
1808,2.243413206315381e-07,2.2660739951163578e-09,6.345007079744391e-07
1809,1.874995396722312e-07,0.0,4.134025788360418e-07
1810,2.129515372928381e-07,0.0,6.13113195768733e-07
1811,2.381722890021365e-07,0.0,3.8859690221215715e-07
1812,3.440698632672934e-07,5.3344164641089264e-09,5.68115375187972e-07
1813,2.933256553205865e-07,0.0,4.1698254893418607e-07
1814,2.0453401816666883e-07,0.0,4.751482602927126e-07
1815,2.7781401268356376e-07,8.091670444798638e-09,3.830057409004439e-07
1816,4.1253348825875946e-07,9.270415546325239e-09,4.380271469983654e-07
1817,4.919719917007015e-07,3.113746815941454e-09,5.589175808839997e-07
1818,3.516747337783954e-07,0.0,6.008273341073789e-07
1819,1.8631890696951814e-07,3.105315005136333e-09,7.25608579443815e-07
1820,2.2427649515321946e-07,1.1866481131050932e-09,5.707777495089772e-07
1821,2.642878911274238e-07,5.9168929755770705e-09,8.865478222652712e-07
1822,3.0076847679083585e-07,5.012807946513931e-09,6.476547582678904e-07
1823,2.520085287116558e-07,9.882686891060644e-10,4.546035921038083e-07
1824,2.467386028826013e-07,1.6000114122505238e-08,5.768462187916157e-07
1825,4.0152820579564263e-07,0.0,5.503402054074513e-07
1826,2.686435358612016e-07,1.7615968683770689e-09,4.632999797138382e-07
1827,2.9126583012129004e-07,6.452091139141913e-09,5.309149047061368e-07
1828,3.558852768037468e-07,5.503380751115117e-09,4.0816739721449835e-07
1829,3.6435998440609296e-07,6.001223296081548e-09,4.518063788094828e-07
1830,3.266729482476194e-07,8.349468894053302e-09,5.552396686869798e-07
1831,3.3365182083855416e-07,4.677361831184612e-09,5.347783635922809e-07
1832,3.5177920232332127e-07,2.705993873419743e-09,5.655527061110277e-07
1833,4.4133624044206954e-07,1.50587168290528e-08,5.710728890884198e-07
1834,4.648596432232921e-07,1.4001796166951408e-08,5.5260420417369e-07
1835,3.335321636654953e-07,5.294161553592858e-09,4.840376206516339e-07
1836,2.6748584325275715e-07,8.064900081095061e-09,3.9585216482507235e-07
