year,bonnes_ADJ heures_NOUN,bonnes_ADJ soeurs_NOUN
1800,6.917161954334006e-08,9.432493897065797e-09
1801,4.7623650800687756e-08,7.143547975374531e-09
1802,6.937304419807333e-08,1.1189200677108602e-08
1803,3.315576790896557e-08,0.0
1804,9.640218934237055e-08,4.943701892301533e-09
1805,1.4782963830839435e-07,5.685755422035754e-09
1806,9.221341201737232e-08,2.881669125542885e-09
1807,5.4092147649953404e-08,0.0
1808,2.945896149242344e-08,0.0
1809,7.454800510231507e-08,0.0
1810,1.0998595456612748e-07,0.0
1811,4.011322829455821e-08,0.0
1812,9.868670503010435e-08,0.0
1813,2.5881675469463516e-08,2.8757416448144113e-09
1814,2.8320094713762956e-08,9.440031423224582e-09
1815,4.8550024445148665e-08,0.0
1816,3.9399267848239106e-08,2.3176038865813098e-09
1817,2.3353100786493997e-08,3.113746815941454e-09
1818,1.2994082965178677e-07,7.152706427149269e-09
1819,5.175525075173937e-08,3.1053151161586356e-09
1820,1.2697134366135288e-07,1.1866481131050932e-08
1821,9.960103142248045e-08,0.0
1822,2.556532194830652e-07,3.0076847679083585e-09
1823,1.4329896202980308e-07,2.9648061783404955e-09
1824,6.736890156844311e-08,8.421112696055388e-10
1825,1.4528980329941987e-07,1.7610886082763955e-09
1826,8.719904798226707e-08,2.642395191543301e-09
1827,4.055600300034712e-08,2.7651819167751057e-09
1828,6.879226077671774e-08,2.7516904310687096e-09
1829,1.0802202154991392e-07,1.714635211591542e-09
1830,8.662573947049168e-08,0.0
1831,5.14509785887185e-08,1.5591206103948707e-09
1832,9.606278439378002e-08,5.411987746839486e-09
1833,8.68772147555319e-08,6.950177322551099e-09
1834,7.934351486937885e-08,2.8003592777992026e-09
1835,8.016873209726327e-08,5.294161553592858e-09
1836,1.384474472843067e-07,4.032449929525228e-09
1837,1.544651837548372e-07,3.4789453540184923e-09
1838,1.6916594347549108e-07,8.837026665986514e-09
1839,6.571986688186371e-08,9.78806569129631e-09
1840,6.879263736436769e-08,3.821813088222825e-09
1841,7.704657889462396e-08,4.494383976094696e-09
1842,7.982835370512475e-08,7.379091560011375e-09
1843,7.560846171372759e-08,2.953455535692484e-09
1844,7.190015338665035e-08,1.6465683816413446e-09
1845,6.696273402440056e-08,1.0044410136966775e-08
1846,7.435216531348487e-08,1.1709002878390606e-08
1847,5.9325458323655766e-08,2.1572894581822766e-09
1848,6.275273278788518e-08,3.218088684420195e-09
1849,7.54147322368226e-08,8.379414939696517e-10
1850,9.572484316322516e-08,1.3577992064028876e-09
1851,7.029888138276874e-08,4.514607132577453e-09
1852,7.422021752745422e-08,4.557381805270211e-09
1853,1.4153478389289376e-07,3.5831591027601917e-09
1854,1.1950028522278444e-07,1.0391328908454511e-09
1855,7.641989441253827e-08,4.776243400783642e-09
1856,1.0457922172690814e-07,1.5531567698623405e-09
1857,9.714202775512604e-08,4.393358121745905e-09
1858,1.2821431027987273e-07,5.383043677475996e-09
1859,1.273043324090395e-07,1.0184346921349174e-08
1860,1.1946450229061156e-07,5.492620691605055e-09
1861,1.44780088362495e-07,5.659156532278331e-09
1862,1.4954534321987012e-07,5.873382252774562e-09
1863,9.739510886674907e-08,4.994620883547185e-09
1864,1.0308664855074312e-07,8.151037400594419e-09
1865,1.3979327206925518e-07,5.177528850097701e-09
1866,1.4937431558337266e-07,3.4059290943133647e-09
1867,1.1549691691925545e-07,2.91168689159349e-09
1868,1.6795571866623504e-07,5.433861360870651e-09
1869,1.3576183732766367e-07,8.790334349306761e-09
1870,1.6972784067093016e-07,2.8670243956696595e-09
1871,1.8587060424124502e-07,3.18635318130589e-09
1872,1.669065596843211e-07,4.837871325769072e-09
1873,1.8975633508944156e-07,2.3944017879529156e-09
1874,1.672890590498355e-07,2.987304514867617e-09
1875,1.9853699484428944e-07,6.293679688518239e-09
1876,1.4933657155324909e-07,6.650616501957529e-09
1877,1.459616640886452e-07,4.329371194877751e-09
1878,1.1897004981165082e-07,5.4351798062235446e-09
1879,2.1443732123316295e-07,3.6655952717623563e-09
1880,1.4696867367547384e-07,3.2089231272180996e-09
1881,1.9732196676613967e-07,6.9725074602899895e-09
1882,1.7104339633533527e-07,7.320923423037584e-09
1883,1.952675745542365e-07,6.319338829996468e-09
1884,1.9012887264580058e-07,3.300848483434038e-09
1885,2.0819403800942382e-07,5.156508553483263e-09
1886,1.8585976135909732e-07,3.872078324640427e-09
1887,1.664875810547528e-07,7.83470954779375e-09
1888,2.314324376584409e-07,2.53624587998047e-09
1889,2.0612300488664914e-07,8.144677710042458e-09
1890,1.999087828608026e-07,3.932631831293776e-09
1891,1.8357754072440002e-07,6.374219818638949e-09
1892,2.2817384603968094e-07,6.8953636134239105e-09
1893,1.7428318699330703e-07,2.4633666773077323e-09
1894,1.915667979801583e-07,6.9316932194141145e-09
1895,1.8236401899685006e-07,3.0093072478365457e-09
1896,2.4177819568649284e-07,8.255840733273345e-09
1897,2.0451764726203692e-07,4.078699600285063e-09
1898,2.1049079634849477e-07,9.619203211741478e-09
1899,2.2552519851615216e-07,7.185851913504848e-09
1900,1.920689669532294e-07,1.0382106507833555e-08
1901,1.9840022957851033e-07,7.265360757457984e-09
1902,1.5467394121060352e-07,7.856454153909453e-09
1903,1.5930649510664807e-07,1.3500550899436803e-08
1904,1.7037561406141322e-07,7.524475265086039e-09
1905,1.7546581432270614e-07,9.805442235943929e-09
1906,2.1399807792477077e-07,1.0288368823552219e-08
