year,longues_ADJ antennes_NOUN,longues_ADJ centaines_NOUN
1800,1.6978488304175698e-07,0.0
1801,2.6193008650921e-08,0.0
1802,6.489736392722989e-08,0.0
1803,1.1311967540450496e-07,0.0
1804,1.2606439270257397e-07,0.0
1805,3.1271653710973624e-08,0.0
1806,1.0085842205853623e-07,0.0
1807,5.4092147649953404e-08,0.0
1808,5.6651849433819734e-08,0.0
1809,3.6144488291256494e-08,0.0
1810,2.106114038724627e-08,0.0
1811,1.0028307073639553e-08,0.0
1812,1.0668832928217853e-08,0.0
1813,8.627225156487839e-09,0.0
1814,6.293354282149721e-09,0.0
1815,0.0,0.0
1816,7.879853569647821e-08,0.0
1817,9.808302792180257e-08,0.0
1818,3.695565098382758e-08,0.0
1819,2.794783426907088e-08,0.0
1820,6.289234733003468e-08,0.0
1821,3.944595405869222e-08,0.0
1822,3.909990198280866e-08,0.0
1823,5.929612001409623e-08,0.0
1824,1.6000115010683658e-08,0.0
1825,2.3774695989686734e-08,0.0
1826,4.668231667892542e-08,0.0
1827,2.3043183361437514e-08,0.0
1828,7.337841001486822e-09,0.0
1829,4.115124596637543e-08,0.0
1830,2.1917355041978226e-08,0.0
1831,3.4300654760954785e-08,0.0
1832,4.058990654698391e-08,0.0
1833,4.6334513115198206e-08,0.0
1834,3.827157613045529e-08,0.0
1835,5.3697924329298985e-08,1.5126175867408165e-09
1836,2.8899226123257904e-08,0.0
1837,1.948209416013924e-08,0.0
1838,3.7241754569095065e-08,0.0
1839,5.453350482298447e-08,0.0
1840,2.6752692505738196e-08,0.0
1841,6.099521243640993e-08,0.0
1842,3.6224630406422875e-08,0.0
1843,2.8353174030826267e-08,0.0
1844,3.0735943568060975e-08,0.0
1845,4.9664027557128065e-08,0.0
1846,1.1123552745573306e-08,0.0
1847,7.550513103637968e-09,0.0
1848,2.976732105253177e-08,0.0
1849,2.513824526317876e-08,0.0
1850,1.968808760466345e-08,0.0
1851,1.0319102017319892e-08,0.0
1852,6.77096707590863e-08,0.0
1853,2.149895550473957e-08,0.0
1854,3.585008556683533e-08,0.0
1855,2.812676669350367e-08,0.0
1856,2.174419400091665e-08,0.0
1857,2.0502337605421417e-08,0.0
1858,2.397901255335455e-08,0.0
1859,1.5276519604867644e-08,0.0
1860,1.3548464039558894e-07,0.0
1861,3.961409689168249e-08,0.0
1862,1.671654992208005e-08,0.0
1863,1.897955925755923e-08,0.0
1864,2.7329949858767577e-08,0.0
1865,2.6829013677343028e-08,0.0
1866,3.989802621617855e-08,0.0
1867,4.85281148598915e-08,2.91168689159349e-09
1868,4.0506968446152314e-08,0.0
1869,3.4672986259920435e-08,0.0
1870,4.243196016773254e-08,0.0
1871,4.248470730772169e-08,0.0
1872,4.2936108002322726e-08,0.0
1873,5.8662845248136364e-08,0.0
1874,4.958925714504403e-08,0.0
1875,2.2313955128083762e-08,0.0
1876,3.869449471949338e-08,0.0
1877,4.0201303619369355e-08,0.0
1878,5.254007007238215e-08,0.0
1879,6.720257772485638e-08,0.0
1880,3.401458670282409e-08,0.0
1881,4.044054335849978e-08,0.0
1882,5.390861801402025e-08,6.655385131892899e-10
1883,4.1707636455612374e-08,0.0
