year,trois_DET ondes_NOUN,trois_DET sondes_NOUN
1800,0.0,0.0
1801,3.333655484993869e-08,0.0
1802,2.2378401354217203e-09,6.713520406265161e-09
1803,0.0,0.0
1804,0.0,0.0
1805,0.0,0.0
1806,0.0,0.0
1807,0.0,0.0
1808,2.2660739951163578e-09,0.0
1809,0.0,0.0
1810,0.0,0.0
1811,0.0,0.0
1812,0.0,0.0
1813,0.0,0.0
1814,1.5733386149463513e-08,0.0
1815,5.394447111228828e-09,0.0
1816,0.0,2.3176038865813098e-09
1817,0.0,0.0
1818,0.0,7.152706427149269e-09
1819,0.0,0.0
1820,0.0,0.0
1821,0.0,5.9168927535324656e-09
1822,4.010246357211145e-09,1.0025615893027862e-09
1823,0.0,9.882686891060644e-10
1824,8.421112696055388e-10,0.0
1825,0.0,0.0
1826,3.5231937367541377e-09,0.0
1827,0.0,1.8434546111834038e-09
1828,1.8344602503717056e-09,4.586150570418113e-09
1829,2.5719527840806222e-08,0.0
1830,5.322786122974321e-08,1.0436835840010872e-09
1831,1.7150327380477393e-08,3.1182412207897414e-09
1832,2.705993873419743e-09,0.0
1833,1.7375443306377747e-08,1.1583628500844156e-09
1834,0.0,1.8669061851994684e-09
1835,4.5378527602224494e-09,1.5126175867408165e-09
1836,3.36037508930076e-09,2.688300027031687e-09
1837,0.0,0.0
1838,0.0,1.2624323808552163e-09
1839,2.7965900706306e-09,5.5931801412612e-09
1840,1.2739377330817092e-09,0.0
1841,1.926164561183441e-09,6.420548537278137e-10
1842,6.708265054555795e-09,2.0124795163667386e-09
1843,1.1223130869097986e-08,0.0
1844,4.390849017710252e-09,0.0
1845,9.48638767539478e-09,9.48638767539478e-09
1846,0.0,2.3418005312692003e-09
1847,5.3932236454556914e-09,7.011190739092399e-09
1848,0.0,0.0
1849,1.3407063903514427e-08,0.0
1850,0.0,0.0
1851,0.0,0.0
1852,0.0,0.0
1853,5.971931837933653e-09,0.0
1854,8.832629738719788e-09,5.195664454227256e-10
1855,1.0613874223963649e-09,5.306937111981824e-10
1856,1.1389816201301528e-08,1.2942972915652717e-08
1857,5.3696598834029885e-09,9.763018171682347e-10
1858,1.3212924976357954e-08,4.893676075479192e-09
1859,3.5645213447565993e-09,0.0
1860,0.0,0.0
1861,3.3011746669586728e-09,0.0
1862,1.3553959066214816e-09,0.0
1863,2.4973103585068657e-09,4.994620828036034e-10
1864,3.835782358407869e-09,2.876836879828204e-09
1865,7.0602665935837194e-09,9.41368871743009e-10
1866,6.811858188626729e-09,3.8924903300596725e-09
1867,2.135237053835226e-08,3.88224918879132e-09
1868,1.0867722721741302e-08,5.9278488784286765e-09
1869,4.395167341186834e-09,1.953407657850903e-09
1870,1.1468097582678638e-09,2.2936195165357276e-09
1871,0.0,0.0
