year,quels_DET âges_NOUN,quels_DET sages_NOUN
1800,0.0,6.288328968651058e-09
1801,0.0,2.143064325998978e-08
1802,0.0,6.713520406265161e-09
1803,0.0,0.0
1804,0.0,7.4155526164076946e-09
1805,1.7057265822018053e-08,1.7057266488151868e-08
1806,0.0,2.881669125542885e-09
1807,0.0,1.4234775136401367e-08
1808,0.0,1.5862517965814504e-08
1809,0.0,0.0
1810,0.0,1.1700633351097167e-08
1811,0.0,2.5070767684098882e-09
1812,0.0,0.0
1813,0.0,1.1502966579257645e-08
1814,0.0,1.5733385261285093e-08
1815,0.0,1.6183341333686485e-08
1816,0.0,2.3176038865813098e-09
1817,0.0,2.490997452753163e-08
1818,0.0,2.384235475716423e-09
1819,0.0,9.315945126431302e-09
1820,0.0,1.4239777357261119e-08
1821,4.930744257336528e-09,4.930744035291923e-09
1822,8.02049271442229e-09,8.02049271442229e-09
1823,0.0,1.1859224047228167e-08
1824,0.0,9.263223965660927e-09
1825,8.805443041381977e-10,7.044354433105582e-09
1826,0.0,6.1655891503420435e-09
1827,5.530363722527909e-09,2.7651818612639545e-09
1828,7.337841001486822e-09,1.0089531543577834e-08
1829,0.0,1.714635211591542e-09
1830,2.0873671680021744e-09,3.1310507520032616e-09
1831,1.5591206103948707e-09,6.236482441579483e-09
1832,1.0823975493678972e-08,8.117981842303834e-09
1833,1.0425265983826648e-08,8.108539839568607e-09
1834,0.0,6.534171426153534e-09
1835,1.5126175867408165e-09,3.781543966852041e-09
1836,0.0,1.0753199664037538e-08
1837,0.0,9.045258542172974e-09
1838,0.0,6.943378094703689e-09
1839,0.0,4.1948851059459e-09
1840,7.64362617644565e-09,3.184844332704273e-09
1841,1.2841097074556274e-09,5.1364388298225094e-09
1842,6.708265054555795e-10,1.341653010911159e-09
1843,5.906911071384968e-10,2.9534555912036353e-09
1844,0.0,2.7442806360689076e-09
1845,0.0,8.928364714222425e-09
1846,8.781752214304106e-09,2.3418005312692003e-09
1847,0.0,0.0
1848,1.6090443422100975e-09,7.240699539945439e-09
