year,les_DET ombres_NOUN,les_DET sombres_ADJ
1800,4.150297058913566e-06,4.621921672054441e-07
1801,4.281366294378586e-06,7.834090993696918e-07
1802,4.0034960591128765e-06,4.4756802708434407e-07
1803,4.752976792588015e-06,4.875848169660912e-07
1804,5.591326740272962e-06,8.478448751958467e-07
1805,4.068157970493758e-06,7.789485145792696e-07
1806,7.394362818047284e-06,5.878605175979601e-07
1807,3.8974816121140066e-06,5.52309291634856e-07
1808,4.899252147083644e-06,5.5518811059585e-07
1809,3.503756389022783e-06,4.924686560769942e-07
1810,5.7543717559838115e-06,7.675616018332221e-07
1811,4.497695613281394e-06,6.869390070107784e-07
1812,3.915461785908292e-06,5.067695632021696e-07
1813,4.788109890796477e-06,5.262606954659077e-07
1814,4.364441124948826e-06,7.677892153168386e-07
1815,3.0235875101425336e-06,4.935919246662479e-07
1816,2.952627394137153e-06,4.6815597443128354e-07
1817,4.427748109492313e-06,6.88138031890162e-07
1818,2.965988866066027e-06,6.020194636136011e-07
1819,3.320616755786432e-06,5.46535414258642e-07
1820,3.7130219325831604e-06,5.778976328585372e-07
1821,4.440628181612283e-06,5.56187949030118e-07
1822,3.819759584189342e-06,6.947751671759761e-07
1823,3.5320721991638493e-06,4.862281954842729e-07
1824,3.6387628767897695e-06,5.717935636084803e-07
1825,3.5142522101239138e-06,7.035549209888359e-07
1826,3.257192577876822e-06,5.689958157972796e-07
1827,3.1458552918195437e-06,5.12480378134228e-07
1828,3.0736381688711845e-06,5.430002163464565e-07
1829,3.566441343139104e-06,5.246783878476435e-07
1830,3.472335340148902e-06,7.535395489810526e-07
1831,2.9451789345102952e-06,5.815520118801487e-07
1832,3.23230978338529e-06,7.25206353635599e-07
1833,3.4669799902076193e-06,8.282294636785537e-07
1834,3.855161267551921e-06,7.598308258138786e-07
1835,3.792132368118928e-06,6.058033221734149e-07
1836,3.400027441813336e-06,7.648213458111286e-07
1837,2.957103532708061e-06,6.289933338621267e-07
