year,mes_DET ondes_NOUN,mes_DET sondes_NOUN
1800,4.087413785214267e-08,0.0
1801,2.6193008650921e-08,1.4287095950749062e-08
1802,3.3567602031325805e-08,0.0
1803,0.0,0.0
1804,3.9549615138412264e-08,1.2359254952798437e-08
1805,1.1371510844071508e-08,0.0
1806,2.0171682990621775e-08,3.458002950651462e-08
1807,4.555128185756985e-08,2.8469551160981155e-09
1808,2.039466551195801e-08,9.064295980465431e-09
1809,6.7770915546105925e-09,0.0
1810,5.616304221689461e-08,0.0
1811,5.0141535368197765e-09,0.0
1812,2.1337665856435706e-08,0.0
1813,5.751483289628823e-09,0.0
1814,0.0,3.1466771410748606e-09
1815,5.394447111228828e-09,0.0
1816,0.0,0.0
1817,1.71256075987003e-08,0.0
1818,2.026600132154499e-08,0.0
1819,9.315945348475907e-09,6.210630232317271e-09
1820,1.1866481131050932e-08,0.0
1821,5.9168927535324656e-09,0.0
1822,2.0051231786055723e-09,1.0025615893027862e-09
1823,6.917880934764753e-09,0.0
1824,3.3684450784221553e-08,1.6842225392110777e-09
1825,1.6730341778625757e-08,0.0
1826,7.0463874735082754e-09,2.642395191543301e-09
1827,9.217273055917019e-10,1.3825909306319772e-08
1828,9.172301140836225e-09,2.7516904310687096e-09
1829,1.2859764142447716e-08,1.2002446148073886e-08
1830,1.1480519646056564e-08,0.0
1831,7.795603274018958e-09,0.0
1832,2.705993873419743e-09,6.764984572527055e-09
1833,5.791814361444381e-09,0.0
1834,1.0267984462686286e-08,2.8003592777992026e-09
1835,1.3613558280667348e-08,6.806779140333674e-09
1836,1.680187500241459e-08,1.3441500135158435e-09
1837,1.1828414581138702e-08,0.0
1838,5.680945491803868e-09,1.2624324030596767e-08
1839,2.0974426639952526e-09,2.7965900706306e-09
1840,4.4587821212971335e-09,3.821813088222825e-09
1841,7.0626033910059505e-09,6.420548537278137e-09
1842,1.1404051036834062e-08,1.341653010911159e-09
1843,1.1223130869097986e-08,2.953455480181333e-09
1844,4.9397050894128824e-09,1.701453955504917e-08
1845,4.464182357111213e-09,8.370341586516616e-09
1846,1.1709002656346001e-09,1.1709002656346001e-09
1847,5.393223645455691e-10,5.9325460100012606e-09
1848,0.0,2.333114323960217e-08
1849,2.011059585527164e-08,0.0
1850,4.752297222410107e-09,6.1100964288129944e-09
1851,6.449438760824933e-09,1.9348316282474798e-09
1852,3.2552727180501506e-09,1.9531636308300904e-09
1853,0.0,1.7915795513800958e-09
1854,2.0782657816909023e-09,0.0
1855,1.0613874223963649e-08,1.0613874223963649e-09
