year,quels_DET airs_NOUN
1800,9.432493897065797e-09
1801,4.7623651688866175e-09
1802,0.0
1803,0.0
1804,1.730295684509997e-08
1805,8.528633133053631e-09
1806,2.881669125542885e-09
1807,2.562259604488304e-08
1808,1.1330369975581789e-08
1809,2.259030518203531e-09
1810,7.020380277111826e-09
1811,3.259199843341776e-08
1812,2.6672082320544632e-09
1813,2.8757416448144113e-09
1814,3.1466771410748606e-09
1815,5.1247248222807684e-08
1816,1.1588019432906549e-08
1817,2.1796227045456362e-08
1818,2.384235475716423e-09
1819,1.9666995143552413e-08
1820,4.746592452420373e-09
1821,8.875339130298698e-09
1822,4.010246357211145e-09
1823,8.894418535021487e-09
1824,1.0947446504872005e-08
1825,7.924898959288385e-09
1826,3.5231937367541377e-09
1827,2.7651818612639545e-09
1828,5.503380862137419e-09
1829,5.143905579263475e-09
1830,1.0436835617966267e-08
1831,7.795603274018958e-09
1832,2.1647950543268735e-08
1833,1.1583628833911064e-08
1834,4.667265685043276e-09
1835,1.2100940693926532e-08
1836,1.0081124712790768e-08
1837,2.7831562610103333e-09
1838,1.8936485712828244e-09
1839,1.5381245721535208e-08
1840,3.821813199245128e-09
1841,1.219904222082846e-08
1842,1.2074876654111222e-08
1843,1.00417489878879e-08
1844,1.2074834687680891e-08
1845,1.50666157328061e-08
1846,8.196301859442201e-09
1847,9.168480197274675e-09
1848,1.769948809737798e-08
1849,2.011059585527164e-08
1850,2.7155984128057753e-09
1851,1.289887774369447e-08
1852,9.114763388495817e-09
1853,1.3138249599364826e-08
1854,1.558699391779328e-08
1855,1.6982198758341838e-08
1856,6.730345836203355e-09
1857,1.0739320099872884e-08
1858,1.6149130477316476e-08
1859,2.34239969643113e-08
1860,1.9681890783829203e-08
1861,2.0750241080946807e-08
1862,9.487771568394976e-09
1863,1.548332440037825e-08
1864,1.9178911903061646e-08
1865,2.2592852699787613e-08
1866,1.3137154475373336e-08
1867,1.261730986357179e-08
1868,6.9158236915001225e-09
1869,1.2697149998075474e-08
1870,8.601073187008978e-09
1871,0.0
1872,1.0280476914203973e-08
1873,1.9753814750611554e-08
1874,1.3741600746186577e-08
1875,9.15444320348513e-09
1876,1.0278225159865428e-08
1877,1.855444820009211e-08
1878,1.6909448730118015e-08
1879,1.832797580370027e-09
1880,1.6686400261534118e-08
1881,9.761510488814906e-09
1882,2.1962770269112752e-08
1883,1.8958016156922497e-08
1884,1.3203393933736152e-08
1885,1.6758653131887513e-08
1886,1.5488313298561707e-08
1887,1.3057849246322917e-08
1888,6.340614699951175e-09
1889,5.6386229019267375e-09
1890,3.277193239004106e-09
1891,5.099376032546843e-09
1892,5.641661138255927e-09
1893,1.23168328869383e-08
1894,7.561846926407156e-09
1895,1.1435367985868083e-08
1896,1.2973464080801023e-08
1897,1.2818770045441852e-08
1898,9.053368055234046e-09
1899,4.4220627160029835e-09
1900,1.349673794948103e-08
1901,1.1177477832191585e-08
1902,1.1293653123800595e-08
1903,1.1880484596105134e-08
1904,8.061937784020756e-09
1905,4.1286072338664326e-09
1906,1.4403716441790948e-08
1907,9.257117961070094e-09
1908,1.1296194646348567e-08
1909,7.701377036095636e-09
1910,1.603245269876652e-08
1911,5.852411555373749e-09
1912,1.5107321948981678e-08
1913,1.1666577037772186e-08
1914,3.348371857558874e-09
1915,9.424609537234119e-09
1916,3.2962386153911893e-09
1917,4.386569774084137e-09
1918,9.189101035644853e-09
1919,1.9336481749121504e-08
1920,7.572231730534895e-09
1921,1.9689144148404836e-08
1922,1.1804697219730542e-08
1923,1.0615948120573648e-08
1924,2.578324886925998e-09
1925,1.9796720707176974e-08
1926,2.0063049221974438e-08
1927,1.2264147475349318e-08
1928,3.4278122562625413e-09
1929,1.3368487650211591e-08
1930,3.1510810627466412e-09
1931,1.4826963656844327e-08
1932,8.767629289252454e-09
1933,9.176529980337023e-09
1934,3.5944740517379614e-09
1935,1.196828414151696e-09
1936,2.9099314957647948e-08
1937,3.777335444432595e-09
1938,5.186085783037697e-09
1939,7.647025235257843e-09
1940,0.0
1941,1.1806010835613279e-08
1942,0.0
1943,2.9032352077962287e-09
1944,0.0
1945,0.0
1946,4.1763312808029696e-09
1947,1.1920870957027319e-08
1948,7.61032148410834e-09
1949,4.908504158684934e-09
1950,8.508289184305795e-09
1951,6.396840945832594e-09
1952,5.272402070488624e-09
1953,9.69644453618912e-09
1954,5.86352189024808e-09
1955,8.447047061821422e-09
1956,6.976913269340912e-09
1957,6.184526335495377e-09
1958,4.136121778408608e-09
1959,7.750747599288843e-09
1960,8.997083300599229e-09
1961,2.0844477810477713e-09
1962,3.8051738426858606e-09
1963,7.1126584622049904e-09
1964,9.125952660227199e-09
1965,3.283225968875314e-09
1966,4.985167278981351e-09
1967,4.930335473218861e-09
1968,9.43197286940034e-09
1969,4.9959335557403506e-09
1970,1.4715920482188949e-08
1971,8.221435976452085e-09
1972,3.0780880067027283e-09
1973,6.0645241051204835e-09
1974,5.625571675160757e-10
1975,2.8557400888473694e-09
1976,5.142174241967723e-09
1977,2.9383909194713453e-09
1978,4.158414057542359e-09
1979,7.022368020415115e-09
1980,2.8425752862659692e-09
1981,3.795329828193417e-09
1982,3.103751144983846e-09
1983,9.47297351672205e-09
1984,2.3196033982486597e-09
1985,6.015558051686298e-09
1986,1.1988970927134801e-09
1987,3.055408426266837e-09
1988,1.7989661427186832e-09
1989,3.2928733073589456e-09
1990,5.993515961311147e-09
1991,3.5168792322792797e-09
1992,2.754972083796048e-09
1993,5.5392074260751656e-09
1994,7.3848970827405935e-09
1995,1.626735190995987e-09
1996,4.270473752399084e-09
1997,3.835915585170824e-09
1998,1.9072516899143466e-09
1999,1.8280804647829996e-09
2000,4.418031274155965e-09
2001,1.3143635069212678e-09
2002,8.76244299341522e-10
2003,1.2500769308587678e-09
2004,3.52383291990499e-09
2005,4.053374635937246e-09
2006,2.8825228870488218e-09
2007,1.5977918155218873e-09
2008,5.960415494499216e-09
2009,3.337734755248789e-09
2010,2.834275814045384e-09
2011,3.441574691898097e-09
2012,3.7446779566074895e-09
2013,3.0680375462388554e-09
2014,6.712880029624557e-09
2015,7.979671590163662e-09
2016,8.078226310104242e-09
2017,4.276539233849519e-09
2018,5.6792266445171435e-09
2019,4.08158040698936e-09
