year,tes_DET hommes_NOUN,tes_DET sommes_NOUN
1800,1.1633408414368773e-07,0.0
1801,6.429192933588013e-08,2.3811825844433088e-09
1802,5.147032311469957e-08,0.0
1803,5.265915703489554e-08,1.950339223455444e-09
1804,3.2134061411781545e-08,0.0
1805,4.8328920421170096e-08,0.0
1806,4.8988375134229045e-08,0.0
1807,3.701041695336471e-08,2.8469551160981155e-09
1808,3.17250354875398e-08,4.5321479902327155e-09
1809,4.743963999409573e-08,0.0
1810,3.2761774626521856e-08,2.3401267590372754e-09
1811,4.512738049911036e-08,0.0
1812,3.7340915692851695e-08,2.6672082320544632e-09
1813,5.7514832008109806e-08,5.751483289628823e-09
1814,5.97868634599763e-08,3.1466771410748606e-09
1815,4.315557644574142e-08,2.697223555614414e-09
1816,5.5622495054308274e-08,0.0
1817,6.383181005986671e-08,0.0
1818,8.583247712579123e-08,2.384235475716423e-09
1819,8.90190277047509e-08,4.140420006848444e-09
1820,7.238553401123227e-08,0.0
1821,1.0946251638443982e-07,3.94459531705138e-09
1822,1.3434325296657335e-07,3.0076847679083585e-09
1823,8.202630330522709e-08,9.882686891060644e-10
1824,1.0694813301626027e-07,7.57900142644985e-09
1825,5.0191026890189505e-08,1.7610886082763955e-09
1826,8.279505481212368e-08,0.0
1827,3.133872894522938e-08,6.452091305675367e-09
1828,1.2566052465246003e-07,2.7516904310687096e-09
1829,8.230249326501848e-08,1.5431716349212365e-08
1830,8.55820561085352e-08,2.0873671680021744e-09
1831,7.483779085326603e-08,0.0
1832,6.900284710287252e-08,0.0
1833,7.992703565662396e-08,3.4750886612755494e-09
1834,8.214387525740108e-08,3.733812370398937e-09
1835,9.832014313815307e-08,2.2689263801112247e-09
1836,1.0081125045857675e-07,6.720750067579218e-10
1837,5.7750495718877914e-08,1.3915781860163179e-09
1838,9.405121126349059e-08,0.0
1839,6.921560258277282e-08,1.1885507689157748e-08
1840,8.853867239366764e-08,6.3696887764308485e-09
1841,9.309795645506824e-08,1.926164561183441e-09
1842,9.726984062652377e-08,1.341653010911159e-09
1843,1.2050098452398572e-07,1.1813822142769936e-09
1844,1.0592923610497351e-07,3.2931368743049916e-09
1845,1.0100212799457609e-07,1.674068439427856e-09
1846,1.1533367683114193e-07,1.7563503984519002e-09
1847,7.92803849236634e-08,1.0786447290911383e-09
1848,6.436177713009528e-08,1.6090443422100975e-09
1849,5.86559036896972e-08,2.513824481908955e-09
1850,9.029364544943519e-08,1.3577992064028876e-09
1851,1.0899551483589676e-07,1.2898877521649865e-09
1852,8.593920330923766e-08,1.3021090872200602e-09
1853,1.0450880338908064e-07,1.7915795513800958e-09
1854,1.0651111903570154e-07,4.676098175337984e-09
1855,7.907336296852918e-08,2.1227748447927297e-09
1856,1.097564146235186e-07,3.1063134287023786e-09
1857,9.421312308077745e-08,2.4407544874094356e-09
1858,1.0032036135143585e-07,4.893676019968041e-10
1859,1.0438955300173802e-07,0.0
1860,9.886717222684638e-08,2.288591982591015e-09
1861,8.771692439069056e-08,2.357981809808507e-09
1862,6.008921760169983e-08,2.710791813242963e-09
1863,9.339941087205261e-08,2.4973103585068657e-09
1864,9.014088675485254e-08,2.8768367688059016e-09
1865,1.3979328095103938e-07,2.8241067262513297e-09
1866,1.6299802751973402e-07,9.731225825149181e-10
1867,9.754151086838192e-08,2.426405742994575e-09
1868,5.680855075240743e-08,0.0
1869,6.250904682758573e-08,9.767038289254515e-10
1870,7.511603605792061e-08,1.1468097582678638e-09
1871,8.284517960532867e-08,2.1242354542039266e-09
1872,7.317280559249184e-08,6.047339295989218e-10
1873,5.4472640065306166e-08,1.7958012854535355e-09
1874,8.244960492120867e-08,5.974609140757536e-10
1875,7.78127713374488e-08,0.0
1876,5.1995725947051596e-08,0.0
1877,6.246664163711557e-08,6.184815992682502e-10
1878,4.7708800354762104e-08,0.0
1879,6.96463070548603e-08,6.10932526790009e-10
1880,7.7014155275279e-08,2.5671385017744797e-09
1881,4.60185487494158e-08,6.972507571312292e-10
1882,6.056400492226999e-08,0.0
1883,8.341527202304633e-08,6.319338941018771e-10
1884,9.70449445247823e-08,1.3203393933736152e-09
1885,6.574548561122384e-08,6.445635691854079e-10
1886,8.776710780367125e-08,3.2267319927115068e-09
1887,4.5702473139286326e-08,1.3057849246322917e-09
1888,8.433017217868155e-08,1.268122939990235e-09
1889,7.894072018288512e-08,2.5060546970934183e-09
1890,7.144281211068915e-08,6.554386478008212e-10
1891,7.712805949466883e-08,1.2748440081367107e-09
1892,9.026658087663009e-08,1.8805537127519756e-09
1893,5.357822319140837e-08,6.158416554491453e-10
1894,9.389293298411872e-08,6.301539290376468e-10
1895,5.537125469246007e-08,0.0
1896,4.5407123616669764e-08,1.7691086373616827e-09
1897,5.0692408937180744e-08,1.1653427112179315e-09
1898,5.8281056869446957e-08,2.26334195829736e-09
1899,5.030096517089078e-08,5.527578395003729e-10
1900,5.191053320530159e-08,1.038210628578895e-09
1901,4.750428006516927e-08,3.353243460679778e-09
1902,3.338992948798136e-08,2.9461704187383475e-09
1903,3.780154300692118e-08,2.1600881083827517e-09
1904,6.073326375144461e-08,2.6873125946735854e-09
1905,4.954328663986374e-08,0.0
1906,5.247068290969992e-08,1.5432553013283723e-09
1907,5.708556249928165e-08,1.028568674676933e-09
1908,4.2237946029644036e-08,2.4556945366072114e-09
1909,5.4459738496603904e-08,1.6502950117569526e-09
1910,5.9320070633361865e-08,5.344150677544235e-10
1911,5.533189195716659e-08,1.0640748282497725e-09
1912,6.772247296282785e-08,1.0418842455450772e-09
1913,5.3560196722202136e-08,1.060597942803554e-09
1914,1.0246018167237025e-07,6.696743715117748e-10
1915,9.071186379827623e-08,1.1780761921542648e-09
1916,1.681081673865492e-07,0.0
1917,5.373547939946377e-08,1.0966424435210342e-09
1918,1.1830967583392749e-07,0.0
1919,9.852397431231452e-08,7.366278698128781e-09
1920,6.739286284584978e-08,2.2716695191604686e-09
1921,7.194110041019997e-08,5.300923255902035e-09
1922,7.525493916915593e-08,1.4755870969551665e-09
1923,1.1996021642701749e-07,2.1231896241147297e-09
1924,1.2504876023555767e-07,6.445812328337297e-09
1925,6.818870001978894e-08,6.598906754362588e-09
1926,9.5856790283122e-08,0.0
1927,8.138934459722691e-08,5.574612327308159e-09
1928,1.0740478462167857e-07,4.570416489713125e-09
1929,8.243900406768034e-08,1.1140406375176326e-09
1930,7.982739003153938e-08,4.201441416995522e-09
1931,6.044838940510999e-08,2.2810713318222042e-09
1932,7.342889762895766e-08,3.287861094491973e-09
1933,9.291236091613087e-08,2.2941324395731044e-09
1934,7.907842913823515e-08,1.1981580172459871e-09
1935,8.018750374816364e-08,3.590485242455088e-09
