year,deux_DET airs_NOUN,deux_DET cerfs_NOUN
1800,1.131899196593622e-07,4.4018303668735825e-08
1801,4.286128785224719e-08,1.1905912700171939e-08
1802,3.1329761895904085e-08,4.0281122437590966e-08
1803,9.166594594489652e-08,5.460949736857401e-08
1804,6.921182338359699e-08,2.4718509905596875e-08
1805,1.2224374312808095e-07,5.685755422035754e-09
1806,4.8988376022407465e-08,8.645007376628655e-09
1807,6.547996633798903e-08,2.8469551160981155e-09
1808,1.1556977064230978e-07,1.3369836437959748e-07
1809,6.09938268780752e-08,1.129515236897305e-08
1810,3.97821557918121e-08,6.318342249400644e-08
1811,8.77476873384353e-08,1.0780430192980361e-07
1812,5.3344166417446104e-08,1.3336041160272316e-08
1813,1.5241430628698538e-07,5.463909147351842e-08
1814,8.81069599500961e-08,3.1466771410748606e-09
1815,5.664169400176888e-08,2.697223555614414e-09
1816,4.6352077731626196e-09,5.5622493277951435e-08
1817,3.42512151974006e-08,9.49692804397273e-08
1818,6.079800130009971e-08,4.410835607870922e-08
1819,4.5544620519422097e-08,1.035105001712111e-09
1820,5.3399165977907614e-08,2.254631326081835e-08
1821,1.4792232327920374e-08,7.59334568556369e-08
1822,5.514088741165324e-08,3.107940926838637e-08
1823,1.680056804787e-08,6.621400283624013e-08
1824,6.06320114115988e-08,2.6105450245950124e-08
1825,3.78634048558979e-08,1.6730341556581152e-08
1826,2.9947145208097936e-08,7.839106164198029e-08
1827,5.7147091836462494e-08,3.4103909640759156e-08
1828,7.888178754633657e-08,1.1923991571904935e-08
1829,6.086954873474326e-08,5.315369056013708e-08
1830,4.5922077696047836e-08,2.2961039292113128e-08
1831,5.145097770054008e-08,4.989185953263586e-08
1832,2.8412935559885e-08,1.352996914505411e-08
1833,4.865123881536704e-08,3.243415847009601e-08
1834,4.853956059314157e-08,3.547121707470069e-08
1835,4.0840674842002045e-08,3.781543966852041e-08
1836,5.578222345148376e-08,4.637317690958653e-08
1837,6.88831186534955e-08,6.053365053659832e-08
1838,4.229148320433751e-08,5.302215910774066e-08
1839,3.2859933885021064e-08,3.0762491332048114e-08
1840,4.33138822586443e-08,3.630722389402763e-08
1841,7.512042010660025e-08,6.227932081159793e-08
1842,3.8237111255057243e-08,5.836190730690305e-08
1843,6.143187425422525e-08,4.312045176479984e-08
1844,3.45779343491337e-08,5.598332464273881e-08
1845,4.7431936656128215e-08,4.185170843218344e-08
1846,2.2832555401919308e-08,2.69307058875512e-08
1847,1.941560512364049e-08,3.5055954583640414e-08
1848,3.298541073615269e-08,7.482055908170082e-08
1849,3.686942506853086e-08,5.53041381579078e-08
1850,5.838536765168101e-08,4.8880772318682375e-08
1851,3.353708155628965e-08,2.96674187438839e-08
1852,6.445439737490233e-08,4.882908943848463e-08
1853,4.598387448595531e-08,3.881755628043493e-08
1854,7.118060402211412e-08,1.1170678870797701e-07
1855,6.156047405170284e-08,8.331891621082832e-08
1856,5.694908311593139e-08,9.370712428236061e-08
1857,7.175818117488575e-08,8.200935330826553e-08
1858,8.172439253106845e-08,9.200111117380061e-08
1859,3.97189512391094e-08,4.939408126958256e-08
1860,5.8130236957332215e-08,5.858795315560883e-08
1861,5.847795042646098e-08,5.140400649583654e-08
1862,8.177555432808958e-08,5.511943279579157e-08
1863,2.2975256364077268e-08,3.646073176710729e-08
1864,7.096197229827794e-08,5.226253541046333e-08
1865,4.2832282387550435e-08,8.095772052740813e-08
1866,5.1088934416299026e-08,1.0801660721426742e-07
1867,6.939520247328801e-08,8.589476152565112e-08
1868,4.6434817546625595e-08,5.977247485855486e-08
1869,8.399653195212409e-08,4.8346840753055176e-08
1870,4.587238944253613e-08,5.9060703883062615e-08
1871,2.1242353653860846e-08,2.6552943399593687e-08
1872,5.019291648977742e-08,5.926392487864973e-08
1873,6.105724315030869e-08,4.369783129787308e-08
1874,4.779687134970345e-08,2.7483201825440062e-08
1875,5.893172794202428e-08,6.179249262272535e-08
1876,6.287855258690911e-08,5.501873534541346e-08
1877,7.050690165044671e-08,6.308512290331691e-08
1878,1.316521327510145e-07,6.461824986203624e-08
1879,3.6655949942066e-08,9.163988234917042e-08
1880,5.005920211686998e-08,4.6208493031940634e-08
1881,9.41288524902717e-08,6.066081681410651e-08
1882,7.587138917131142e-08,4.858431212895198e-08
1883,7.140853064413477e-08,4.360343963671909e-08
1884,4.291103117282091e-08,2.9047467542397953e-08
1885,4.318576085626802e-08,4.38303209282509e-08
1886,4.9046325889534614e-08,4.001147707599628e-08
1887,5.35371814103236e-08,7.442973837257227e-08
1888,4.755461202599065e-08,2.663058196183954e-08
1889,5.889228527067303e-08,4.1349901724885285e-08
1890,2.9494738484903138e-08,4.0637196718762425e-08
1891,4.653180718516836e-08,4.398211927991724e-08
1892,2.820830502514582e-08,5.641661182664848e-08
1893,5.4194064402768305e-08,4.0029707770727896e-08
1894,4.2850465620247746e-08,3.024738881585165e-08
1895,6.43991759918805e-08,5.35656683453567e-08
1896,4.0099797649073565e-08,5.661147794988608e-08
1897,4.3700353113962365e-08,3.962165218140967e-08
1898,4.413516951906615e-08,3.451596553016856e-08
1899,4.5878900678530954e-08,3.4823743888523495e-08
1900,4.412395127051383e-08,2.4917054863848875e-08
1901,3.5767929285057676e-08,3.856229824350521e-08
1902,2.995273185035785e-08,4.9593867679220693e-08
1903,4.6981915247101824e-08,4.2661739252380926e-08
1904,4.568431410945095e-08,4.407192566446838e-08
1905,4.4898605056076235e-08,3.715746643706552e-08
1906,3.9610220603503166e-08,3.9095803150424047e-08
1907,7.611407992769159e-08,3.599990350267035e-08
1908,6.041008471235898e-08,2.7503779254089977e-08
1909,3.960708294670212e-08,5.99607199447405e-08
1910,5.0235016701982715e-08,4.542528220241593e-08
1911,3.724261854465283e-08,4.7883365605905226e-08
1912,6.668059038261731e-08,3.854971825090203e-08
1913,7.848425115364321e-08,4.242391887787633e-08
1914,8.906668824693043e-08,2.4108277374423892e-08
1915,2.8273827723523937e-08,3.769843881507029e-08
1916,1.0987461607214755e-08,1.5382446649780945e-08
1917,3.947912752266802e-08,1.4256351654751143e-08
1918,1.8378202071289707e-08,2.986457836584577e-08
1919,5.5247090680055067e-08,4.051453217357448e-08
1920,7.04217537617069e-08,4.391894492528081e-08
1921,6.739745078698789e-08,2.2718242509434106e-08
1922,5.459672369756419e-08,3.6889677090812256e-08
1923,7.006525715169687e-08,2.1231895797058087e-08
1924,3.867487285980076e-08,5.0277335628123865e-08
1925,5.27912540349007e-08,5.1691436020462334e-08
1926,3.901148493135054e-08,8.025219822016538e-08
1927,6.801026863900717e-08,5.017151061270653e-08
1928,1.0626218438503088e-07,3.313552077166548e-08
1929,6.01581959802644e-08,6.350031611646045e-08
1930,9.348206830850359e-08,6.092090387710414e-08
1931,7.185374428786417e-08,4.1059283972799676e-08
1932,7.342889585260082e-08,6.246935790876762e-08
1933,7.341223895451776e-08,4.1294382802092855e-08
1934,7.7880272897346e-08,3.235026646564165e-08
1935,6.582556189016486e-08,5.146362269670135e-08
1936,1.0790995830234351e-07,2.424942868728408e-08
