year,trois_DET âges_NOUN,trois_DET ages_NOUN,trois_DET sages_NOUN
1800,1.3834323908668011e-07,0.0,9.432493897065797e-09
1801,1.166779455274991e-07,7.143547975374531e-09,4.7623651688866175e-09
1802,7.832440473976021e-08,0.0,1.7902721083373763e-08
1803,2.2038832980797451e-07,0.0,3.900678446910888e-09
1804,6.921182738039988e-08,7.4155526164076946e-09,3.9549616470679894e-08
1805,3.1271655132059095e-07,5.685755422035754e-09,2.842877711017877e-09
1806,6.051504897186533e-08,0.0,1.729001475325731e-08
1807,8.540865303885425e-08,0.0,1.1387820464392462e-08
1808,1.0197332933614689e-07,2.2660739951163578e-09,1.3596443970698147e-08
1809,2.5978849693686357e-07,2.259030518203531e-09,6.7770917766551975e-09
1810,8.89248181756841e-08,0.0,0.0
1811,6.267691565753353e-08,0.0,0.0
1812,9.601949635396068e-08,0.0,8.00162425207418e-09
1813,1.2365688917270745e-07,0.0,1.0352670187785407e-07
1814,1.0069366851439554e-07,0.0,9.440031423224582e-09
1815,8.091670622434322e-08,0.0,2.1577788444915313e-08
1816,1.0197456923322079e-07,0.0,0.0
1817,7.784366895524641e-08,0.0,3.113746815941454e-09
1818,4.887682614196365e-08,0.0,1.0729059418679299e-08
1819,9.729986949480462e-08,0.0,1.035105001712111e-09
1820,7.950542357804125e-08,0.0,0.0
1821,1.1932401111636182e-07,9.86148829262845e-10,5.9168927535324656e-09
1822,5.3135764233047666e-08,1.0025615893027862e-09,4.010246357211145e-09
1823,9.289725966254991e-08,0.0,4.941343556552624e-09
1824,9.263224054478769e-08,0.0,8.421112696055388e-09
1825,5.8115923406987235e-08,0.0,2.3774695989686734e-08
1826,5.9013494535520294e-08,0.0,8.807984341885344e-10
1827,1.3365046402924463e-07,9.217273055917019e-10,3.6869092223668076e-09
1828,1.2749498523589864e-07,9.172301251858528e-10,2.7516903755575584e-09
1829,7.287199432770564e-08,3.429270423183084e-09,5.143905745796928e-09
1830,1.2941676086342113e-07,0.0,3.1310507520032616e-09
1831,8.263338902025907e-08,0.0,3.1182413096075834e-08
1832,1.0147477369493174e-07,1.3529969367098715e-09,0.0
1833,2.0039677472993844e-07,0.0,3.475088550253247e-09
1834,1.7548918584964213e-07,9.334530925997342e-10,5.600718555598405e-09
1835,1.7016947850834185e-07,1.5126175867408165e-09,4.5378527602224494e-09
1836,9.610672258020259e-08,6.720750067579218e-10,6.720750067579218e-10
1837,8.210310964429368e-08,6.957890930081589e-10,9.741046969047318e-09
1838,8.458297107161172e-08,0.0,3.1560809521380406e-09
1839,7.131304480267886e-08,0.0,6.9914751765765e-10
1840,9.55453303141951e-08,0.0,1.9109065441114126e-09
1841,1.0850727383271419e-07,6.420548537278137e-10,1.926164561183441e-09
1842,8.31824840119566e-08,0.0,1.341653010911159e-09
1843,1.4353793309496155e-07,5.906911071384968e-10,5.906910960362666e-09
1844,1.0208724354754395e-07,3.2931368743049916e-09,7.683985669970639e-09
1845,9.263178046836629e-08,5.580227946389016e-10,6.138250796539069e-09
1846,6.615586789493477e-08,2.3418005312692003e-09,1.1709002656346001e-09
1847,5.015697901455951e-08,0.0,8.629157832729106e-09
1848,6.194820656446609e-08,8.045221711050488e-10,9.654266053260585e-09
1849,1.0977033770842581e-07,1.6758829879393033e-09,0.0
1850,7.603675911127539e-08,2.0366988096043315e-09,4.073397619208663e-09
1851,9.158203084780325e-08,0.0,6.449438760824933e-09
1852,1.23049304079359e-07,2.6042181744401205e-09,1.1067927685459722e-08
1853,8.539862506040663e-08,1.1943863675867306e-09,2.388772735173461e-09
1854,7.118060096900081e-08,5.195664454227256e-10,2.0782657816909023e-09
1855,1.310813395605237e-07,1.5920811335945473e-09,7.429711956774554e-09
1856,8.749449492695405e-08,2.5885946164372342e-09,1.5013848553291353e-08
1857,8.005675150579705e-08,1.4644527812635033e-09,1.1227470564367792e-08
1858,1.0961834107092727e-07,1.9574704079872163e-09,6.8511465389775594e-09
1859,1.059172090034366e-07,1.018434669930457e-09,3.5645213447565993e-09
1860,1.0207120348937337e-07,0.0,7.323494255473406e-09
1861,1.0469439470917052e-07,4.715963730639317e-10,4.715963619617014e-09
1862,9.126332445319463e-08,4.517986262886353e-10,9.035972914350765e-09
1863,8.341016466406614e-08,4.994620828036034e-10,1.4983863039219614e-09
1864,1.1938872823691327e-07,1.4384183844029508e-09,1.4384183621984903e-08
1865,8.89593603781158e-08,1.4120533076145136e-09,5.177528850097701e-09
1866,1.2358656553690395e-07,9.731225825149181e-10,9.731225825149181e-09
1867,1.2180556296925715e-07,2.426405742994575e-09,1.844068364675877e-08
1868,8.89177309559841e-08,0.0,2.4699371437009177e-09
1869,1.1671610922192599e-07,9.767038289254515e-10,1.3673853160867111e-08
1870,9.23181886491875e-08,5.734048791339319e-10,2.121598097204469e-08
1871,7.22240054429335e-08,0.0,1.5931766128574054e-08
1872,7.861541273523898e-08,1.8142017887967654e-09,1.2094678591978436e-09
1873,6.345164765830802e-08,5.986004469882289e-10,5.387404189427514e-09
1874,1.1232265295646471e-07,0.0,3.5847653734322193e-09
1875,9.726596306158797e-08,1.1443054281912168e-09,7.437985338754061e-09
1876,1.0338685552113702e-07,0.0,6.04601479992084e-09
1877,7.29808320443226e-08,0.0,1.1132668453761596e-08
1878,9.66254205536643e-08,1.8117266020745149e-09,1.0266450745088918e-08
1879,7.636656895737559e-08,1.832797580370027e-09,5.498392852132383e-09
1880,9.177520343683909e-08,0.0,5.776061628992579e-09
