year,nous_PRON aurons_VERB,nous_PRON saurons_VERB
1800,1.2303115909162443e-05,1.018709298250542e-06
1801,1.2934583310197922e-05,1.1715418111180043e-06
1802,1.0517848522795248e-05,7.854819159547333e-07
1803,1.0545484542490158e-05,1.084388600247621e-06
1804,9.65010644904396e-06,7.984078678191509e-07
1805,9.671469570093905e-06,7.704198452529454e-07
1806,9.693934998722398e-06,4.6394872299515555e-07
1807,9.995659524975054e-06,6.348710002157532e-07
1808,9.800770385481883e-06,5.461238288262393e-07
1809,9.607656920707086e-06,5.828298910159901e-07
1810,1.1082840387643955e-05,5.990724645243972e-07
1811,1.3114518310430867e-05,6.11726761690079e-07
1812,1.1060912356697372e-05,6.481316177087137e-07
1813,1.2434707286956836e-05,6.240359553544295e-07
1814,1.653893514230731e-05,8.96803001637636e-07
1815,1.067830794454494e-05,1.1598061462336773e-06
1816,1.3578841389971785e-05,7.068692156053658e-07
1817,1.2249480050741113e-05,1.0555601619444133e-06
1818,1.0311818300579034e-05,8.821671571013212e-07
1819,1.2539262115751626e-05,9.450508855479711e-07
1820,1.1235184160796052e-05,9.65931562291189e-07
1821,1.4033884326636326e-05,1.1094174112713517e-06
1822,1.5106597857084125e-05,1.160966291990917e-06
1823,1.0754340109997429e-05,8.854887454390337e-07
1824,1.118155341828242e-05,9.55796281232324e-07
1825,1.0637856007633673e-05,9.210493630007477e-07
1826,1.1957719948441081e-05,8.61420872411145e-07
1827,1.1451540217422007e-05,7.641119310619615e-07
1828,1.1357143648638157e-05,9.098923072770049e-07
1829,1.0893077273976814e-05,7.870175693369674e-07
1830,1.3718177115151775e-05,9.664510258744485e-07
1831,1.339440564152028e-05,1.1194485693977185e-06
1832,1.3040184512647102e-05,1.0878095224597928e-06
1833,1.439845050299482e-05,1.1224536251575046e-06
1834,1.2842447404182167e-05,9.549225268301598e-07
1835,1.4387262126547284e-05,1.0762273916498089e-06
1836,1.28628430502431e-05,1.020209879243339e-06
1837,1.4389614307219745e-05,9.810626266926192e-07
1838,1.2326389651207137e-05,8.224746892437906e-07
1839,1.3185921943659196e-05,7.543801814335893e-07
1840,1.4423522998185945e-05,1.1936796653344572e-06
1841,1.3470952808347647e-05,9.829859664023388e-07
1842,1.3450742699205875e-05,1.01428967980155e-06
1843,1.4075578746997053e-05,9.64007895731811e-07
1844,1.4728553878740058e-05,1.0752091412769005e-06
1845,1.555097878735978e-05,1.0144854627469613e-06
1846,1.4871604662403115e-05,9.665781561807307e-07
1847,1.510965535089781e-05,1.114239992716648e-06
1848,1.5245695067278575e-05,1.2413777454867159e-06
1849,1.5151658089962439e-05,1.155521317741659e-06
1850,1.4438836615227046e-05,8.465877812113831e-07
1851,1.3574133390648058e-05,9.222697201494157e-07
1852,1.355755966869765e-05,7.597806401804519e-07
1853,1.3667960729435435e-05,8.342789072912637e-07
1854,1.444134932171437e-05,9.419739512850356e-07
1855,1.3818203115079086e-05,9.68516033594824e-07
1856,1.5369521406682907e-05,9.45354770465201e-07
1857,1.4415584246307844e-05,1.0070553457808273e-06
1858,1.492571186645364e-05,1.0702469239731727e-06
1859,1.4782070138608105e-05,9.776972831332387e-07
1860,1.5068547099872376e-05,1.1067630794059369e-06
1861,1.5496656487812288e-05,9.931819562325472e-07
1862,1.4659509815828642e-05,1.1376289563713726e-06
1863,1.5359957387772738e-05,9.419854620773549e-07
1864,1.608247657713946e-05,1.0255923115209953e-06
1865,1.6239083606706117e-05,1.0675123149894716e-06
1866,1.5886712390056346e-05,1.0971957067340554e-06
1867,1.651072034292156e-05,8.885497919663976e-07
1868,1.7343897752652992e-05,1.1015919341161862e-06
1869,1.6628382581984624e-05,1.0567935362360004e-06
1870,1.752898765516875e-05,1.1187128876599672e-06
1871,1.846173017838737e-05,1.3616348724099225e-06
1872,1.8336741959501524e-05,1.2608701922545151e-06
1873,1.752642288010975e-05,9.894865513615514e-07
1874,1.7825246686697938e-05,1.006721646490405e-06
1875,1.7817979824030772e-05,1.00756092535903e-06
1876,1.7301276102443808e-05,8.815089529434772e-07
1877,1.6123197156048263e-05,9.320517762034797e-07
1878,1.5908771274553146e-05,8.702326681486738e-07
1879,1.735231671773363e-05,1.0349197054893011e-06
1880,1.608055595170299e-05,9.33796641788831e-07
1881,1.7846133232524153e-05,1.0179861078540853e-06
1882,1.7489021047367714e-05,9.137843619555497e-07
1883,1.738829314490431e-05,9.763378585603277e-07
1884,1.7597483974896022e-05,9.664884572657684e-07
1885,1.757273616931343e-05,7.915240445299787e-07
1886,1.6673814343448612e-05,9.531766238524142e-07
1887,1.8220269566882052e-05,8.761816872038253e-07
1888,1.6575634845139575e-05,8.534467212939489e-07
1889,1.827352434702334e-05,8.514320910535389e-07
1890,1.6643553408357548e-05,9.182695634990523e-07
1891,1.7709495750750648e-05,9.523084685270078e-07
1892,1.740264383442991e-05,9.61589790904327e-07
1893,1.6667138424963923e-05,8.129109829724257e-07
1894,1.5753218349345843e-05,8.532284283546687e-07
1895,1.7026058912961162e-05,9.172368322651892e-07
1896,1.598625567567069e-05,8.792470254093132e-07
1897,1.5792142221471295e-05,9.369355353783249e-07
1898,1.6902637980820145e-05,8.759133152125287e-07
1899,1.660318730500876e-05,8.99337024407032e-07
1900,1.5892928558969288e-05,8.103233710698987e-07
1901,1.656166864449915e-05,8.846973429399441e-07
1902,1.4586979887099005e-05,8.165802114490361e-07
1903,1.637562786527269e-05,8.786158502971375e-07
1904,1.6417330016338383e-05,1.0007552191382274e-06
1905,1.5713995480837184e-05,8.695879216702451e-07
