year,voudrez_VERB avoir_VERB,voudrez_VERB savoir_VERB
1800,2.2009151834367913e-08,6.288328968651058e-09
1801,2.3811825400343878e-08,2.3811825844433088e-09
1802,1.1189200677108602e-08,2.2378401354217203e-09
1803,1.950339267864365e-08,0.0
1804,5.19088700912107e-08,4.943701892301533e-09
1805,1.7057265822018053e-08,1.1371510844071508e-08
1806,8.645007376628655e-09,0.0
1807,3.131650672116848e-08,2.8469551160981155e-09
1808,1.8128591960930862e-08,0.0
1809,4.518061036407062e-09,4.518061036407062e-09
1810,0.0,9.360507036149102e-09
1811,2.5070767684098882e-09,3.259199843341776e-08
1812,8.00162425207418e-09,2.6672082320544632e-09
1813,0.0,0.0
1814,9.440030979135372e-09,0.0
1815,4.045835311217161e-08,5.394447111228828e-09
1816,3.476405652236281e-08,0.0
1817,2.3353100786493997e-08,0.0
1818,5.960588467246453e-09,2.1458118837358597e-08
1819,6.210630232317271e-09,2.2772310259711048e-08
1820,1.4239777357261119e-08,3.20394981656591e-08
1821,5.719663320746804e-08,8.875339574387908e-09
1822,1.604098542884458e-08,2.0051231786055723e-08
1823,1.2847492847356534e-08,3.9530747564242574e-09
1824,1.0947446504872005e-08,4.210556348027694e-09
1825,3.0819052199149155e-08,6.163809906922779e-09
1826,8.80798456392995e-09,3.5231937367541377e-09
1827,1.2904182611350734e-08,5.530363722527909e-09
1828,1.9261833017480967e-08,1.2841221419535032e-08
1829,1.1145129263923081e-08,4.286587973467704e-09
1830,3.757260813586072e-08,6.262101504006523e-09
1831,7.795603274018958e-09,1.2472964883158966e-08
1832,2.3000948701223933e-08,2.4353944638733083e-08
1833,1.50587169400751e-08,1.9692167896323554e-08
1834,3.080395316601425e-08,1.5868701908061666e-08
1835,2.2689263801112247e-08,1.9664028627630614e-08
1836,1.6129799718100912e-08,1.0753200108126748e-08
1837,1.0436836284100082e-08,1.1132625488130543e-08
1838,5.049729523420865e-09,3.3454458758797045e-08
1839,2.6567605004856887e-08,1.2584655095793096e-08
1840,1.9109066329292546e-08,1.0828470564661075e-08
1841,1.1556987367100646e-08,1.7977535904378783e-08
1842,1.408735705865638e-08,8.720745015011744e-09
1843,1.6539351221922516e-08,1.1223130869097986e-08
1844,1.866110821424627e-08,1.3721403568922597e-08
1845,1.0602432709561072e-08,5.022205318283568e-09
1846,8.196302303531411e-09,5.269050973311096e-09
1847,4.314578916364553e-09,5.3932236454556914e-09
1848,1.769948809737798e-08,3.218088684420195e-09
1849,4.1897072478036534e-09,3.3517659758786067e-09
1850,1.0183494048021657e-08,1.765138968323754e-08
1851,8.384270167027807e-09,1.6123596680017727e-08
1852,1.8880582430824688e-08,5.208436348880241e-09
1853,1.0749477752369785e-08,9.555090940693844e-09
1854,7.27393034694046e-09,8.313063126763609e-09
1855,1.1144567935161831e-08,9.021793090369101e-09
1856,2.2261913201759853e-08,8.801221973442352e-09
1857,5.857811125054013e-09,1.4156376515472857e-08
1858,1.8595969208945462e-08,1.0276719919488642e-08
1859,7.129042689513199e-09,1.884104072757964e-08
1860,1.7393299245327398e-08,1.1442959468865865e-08
1861,9.431927239234028e-09,6.13075279431996e-09
1862,1.2198563048571032e-08,2.2589931703009825e-08
1863,1.4484400345793347e-08,1.2486552236623538e-08
1864,6.712618905169165e-09,1.726102105692462e-08
1865,1.835669216632141e-08,1.0355057256106193e-08
1866,1.9462451206209153e-08,1.556996132023869e-08
1867,7.76449837758264e-09,1.261730986357179e-08
1868,2.5193358510477992e-08,3.457911734727759e-09
1869,1.4650557211837167e-08,3.906815315701806e-09
1870,1.3761717099214366e-08,1.3188312664169644e-08
1871,1.805600113868877e-08,7.434824311758348e-09
