year,nous_PRON avions_VERB,nous_PRON savions_VERB
1800,3.156426782879862e-05,1.0407184163341299e-06
1801,2.615490939206211e-05,9.310424076147683e-07
1802,2.5643410026532365e-05,6.914926018453116e-07
1803,1.6936745851126034e-05,9.049573748143303e-07
1804,2.031614258157788e-05,6.229064553053831e-07
1805,1.799257302081969e-05,5.771041600155513e-07
1806,2.2574996364710387e-05,5.792155164385804e-07
1807,2.4355701498279814e-05,8.74015228191638e-07
1808,1.7507687971374253e-05,4.532147954705579e-07
1809,1.9244681197960745e-05,6.144563258203561e-07
1810,2.679445219655463e-05,8.939284015241356e-07
1811,1.4724062111781677e-05,6.317833580737897e-07
1812,1.41655425522913e-05,6.267939340887096e-07
1813,2.2471044758276548e-05,6.959294509556457e-07
1814,2.4317520001204684e-05,7.205890426575934e-07
1815,2.2125325131128193e-05,5.987836289023107e-07
1816,2.7088153728982434e-05,7.509036805686264e-07
1817,1.9351936316525098e-05,8.84304100168265e-07
1818,2.28183264425752e-05,6.234776037672418e-07
1819,1.8237514268548694e-05,7.473457799278549e-07
1820,2.4931477128120605e-05,8.330269452017092e-07
1821,2.6506695121497614e-05,8.471018588807055e-07
1822,2.4913654669944663e-05,8.682183363362128e-07
1823,3.3278960017923964e-05,1.1908637702617852e-06
1824,2.6211555905319983e-05,8.547429359850867e-07
1825,2.5261054361180868e-05,8.074591306694856e-07
1826,2.650146348059934e-05,8.975335816785446e-07
1827,2.498434082554013e-05,9.456921929995588e-07
1828,2.411031073279446e-05,1.0117048532265471e-06
1829,2.3505933768319665e-05,8.90752971827169e-07
1830,2.7553247491596267e-05,1.129265626786946e-06
1831,2.6883917144004954e-05,1.1443945311384596e-06
1832,2.478149144735653e-05,9.782167751382076e-07
1833,4.8588688969175564e-05,1.4653290349997405e-06
1834,3.0438970952673117e-05,1.1117426339524172e-06
1835,3.270657452958403e-05,1.2501784283358575e-06
1836,2.3689972522333846e-05,8.454703817051268e-07
1837,2.50546695497178e-05,7.855458790118064e-07
1838,2.4542947585359798e-05,8.666598176887419e-07
1839,2.4091924160529743e-05,9.340610631625168e-07
1840,2.1421262999865576e-05,9.229678710198641e-07
1841,2.855667344192625e-05,1.1473520373783685e-06
1842,2.3984730660231435e-05,9.827608380419406e-07
1843,2.1759878563898383e-05,8.43506882119982e-07
1844,2.207938359788386e-05,9.890387531186207e-07
1845,2.1401847789093154e-05,8.180613946251469e-07
1846,2.3913295990496408e-05,7.686960543651367e-07
1847,2.067977584374603e-05,7.955004974746771e-07
1848,2.2866128801979357e-05,9.243959766536136e-07
1849,2.7676368972606724e-05,1.137086599101167e-06
1850,2.754567185547785e-05,1.1045696339806454e-06
1851,2.440532080072444e-05,1.0028877284185e-06
1852,2.0714602214866318e-05,9.147316148983009e-07
1853,2.315019355592085e-05,8.480143378619687e-07
1854,2.4003968974284362e-05,8.967716951246985e-07
1855,2.148566568394017e-05,8.411495571181149e-07
1856,2.1508115651158732e-05,8.941005944507197e-07
1857,2.5586918582121143e-05,9.733728916216933e-07
1858,2.3761243937769905e-05,9.136493019923364e-07
1859,2.331196947125136e-05,1.0107963817063137e-06
1860,2.5862004804366734e-05,9.92333497151776e-07
1861,2.634337261042674e-05,1.0233640921342158e-06
1862,2.4024844151426805e-05,9.903425564061763e-07
1863,2.368998639212805e-05,9.464806396408676e-07
1864,2.2292128505796427e-05,1.0931979659289937e-06
1865,2.3728144697088283e-05,1.004911297286526e-06
1866,2.428621974104317e-05,9.643644887091796e-07
1867,2.193034083575185e-05,8.836969698222674e-07
1868,2.3253469862538623e-05,9.64263421110445e-07
1869,2.30511864174332e-05,1.0001447208196623e-06
1870,2.37980220845202e-05,9.805223726289114e-07
1871,3.832864240393974e-05,1.7121338373726758e-06
1872,3.4263619909324916e-05,1.6430620917162742e-06
1873,2.7216566650167806e-05,1.250476344694107e-06
1874,2.716774224609253e-05,1.32755815229757e-06
1875,2.6103895834239665e-05,1.1694801571593416e-06
1876,2.2752966742700664e-05,1.050192793172755e-06
1877,2.4172735265892697e-05,1.071210135705769e-06
1878,2.0986437675674097e-05,9.54176044842825e-07
1879,2.4670677703397814e-05,9.732155490382866e-07
1880,2.2853950213175267e-05,8.946477407789644e-07
1881,2.3828543817216996e-05,1.0619129113820236e-06
1882,2.2699523015035084e-05,1.0901520965944655e-06
1883,2.340746277695871e-05,1.0856624328425823e-06
1884,2.3864474769652588e-05,9.823325228808244e-07
1885,2.2919391085451934e-05,9.732910086768243e-07
1886,2.1910154373472324e-05,1.0080310346438637e-06
1887,2.3508699541707756e-05,1.030917189837055e-06
1888,2.3796327695890795e-05,1.070295752469974e-06
1889,2.250812985948869e-05,1.0099400071794662e-06
1890,2.282368541273172e-05,9.359663692976028e-07
1891,2.2990537217992824e-05,1.0613076426579937e-06
1892,2.367679871895234e-05,1.1088998235209147e-06
1893,2.3723452159174485e-05,1.0124436755631905e-06
1894,2.3323887944570743e-05,1.0164382615585055e-06
1895,2.4397055767622078e-05,1.2211768591896544e-06
1896,2.3324519133893773e-05,1.0555682194990368e-06
1897,2.209955846410594e-05,1.03424164876742e-06
1898,2.2299010197457392e-05,1.2487989522469434e-06
1899,2.1789714992337395e-05,1.0425013101666991e-06
1900,2.0317263079050463e-05,1.0574175064448355e-06
1901,2.1919033315498382e-05,1.0512417816244124e-06
1902,1.916336555041198e-05,9.226423571817577e-07
1903,2.0457114487726358e-05,1.1794080876370572e-06
1904,2.1486676814674865e-05,1.0351527919283399e-06
1905,2.2157202238304308e-05,9.444189004170767e-07
1906,2.0485170807660324e-05,9.784239125565364e-07
1907,2.1400400328275282e-05,1.1360540668192698e-06
1908,2.085081177938264e-05,1.1861004622915061e-06
1909,2.0794817373825936e-05,1.133202630398955e-06
1910,2.208149635407608e-05,1.0966197407924483e-06
1911,2.1111776732141152e-05,1.2353908402928937e-06
1912,2.1625870431307703e-05,1.1919156008843856e-06
1913,2.117748954333365e-05,1.3135505128047953e-06
1914,2.3103766125132097e-05,1.2998379759210366e-06
1915,3.2048384582594736e-05,1.9685653001033643e-06
1916,3.0870373848301824e-05,1.9909281263608136e-06
1917,2.9890086352679646e-05,2.1176165887482057e-06
1918,2.7824597054859623e-05,1.7838343069342955e-06
1919,2.6741433885035804e-05,1.971400365619047e-06
1920,2.4010033030208433e-05,1.4568973369932792e-06
1921,2.2088188870839076e-05,1.2767652037837252e-06
1922,2.2788967726228293e-05,1.3058945853572368e-06
1923,2.057795381915639e-05,1.188986175293394e-06
1924,2.2787235593568766e-05,1.2685358115049894e-06
1925,2.080855210806476e-05,1.1240137496315583e-06
1926,2.1601215848932043e-05,1.220502156229486e-06
1927,2.1712000943807652e-05,1.170668610939174e-06
1928,2.1086758806632133e-05,1.2065899568369787e-06
1929,2.2830034140497446e-05,1.1708567342338938e-06
1930,2.1500876755453646e-05,1.1175833947163483e-06
1931,2.4569420020270627e-05,1.2614324589321768e-06
1932,2.2057163278077496e-05,1.3096646114263422e-06
1933,2.173346365452744e-05,1.1516545157519431e-06
1934,2.0711358502012445e-05,1.1610151204877184e-06
1935,2.0796089756913716e-05,1.2004188931769022e-06
1936,2.138072159141302e-05,1.0487878228104819e-06
1937,2.088866540361778e-05,1.1583828438688215e-06
1938,2.0787128050869796e-05,1.2291023381294508e-06
1939,2.2075431843404658e-05,1.255641535635732e-06
1940,2.0027613572892733e-05,1.2780345741703059e-06
1941,2.3260791294887895e-05,1.310467183657238e-06
1942,2.3548517219751375e-05,1.55655061462312e-06
1943,2.3530721591669135e-05,1.4487143289443338e-06
1944,2.4802583993732696e-05,1.5937403645693848e-06
1945,3.0736514418094885e-05,2.411604043572879e-06
1946,2.76083333119459e-05,1.7582354416845192e-06
1947,2.6583542876323918e-05,1.900186816783389e-06
1948,2.3651791252632393e-05,1.4872742326588195e-06
1949,2.2019549305696273e-05,1.3959785860606644e-06
1950,2.2830930902273394e-05,1.4379008348441857e-06
1951,2.4816545646899613e-05,1.4957947200855415e-06
1952,2.1572559944615932e-05,1.369770018300187e-06
1953,2.276940631418256e-05,1.2195972374229314e-06
1954,2.3542038434243295e-05,1.3662005926562415e-06
1955,2.2600543616135838e-05,1.398455538037524e-06
1956,2.2920032279216684e-05,1.2322973361733602e-06
1957,2.0570619199133944e-05,1.1503218786401703e-06
1958,2.210260663559893e-05,1.2813705154712807e-06
1959,1.982486310225795e-05,1.1362596126218705e-06
1960,2.124765069311252e-05,1.2644362357150385e-06
1961,2.0965374915249413e-05,1.2312138437664544e-06
1962,2.2671859824185958e-05,1.3730335695072426e-06
1963,2.1368366105889436e-05,1.2886844444892631e-06
1964,2.131092333002016e-05,1.205842522722378e-06
1965,2.067830473606591e-05,1.3428394538550492e-06
1966,2.030237010330893e-05,1.1776072881275468e-06
1967,2.0460892301343847e-05,1.209411323088716e-06
1968,2.1897898477618583e-05,1.3276625452363078e-06
1969,2.1627849946526112e-05,1.2944009597504191e-06
1970,2.1107228803884936e-05,1.1529003529631154e-06
1971,2.036809382843785e-05,1.267642659286139e-06
1972,2.0104532723053126e-05,1.1645433630746993e-06
1973,1.864730893430533e-05,1.1952625698086194e-06
1974,1.978513637368451e-05,1.2151235182500386e-06
1975,1.81699319909967e-05,1.1588593338274222e-06
1976,1.95853990589967e-05,1.1747011399165785e-06
1977,1.9285247617517598e-05,1.064872890310653e-06
1978,1.9219595287722768e-05,1.1821776979559218e-06
1979,1.9571925804484636e-05,1.1335272347423597e-06
1980,1.9601831354520982e-05,1.1944501636662608e-06
1981,1.8486418866814347e-05,1.1601057678944926e-06
1982,1.9494039861456258e-05,1.320335712762244e-06
1983,1.8933949377242243e-05,1.176543406700148e-06
1984,1.950960449903505e-05,1.1574820746318437e-06
1985,1.9385136056371266e-05,1.2079240434559324e-06
1986,1.9148784303979483e-05,1.2666347402046085e-06
1987,1.7904692867887206e-05,1.0956694609376427e-06
1988,1.7135751932073617e-05,1.1159586676967592e-06
1989,1.933191060743411e-05,1.2507430255936924e-06
1990,1.7862312688521342e-05,1.099537740856249e-06
1991,1.9115996110485867e-05,1.2004281018107577e-06
1992,1.7978396954276832e-05,1.149374384112889e-06
1993,1.9305246041767532e-05,1.1615718165103317e-06
1994,1.9549405351426685e-05,1.307126808569592e-06
1995,1.8603343960421626e-05,1.2021573638776317e-06
1996,1.7342928003927227e-05,1.090038409756744e-06
1997,1.7886395198729588e-05,1.1004282782778319e-06
1998,1.8288636510988e-05,1.1553177046152996e-06
1999,1.865784633992007e-05,1.228470068781462e-06
2000,1.8581356926006265e-05,1.1694529575834167e-06
2001,1.8842715689970646e-05,1.3077917060400068e-06
2002,1.942195513038314e-05,1.210531479500787e-06
2003,1.9415777387621347e-05,1.171738716720938e-06
2004,2.0545267489069374e-05,1.2487583376241673e-06
2005,1.9280102151242318e-05,1.2331266248111206e-06
2006,2.028060816883226e-05,1.2436027816420392e-06
