year,plusieurs_DET orties_NOUN,plusieurs_DET sorties_NOUN
1800,9.432493897065797e-09,4.4018303668735825e-08
1801,0.0,5.476719877606229e-08
1802,0.0,6.489736392722989e-08
1803,0.0,2.9255089017965474e-08
1804,0.0,3.460591457837836e-08
1805,0.0,4.264316522117895e-08
1806,0.0,4.3225035106786436e-08
1807,0.0,1.2526602688467392e-07
1808,0.0,4.5321478125970316e-08
1809,0.0,9.262025013612174e-08
1810,0.0,3.7442028144596406e-08
1811,0.0,5.0141535368197765e-09
1812,0.0,5.867858021701977e-08
1813,0.0,6.326631307729258e-08
1814,0.0,1.8250727862323401e-07
1815,0.0,5.66416948899473e-08
1816,0.0,4.4034472068688046e-08
1817,0.0,7.317304806520042e-08
1818,0.0,1.359014216717469e-07
1819,0.0,1.1179133763139504e-07
1820,0.0,4.034603406921633e-08
1821,0.0,1.291854958562766e-07
1822,0.0,1.3334069137727056e-07
1823,0.0,1.828297029327075e-07
1824,0.0,5.726356633317664e-08
1825,0.0,5.0191024225654246e-08
1826,0.0,1.0833820773825664e-07
1827,1.013900075008678e-08,6.728609491801762e-08
1828,0.0,3.393751413227619e-08
1829,0.0,6.687077380718165e-08
1830,0.0,5.9489963177838945e-08
1831,0.0,5.3010099421157975e-08
1832,0.0,2.0294953273491956e-08
1833,0.0,5.6759779099024854e-08
1834,9.334530925997342e-10,1.8669061851994684e-08
1835,7.563087933704082e-10,5.3697924329298985e-08
1836,0.0,6.317504808173169e-08
1837,0.0,8.001574425264835e-08
1838,0.0,9.783850885014544e-08
1839,0.0,5.8029242300250417e-08
1840,0.0,8.153201314087255e-08
1841,1.2841097074556274e-09,4.044945445258463e-08
1842,0.0,6.641182181965632e-08
1843,1.7720733769266417e-09,5.139012704269419e-08
1844,1.097712254427563e-09,6.2569598835438e-08
1845,0.0,3.738752596404993e-08
1846,0.0,7.786487010719156e-08
1847,0.0,3.5595276060007564e-08
1848,0.0,2.0917577225887385e-08
1849,0.0,4.1897075142571794e-08
1850,0.0,6.788996209650122e-08
1851,0.0,6.320449941199513e-08
1852,0.0,6.054807499822346e-08
1853,0.0,6.927440909798577e-08
1854,0.0,6.23479747829947e-08
1855,0.0,6.58060237412883e-08
1856,0.0,5.0218733782525504e-08
1857,0.0,6.248331918534689e-08
1858,0.0,3.474510057444036e-08
1859,0.0,4.6847993262488785e-08
1860,1.8308735638683515e-09,2.5174512335857102e-08
1861,4.715963730639317e-10,4.904602440847228e-08
1862,0.0,1.8975542914745347e-08
1863,0.0,2.197633214295891e-08
1864,9.589455896019672e-10,2.2055748449822943e-08
1865,4.706844358715045e-10,1.4591217123438582e-08
1866,0.0,2.5301186312720603e-08
1867,0.0,3.3484399253325137e-08
1868,0.0,2.7663294210888978e-08
1869,2.441759683335931e-09,1.6115612844203042e-08
1870,1.1468097582678638e-09,3.841812734606265e-08
1871,0.0,6.054071066685651e-08
1872,0.0,4.233137662623676e-08
1873,0.0,4.1902030456508754e-08
1874,0.0,4.301718514732045e-08
1875,0.0,1.2587359599081083e-08
1876,0.0,3.023007355551499e-08
1877,0.0,2.5357745014886746e-08
1878,0.0,3.804625758885294e-08
1879,6.10932526790009e-10,2.1382637660494197e-08
1880,0.0,2.1820677931216892e-08
1881,0.0,1.8825771164188154e-08
1882,0.0,2.9283693692150337e-08
1883,0.0,1.9589950994713945e-08
