year,ils_PRON auraient_VERB,ils_PRON sauraient_VERB
1800,3.9836563132666925e-06,3.144164573143371e-08
1801,3.3217497161786014e-06,3.0955374485941434e-08
1802,3.157592345814919e-06,7.832440473976021e-08
1803,3.584723458516237e-06,4.680814202906447e-08
1804,4.338098221978726e-06,8.651478111687538e-08
1805,3.7497556206744775e-06,1.421438877713399e-08
1806,3.7346432577578526e-06,8.068673462702236e-08
1807,5.90173812042849e-06,1.2241907043630817e-07
1808,3.949767034328033e-06,5.211970233176544e-08
1809,4.470621377095085e-06,2.25903047379461e-08
1810,4.577287938900554e-06,1.0764582958344704e-07
1811,5.021674979843738e-06,7.521230394047507e-08
1812,4.734294464014965e-06,5.867858021701977e-08
1813,4.762228257959578e-06,6.614205472210699e-08
1814,4.2889209908025805e-06,7.552025405033191e-08
1815,5.6641694641257345e-06,1.0249449644561537e-07
1816,4.442846829988412e-06,2.5493642752394408e-08
1817,6.535754550895945e-06,8.407116069975018e-08
1818,6.5769137336246786e-06,8.940882789687521e-08
1819,6.538758327678806e-06,1.1282644418741938e-07
1820,7.426044021485723e-06,1.3883783012147433e-07
1821,7.752115891435096e-06,9.07256945126278e-08
1822,7.278597308868484e-06,1.0927921323400369e-07
1823,7.358648758781783e-06,8.795591366350664e-08
1824,6.68467941977724e-06,1.0273757489187574e-07
1825,6.688614462291298e-06,1.0742640199623565e-07
1826,6.7486773787095444e-06,1.2507337565637044e-07
1827,8.302919525249308e-06,9.770309317147507e-08
1828,8.139500266679534e-06,1.2841221996851004e-07
1829,8.157377067163907e-06,1.551744862604565e-07
1830,7.278649547970417e-06,1.2732939946857869e-07
1831,7.237437728235818e-06,1.5435294109522602e-07
1832,7.225003741950786e-06,1.4477066656581883e-07
1833,7.830532979369309e-06,8.456048661287241e-08
1834,7.439620958393789e-06,1.54953209374753e-07
1835,7.706030487497628e-06,1.2252202452600613e-07
1836,6.9848753696533095e-06,5.645430123379924e-08
1837,6.9850268573645735e-06,8.558205921715967e-08
1838,7.45087589848481e-06,7.890202180504957e-08
1839,6.95861501753825e-06,1.0277468298625081e-07
1840,8.828388843085122e-06,1.5159858524071979e-07
1841,8.005140102795849e-06,1.2584274555749175e-07
1842,7.316704625282e-06,1.2544455962881784e-07
1843,7.410220064230089e-06,1.4885415744458896e-07
1844,7.593973521125008e-06,1.624614163198146e-07
1845,7.977493794442125e-06,1.646167282487454e-07
1846,7.619633549893479e-06,1.4519163915593936e-07
1847,8.195003147193347e-06,1.1487566631274149e-07
1848,7.831218852061284e-06,1.0378335701943797e-07
1849,7.962957909057877e-06,1.458018157318719e-07
1850,7.3056385190284345e-06,1.7651390304962433e-07
1851,7.36590408223492e-06,1.6188090690150148e-07
1852,6.668751836969022e-06,1.2044509389852465e-07
1853,6.532696147587558e-06,9.196775385689193e-08
1854,6.381315131420706e-06,9.352196306267047e-08
1855,6.373100859491387e-06,8.756445879498642e-08
1856,6.501514462797786e-06,1.0043746900834094e-07
1857,6.627136883707863e-06,9.177237014768025e-08
1858,6.377438523941237e-06,1.0129909533418413e-07
1859,7.020579460004228e-06,9.267755829434066e-08
1860,6.6712453872241895e-06,9.520542842977875e-08
1861,6.879647969526559e-06,1.12711532551657e-07
1862,6.511321885227517e-06,1.4276837223548e-07
1863,6.59339895037192e-06,1.0488703949818046e-07
1864,6.582202615845745e-06,9.87713946187796e-08
1865,6.751027058271575e-06,1.2143658789653955e-07
1866,6.851269574781327e-06,1.0412411777238617e-07
1867,6.209172227045201e-06,9.948263723913442e-08
1868,6.273145856994233e-06,1.1411109213099735e-07
1869,6.614238543534157e-06,9.62053281483577e-08
1870,6.791407315631659e-06,1.2786928671459918e-07
1871,7.204344342426339e-06,1.9436754428170389e-07
1872,6.920575174262922e-06,1.2336572119409084e-07
1873,6.3176291291711095e-06,1.059522762858478e-07
1874,5.8473501667322125e-06,1.0037343400881582e-07
1875,6.221588762400643e-06,1.0012672202464046e-07
1876,6.255206869809626e-06,8.222579950256659e-08
1877,5.84341432841029e-06,9.339072182257269e-08
1878,6.525839182813797e-06,1.1172314096086211e-07
1879,6.425788399155863e-06,1.099678543781124e-07
1880,6.019939576162869e-06,1.1359588114601138e-07
1881,5.945457132838783e-06,9.69178550747074e-08
1882,5.769553354184609e-06,1.0914831261032987e-07
1883,5.661495947606454e-06,1.0110942216812191e-07
1884,5.923042351696495e-06,7.790002243268646e-08
1885,5.897112032471341e-06,1.1086493501011319e-07
1886,5.9733260400207655e-06,8.970314979706018e-08
1887,5.70105680708366e-06,1.2470245902562738e-07
1888,5.783908648027136e-06,8.306205145913736e-08
1889,6.030820713931462e-06,8.959145425535553e-08
1890,5.987432189158426e-06,8.127439254934643e-08
1891,5.7336110330652446e-06,9.752556984210514e-08
1892,5.6084380730681005e-06,1.1220637130548994e-07
1893,5.913311781569064e-06,1.207049615814526e-07
1894,5.545354781588685e-06,9.26326286787571e-08
1895,6.2142196384229464e-06,1.2578904140525538e-07
1896,5.86400574320578e-06,1.1263325561117199e-07
1897,5.58956617169315e-06,6.642453298510986e-08
1898,5.9565501260294695e-06,9.845537718433661e-08
1899,5.772450265340012e-06,1.4979737983367158e-07
1900,5.385198619478615e-06,8.772879445118065e-08
1901,5.446785110052588e-06,1.2518775083236733e-07
1902,4.9441648570791585e-06,1.075352162871468e-07
1903,5.278175478906633e-06,1.2636515300812334e-07
1904,5.094607217870362e-06,1.0265534378106622e-07
1905,5.407443438798509e-06,1.1405277433595984e-07
1906,5.346865577848803e-06,9.053764848943047e-08
1907,5.39998563908739e-06,1.1519969511653017e-07
1908,5.589651891568792e-06,1.0264803140813683e-07
1909,5.380512163810636e-06,1.0891947788138623e-07
1910,5.572880468207586e-06,9.512588583504566e-08
1911,5.252805408417771e-06,1.1598415472491297e-07
1912,5.254222116946039e-06,1.0679313433570314e-07
1913,5.1423090781099745e-06,8.484783275974905e-08
1914,5.3969059194969304e-06,7.969125004336775e-08
1915,6.316844519460574e-06,1.0013647688822402e-07
1916,6.5595146452324116e-06,9.339342366132541e-08
1917,6.125844834059535e-06,7.128176005011255e-08
1918,6.25662926267978e-06,1.1716103731629346e-07
1919,5.801865313515009e-06,1.1417731915486229e-07
1920,5.46563694570068e-06,7.2693424613135e-08
1921,5.348631361812295e-06,8.405749696294151e-08
1922,4.895997790299589e-06,7.820611447328929e-08
1923,5.01709723721433e-06,7.325004203195817e-08
1924,4.931046134970529e-06,9.53980201501281e-08
1925,4.2892893361567985e-06,7.478760810641916e-08
1926,4.478518405903742e-06,1.0588831322877468e-07
1927,4.66260576104105e-06,5.686104698199301e-08
1928,4.324756559981324e-06,6.512843508943433e-08
1929,4.560882246096298e-06,6.127223417529137e-08
1930,4.346391165199748e-06,7.667630308461071e-08
1931,4.119614800401905e-06,5.360517540964338e-08
1932,4.456147678411071e-06,8.110056981536218e-08
1933,4.193674158159411e-06,5.04709138926529e-08
1934,4.0066403812488716e-06,7.668211132738634e-08
1935,3.9974069068193785e-06,6.103825089809334e-08
1936,4.048442121984408e-06,5.8198631691652736e-08
1937,3.987607215094613e-06,5.666003111137741e-08
1938,4.099600914742041e-06,5.186085638708704e-08
1939,3.9091593748707965e-06,7.49408446409916e-08
1940,4.090217771590687e-06,6.593035539737002e-08
1941,4.45381749614171e-06,6.198155411141215e-08
1942,4.502770138969936e-06,9.406056511451766e-08
1943,4.560982517887169e-06,8.129058848282966e-08
1944,5.2889045036863536e-06,1.092483259412802e-07
1945,5.5508285186078865e-06,6.535512220295914e-08
1946,4.840367864744621e-06,6.821341180796026e-08
1947,4.469134523787943e-06,8.821444552609137e-08
1948,4.312877990741981e-06,8.371353743541476e-08
1949,3.838450311377528e-06,7.16641590514655e-08
1950,3.936147209060437e-06,4.0414373625452527e-08
