year,vos_DET ombres_NOUN,vos_DET sombres_ADJ
1800,6.917161954334006e-08,1.8864986461863964e-08
1801,6.667310969987739e-08,4.7623651688866175e-09
1802,2.6854081625060644e-08,2.2378401354217203e-08
1803,9.361627917314763e-08,0.0
1804,5.438072037122765e-08,4.943701892301533e-09
1805,4.264316544322355e-08,1.7057265822018053e-08
1806,4.8988376022407465e-08,4.610670600868616e-08
1807,1.9928686256776018e-08,1.4234775136401367e-08
1808,1.359644414833383e-07,2.2660739951163578e-09
1809,3.840352036377226e-08,4.518061036407062e-09
1810,4.212228077449254e-08,2.106114038724627e-08
1811,3.259199843341776e-08,1.504245972228091e-08
1812,1.8670457180292033e-08,2.6672082320544632e-09
1813,5.7514832008109806e-08,2.300593315851529e-08
1814,5.034683381310856e-08,6.293354282149721e-09
1815,8.091670444798638e-09,2.697223555614414e-09
1816,9.270415546325239e-09,2.3176038865813098e-09
1817,4.3592454090912724e-08,1.401186100480345e-08
1818,6.199012148044858e-08,1.3113295338484932e-08
1819,2.4842519708023758e-08,1.5526575580793178e-08
1820,9.730514705097448e-08,8.306536791735653e-09
1821,4.339054981983281e-08,7.88919063410276e-09
1822,3.5089655625597516e-08,2.3058916553964082e-08
1823,8.004976204123437e-08,6.917880934764753e-09
1824,5.4737231636181605e-08,1.6842225392110777e-09
1825,3.9624492131906663e-08,1.7610886970942374e-08
1826,2.025836343122478e-08,1.6735169694470642e-08
1827,2.7651818612639545e-08,2.7651818612639545e-09
1828,1.1923991571904935e-08,1.1923991571904935e-08
1829,3.600733933240008e-08,2.571952872898464e-09
1830,3.548524252217078e-08,1.3567886369969528e-08
1831,1.5591206103948707e-08,3.1182412207897414e-09
1832,2.841293600397421e-08,2.705993873419743e-09
1833,5.444305273272221e-08,3.4750886612755494e-09
1834,3.547121885105753e-08,1.120143711119681e-08
1835,3.781543966852041e-08,7.563087933704082e-09
1836,1.9490174807401672e-08,9.409050427677812e-09
1837,3.687682137432091e-08,9.74104708006962e-09
1838,2.0830134062066463e-08,4.418513555037862e-09
1839,9.088918062616358e-09,6.9914749545318955e-09
1840,3.121147429396842e-08,6.3696887764308485e-09
1841,1.4767261191650505e-08,8.988767952189392e-09
1842,3.219967181777861e-08,2.0124794275488966e-08
1843,2.0674189471492355e-08,4.134837805480629e-09
1844,4.610391468595765e-08,5.488561161115513e-09
