year,trois_DET sentiers_NOUN
1800,0.0
1801,0.0
1802,8.951360541686881e-09
1803,3.900678446910888e-09
1804,1.4831105232815389e-08
1805,3.1271653710973624e-08
1806,2.881669125542885e-09
1807,0.0
1808,0.0
1809,2.4849335034105025e-08
1810,1.6380887757350138e-08
1811,1.504245972228091e-08
1812,0.0
1813,8.627225156487839e-09
1814,0.0
1815,0.0
1816,0.0
1817,7.784366928831332e-09
1818,5.960588467246453e-09
1819,2.070210003424222e-09
1820,0.0
1821,1.2819934447350079e-08
1822,1.4035862250239006e-08
1823,0.0
1824,1.7684335773537896e-08
1825,1.584979791857677e-08
1826,4.403992170942672e-09
1827,9.217273055917019e-10
1828,1.8344602503717056e-09
1829,3.429270423183084e-09
1830,7.305785310052215e-09
1831,6.236482441579483e-09
1832,5.411987746839486e-09
1833,1.1583628500844156e-09
1834,1.120143711119681e-08
1835,0.0
1836,3.36037508930076e-09
1837,6.957891152126194e-09
1838,8.2058102535143e-09
1839,6.9914751765765e-10
1840,3.1848443882154243e-09
1841,2.5682194149112547e-09
1842,9.391571076378114e-09
1843,2.3627644285539873e-09
1844,2.140538946093784e-08
1845,2.5669049108500985e-08
1846,1.1123552745573306e-08
1847,1.0786447290911383e-09
1848,8.84974404868899e-09
1849,5.865590679832167e-09
1850,1.0862393651223101e-08
1851,1.5478653025979838e-08
1852,5.859490670445666e-09
1853,1.0152284346531815e-08
1854,3.63696517347023e-09
1855,5.837630823180007e-09
1856,3.1063134287023786e-09
1857,7.810414537345878e-09
1858,9.787352039936081e-10
1859,1.171199892624486e-08
1860,1.4189270536313359e-08
1861,6.6023493339173456e-09
1862,1.1746764450037972e-08
1863,3.496234690647526e-09
1864,1.1507347075223606e-08
1865,9.884373430857352e-09
1866,4.379051787850585e-09
1867,6.308654931785895e-09
1868,6.421836395986702e-09
1869,6.348574999037737e-09
1870,1.1468098026767848e-08
1871,0.0
1872,1.814201855410147e-08
1873,5.9860045809045914e-09
1874,1.1351757756017378e-08
1875,7.437985227731758e-09
1876,1.51150369998021e-08
1877,9.89570592135891e-09
1878,1.0266450800600069e-08
1879,7.331190321480108e-09
1880,1.0268554007097919e-08
1881,1.5339516323820135e-08
1882,5.324307883469714e-09
1883,5.687405213450347e-09
1884,9.242375753615306e-09
1885,1.2891271161663553e-08
1886,7.098810206329631e-09
1887,2.7421482862166613e-08
1888,2.0289966373709944e-08
1889,2.5060546970934183e-09
1890,5.243509182406569e-09
1891,8.92390783491237e-09
1892,8.149066088591894e-09
1893,1.4164358130841492e-08
1894,1.1342770722677642e-08
1895,1.444467434552621e-08
1896,1.7101384308659817e-08
1897,1.4566783779201842e-08
1898,1.3014216593276728e-08
1899,1.326618814800895e-08
1900,4.6719478286050276e-09
1901,5.588738916095792e-10
1902,5.4013122863239005e-09
1903,7.020286574288548e-09
1904,1.6123875568041512e-08
1905,1.186974607492175e-08
1906,1.1317205839134203e-08
1907,2.5714217422034835e-09
