year,trois_DET airs_NOUN,trois_DET serres_NOUN
1800,4.087413785214267e-08,9.432493897065797e-09
1801,8.096020565062645e-08,9.524730337773235e-09
1802,1.7902721083373763e-08,8.951360541686881e-09
1803,2.145373123596528e-08,5.851017670366332e-09
1804,1.1123329102247226e-07,9.887403784603066e-09
1805,0.0,0.0
1806,1.613734639249742e-07,0.0
1807,2.2775641372874134e-08,9.394951661079176e-08
1808,1.5862518409903714e-08,2.2660739951163578e-09
1809,8.132509776714869e-08,1.581321384946932e-08
1810,2.106114083133548e-08,9.360507036149102e-09
1811,8.524060923775778e-08,5.0141535368197765e-09
1812,7.20146218213813e-08,0.0
1813,1.552900432688631e-07,0.0
1814,4.090680105761635e-08,1.8880061958270744e-08
1815,1.0788894222457657e-08,0.0
1816,1.3905623319487859e-08,0.0
1817,1.5568734412774177e-08,0.0
1818,1.1921177378582115e-08,4.768470951432846e-09
1819,2.5877625819958894e-08,1.0351049795076506e-08
1820,3.441279616822612e-08,2.3732962262101864e-09
1821,4.5362847478358503e-08,9.86148829262845e-10
1822,3.308453244699194e-08,4.010246357211145e-09
1823,7.906149623870817e-09,1.581229902569703e-08
1824,3.452656205382709e-08,5.894778887238772e-09
1825,1.8491430608946757e-08,3.522177216552791e-09
1826,2.2019961409824873e-08,1.0569580766173203e-08
1827,1.1982455361270183e-08,6.452091305675367e-09
1828,1.7427372434042354e-08,6.420610709767516e-09
1829,4.972442174677738e-08,8.57317605795771e-10
1830,5.0096812920230605e-08,1.1480519646056564e-08
1831,4.989186042081428e-08,3.1182412207897414e-09
1832,3.5177921020590475e-08,4.058990921151917e-09
1833,4.2859427118457916e-08,0.0
1834,2.0535967593104942e-08,1.7735608537350345e-08
1835,3.327758690829796e-08,2.2689263801112247e-09
1836,2.419469957715137e-08,4.704525213838906e-09
1837,1.87863058442872e-08,3.478945576063097e-09
1838,1.704283669745621e-08,3.787297142565649e-09
1839,4.824117816326634e-08,6.292327547896548e-09
1840,2.9300568360479673e-08,4.458782232319436e-09
1841,2.8892467973662406e-08,5.1364388298225094e-09
1842,2.68330611064016e-08,7.379091560011375e-09
1843,1.8311423488626133e-08,8.860366662588604e-09
1844,1.866110915793584e-08,6.586273748609983e-09
1845,1.3950569588416784e-08,5.580227835366713e-09
1846,1.2294452567118697e-08,7.610851504580296e-09
1847,2.6966118227278457e-08,1.0786447290911383e-09
1848,2.654923214606697e-08,0.0
1849,2.011059585527164e-08,1.6758829879393033e-09
1850,2.5798184921654865e-08,1.6293590476834652e-08
1851,5.0305621446256055e-08,7.094382858952031e-09
1852,3.971432693816723e-08,3.906327261660181e-09
1853,1.7318602552052198e-08,7.763511611358354e-09
1854,2.1821789930598356e-08,1.0391328686409906e-08
1855,2.865746040470185e-08,1.4328730202350926e-08
1856,2.536822751864065e-08,9.318940286107136e-09
1857,2.2454941239757886e-08,4.881508974818871e-09
1858,2.0553438895287712e-08,3.9149408159744326e-09
1859,1.6804171831807935e-08,2.5460866748261424e-09
1860,2.883625790928157e-08,9.15436793036406e-09
1861,3.065376513733398e-08,1.9807046891529012e-08
1862,2.936691112509493e-08,6.325180934574348e-09
