year,sois_VERB en_ADP,sois_VERB sans_ADP
1800,1.2262241000371432e-07,3.144164395507687e-08
1801,3.309843918941624e-07,5.2386017301842e-08
1802,2.0364345232337655e-07,3.3567602031325805e-08
1803,1.6967950955404376e-07,8.191424427650418e-08
1804,2.1999473176492756e-07,6.921182915675672e-08
1805,2.2743022043414385e-07,5.401467717547348e-08
1806,3.4580028795971884e-07,4.610670600868616e-08
1807,2.0213381901612593e-07,2.8469550272802735e-08
1808,1.0650547466184435e-07,6.118399653587403e-08
1809,2.4849336455190496e-07,6.325285539787728e-08
1810,1.778496283577624e-07,5.8503168531842675e-08
1811,1.2535383575595915e-07,4.763445815569867e-08
1812,1.9203899626063503e-07,4.5342538612658245e-08
1813,2.5881675469463516e-07,4.888760685162197e-08
1814,2.0768068509369186e-07,5.664018942752591e-08
1815,1.3216394734172354e-07,2.6972236000233352e-08
1816,9.502176112619054e-08,4.4034472068688046e-08
1817,2.7089598120255687e-07,3.7364962679475866e-08
1818,2.5988165930357354e-07,4.2916237674717195e-08
1819,3.8609417174484406e-07,6.93520334493769e-08
1820,2.8479553293436766e-07,5.814575843032799e-08
1821,3.2838755714692525e-07,8.480879643002481e-08
1822,2.8773519034075434e-07,8.72228582693424e-08
1823,2.777034922019084e-07,7.115534828017189e-08
1824,3.974765263592417e-07,1.0526390781251393e-07
1825,2.535967666972283e-07,6.339919167430708e-08
1826,1.8937166146315576e-07,5.372870504061211e-08
1827,1.963279174788113e-07,3.96342727526644e-08
1828,1.7610818758839741e-07,6.695779575238703e-08
1829,1.8260864464991755e-07,4.200856196234781e-08
1830,2.3795985271135578e-07,4.0703660886265425e-08
1831,2.2919073217053665e-07,3.1182413096075834e-08
1832,2.8277636943130346e-07,5.953186388296672e-08
1833,1.7722950929055514e-07,6.486831694019202e-08
1834,1.6708810335330782e-07,8.401077877806529e-08
1835,2.465566808496078e-07,6.655517381659593e-08
1836,2.2312890735065594e-07,6.451919887240365e-08
1837,2.4004722831705294e-07,3.6876823372722356e-08
1838,2.2281930966983055e-07,5.491580878924651e-08
1839,2.7686240855473443e-07,8.739343826391632e-08
1840,1.7898824467010854e-07,2.7389662093924017e-08
1841,1.1492782192590312e-07,5.521671653241356e-08
1842,1.5764422300890146e-07,4.695785449371215e-08
1843,2.0201635209105007e-07,5.6706348061652534e-08
1844,1.6685226000845432e-07,2.9089374464774664e-08
1845,1.5959452071001579e-07,6.082448322786149e-08
1846,2.119329423067029e-07,5.678866443759034e-08
1847,1.2620142797459266e-07,3.3977308078192436e-08
1848,1.4803208614466712e-07,4.34441957963827e-08
1849,1.349085749779988e-07,3.4355601030711114e-08
1850,1.5207351111712342e-07,2.987158254086353e-08
