year,aux_ADP airs_NOUN,aux_ADP serres_NOUN
1800,1.5720823043352539e-07,1.0375742931501009e-07
1801,1.7620750725200196e-07,4.286128785224719e-08
1802,2.0364345232337655e-07,1.208433673127729e-07
1803,2.262393496987869e-07,1.794312112224361e-07
1804,1.6808586700278738e-07,5.9324422707618396e-08
1805,1.478296409729296e-07,1.3077237781544682e-07
1806,2.4494187300660997e-07,5.187004603612877e-08
1807,8.54086508184082e-08,3.701041828563234e-08
1808,7.931259204951857e-08,5.89179238730253e-08
1809,1.3102376783535874e-07,1.3102376783535874e-07
1810,1.8721014161116045e-07,4.44624070894406e-08
1811,1.1783261077980001e-07,9.526891409095128e-08
1812,9.601949813031752e-08,6.934741492159446e-08
1813,1.35159851311073e-07,2.300593315851529e-08
1814,1.384537871018665e-07,1.0069366851439554e-07
1815,4.855002422310406e-08,1.3755840200246894e-07
1816,9.270415368689555e-08,6.257530316133852e-08
1817,1.4945985393755024e-07,2.02393547255042e-07
1818,1.1563542035020191e-07,7.629553522292554e-08
1819,1.8528379808202544e-07,3.622867339458935e-08
1820,1.6257079860082513e-07,3.322614716694261e-08
1821,1.3608853222102368e-07,2.7612166775270452e-08
1822,1.5639960793123464e-07,7.519211919770896e-08
1823,9.388552868472289e-08,4.5460360809101985e-08
1824,1.2800091475639874e-07,3.705289586264371e-08
1825,1.1799293964109836e-07,8.453225031068712e-08
1826,1.2595417842042878e-07,5.725189922145546e-08
1827,6.267745611410191e-08,2.21214555007343e-08
1828,1.0823315454988602e-07,4.586150714747106e-08
1829,9.51622528555518e-08,1.0802202154991392e-07
1830,1.7533884189013804e-07,1.3150412958573554e-07
1831,1.309661297188569e-07,6.860130352670524e-08
1832,3.125422969318947e-07,1.1365173957500474e-07
1833,1.3089500561225265e-07,1.3321172898095313e-07
1834,1.1388127951761362e-07,7.187588768609032e-08
1835,1.459675971204888e-07,6.352993864311429e-08
1836,1.196293524241554e-07,6.85516496901073e-08
1837,1.0715152298779174e-07,8.627784531256566e-08
1838,1.205622943700746e-07,8.205810275718761e-08
1839,1.3703291867894762e-07,7.620707909161695e-08
1840,1.2038711361128662e-07,6.879263447778783e-08
1841,8.154096420298629e-08,9.887644569772647e-08
1842,1.3483613425790963e-07,1.0733224353742798e-07
1843,1.3290549683020458e-07,8.565021014650398e-08
1844,1.3007890231619967e-07,9.495211045207341e-08
1845,8.816759988761191e-08,1.0323421817393097e-07
1846,9.777017462297977e-08,1.0479557421838592e-07
1847,8.46736130100112e-08,8.089835557001379e-08
1848,1.3757328987118456e-07,7.642960753173611e-08
1849,9.133561951202296e-08,8.044238186677433e-08
1850,1.1948632749891885e-07,7.400005408442212e-08
1851,8.513259319720134e-08,1.2963372286733943e-07
1852,1.367214490510804e-07,8.007971064039054e-08
1853,9.913406562311877e-08,1.0450880560952669e-07
1854,7.79349695889664e-08,9.092412600608668e-08
1855,1.2895856826844465e-07,1.0720013321474653e-07
1856,9.629572161884425e-08,1.1130956661942193e-07
1857,1.0836950115056254e-07,8.689086383739664e-08
1858,1.1598011928626306e-07,1.282143091696497e-07
1859,1.5632971717138844e-07,1.2119372794217043e-07
1860,1.2587255593388136e-07,1.1168328412081152e-07
1861,1.6788831125325032e-07,9.007490575640986e-08
1862,9.307051873630456e-08,7.499857471171545e-08
1863,1.143768160183356e-07,1.1837251262525328e-07
1864,1.2466292620416652e-07,8.918193961093834e-08
1865,1.0355057483701913e-07,9.225414665525733e-08
1866,1.2942529759030208e-07,8.125573214279314e-08
1867,1.1889387963037734e-07,1.0045319953633225e-07
1868,9.682153423451467e-08,1.1213513773089545e-07
1869,1.1573940161824225e-07,9.864708760964902e-08
1870,1.0665330840708975e-07,8.027668352283968e-08
1871,4.99195342840153e-08,2.0498871977636668e-07
1872,1.1066630678513434e-07,1.1006157873971745e-07
1873,1.4725570851581438e-07,9.757187091619102e-08
1874,1.0216581447508588e-07,7.886484060248833e-08
1875,1.0127102711976477e-07,8.067353485241568e-08
1876,8.283040520140617e-08,8.645801008455578e-08
1877,1.0576035047726862e-07,7.60732336013703e-08
1878,1.600358487952036e-07,6.341042868562852e-08
1879,1.4601287046112077e-07,1.2646302760543904e-07
1880,8.214843538745242e-08,1.1873015326457903e-07
1881,1.1295462259974798e-07,8.85508482095787e-08
1882,1.2844893282348835e-07,1.124760089510346e-07
1883,1.0742876366265364e-07,1.1248423525955786e-07
1884,1.558000528589787e-07,9.506443987561397e-08
1885,1.0055191379532147e-07,6.510091865585821e-08
1886,1.5423778870760074e-07,6.905206262342034e-08
1887,1.3514874475095695e-07,9.33636196687182e-08
1888,1.0842450848258522e-07,7.672143675918619e-08
1889,1.2029062695928516e-07,9.773613296459871e-08
1890,8.455158556630593e-08,9.110597076755766e-08
1891,7.394095424828606e-08,1.0071267797506778e-07
1892,8.650546878818943e-08,1.1471377492355828e-07
1893,1.1146733691624888e-07,9.483961371792304e-08
1894,1.102769380256774e-07,1.1342770878108865e-07
1895,1.3361324713301315e-07,7.643640365095905e-08
1896,1.0614652418139414e-07,8.314810706622211e-08
1897,7.982597916011969e-08,7.982597838296357e-08
1898,1.0637707481553349e-07,7.469028129314381e-08
1899,1.0668226124721514e-07,1.0999881006057421e-07
1900,1.1835600921550338e-07,1.1005032662936287e-07
1901,8.327221268089602e-08,1.0953928430978976e-07
1902,7.660042644630494e-08,1.261942923491688e-07
1903,1.1880484729331897e-07,1.269051776997543e-07
1904,7.524475620357407e-08,1.2361637935498493e-07
1905,8.463644651790503e-08,1.439851735618447e-07
1906,1.116288048663705e-07,1.5072460324283554e-07
1907,1.1777111208477464e-07,1.4348532939578718e-07
1908,1.502885083048966e-07,1.2916952840669182e-07
1909,1.4907666123775698e-07,1.0726918020509402e-07
1910,1.1436482716398189e-07,1.0902067659745995e-07
1911,1.500345536697978e-07,1.1066378302615476e-07
1912,1.2346328115420135e-07,1.0835596331304487e-07
1913,1.6386237833287964e-07,9.280232016184442e-08
1914,1.325955188424821e-07,6.830678778158017e-08
1915,5.890380805340101e-08,9.660224575824827e-08
1916,1.0108465020586266e-07,9.009718526797883e-08
1917,1.5681987053373092e-07,5.3735480065597585e-08
1918,1.1486376561009592e-07,4.824278043713548e-08
1919,1.1049418369157848e-07,6.721729306491397e-08
1920,1.0979736009275598e-07,8.253732231011668e-08
1921,1.4009583387819546e-07,5.2251957427529305e-08
