year,devons_VERB avoir_VERB,devons_VERB savoir_VERB
1800,4.244622004989651e-07,7.860410988769218e-08
1801,8.548445293854456e-07,8.810375362600098e-08
1802,3.9162202369880106e-07,5.370816325012129e-08
1803,4.4077665961594903e-07,6.631153581793114e-08
1804,5.19088700912107e-07,9.640218934237055e-08
1805,4.292745359180117e-07,1.3077237781544682e-07
1806,6.022688694429235e-07,1.3255677799861587e-07
1807,4.811354301637039e-07,8.54086508184082e-08
1808,3.603057621148764e-07,1.2690014727922971e-07
1809,7.093356089171721e-07,3.840352036377226e-08
1810,6.903374014655128e-07,5.616304221689461e-08
1811,5.289932119012519e-07,4.262030373070047e-08
1812,5.227728365753137e-07,7.734903562095496e-08
1813,3.594677195906115e-07,6.326631307729258e-08
1814,4.688548926878866e-07,4.090680150170556e-08
1815,3.560334960184264e-07,4.5852800667489646e-08
1816,8.088437652986613e-07,1.3442102897442965e-07
1817,4.997563678443839e-07,5.293369653713853e-08
1818,5.340687607713335e-07,7.629553522292554e-08
1819,6.873096936033107e-07,1.531955433620169e-07
1820,4.4380638541952067e-07,9.493184904840746e-08
1821,7.958221317494463e-07,9.2697987952306e-08
1822,6.857521270831057e-07,9.023054303725075e-08
1823,6.996942261139338e-07,8.795591099897138e-08
1824,7.553738328169857e-07,9.515857612996115e-08
1825,5.44176373296068e-07,1.3560382683408534e-07
1826,7.345859103224939e-07,1.5766292449370667e-07
1827,4.267597546459001e-07,6.636436467033491e-08
1828,5.393313244894671e-07,1.1373653308055509e-07
1829,5.366808295548253e-07,1.0545006290385572e-07
1830,5.907248805669951e-07,1.07499410262335e-07
1831,5.394557547333534e-07,7.327867024287116e-08
1832,5.127858457854018e-07,5.547287429408243e-08
1833,5.235800131231372e-07,1.285782786908385e-07
1834,6.06744492870348e-07,9.521221500108368e-08
1835,7.994183874870942e-07,8.924443761770817e-08
1836,9.274635317524371e-07,9.946710122221702e-08
1837,7.166627824517491e-07,1.2037151009280933e-07
1838,5.365337756302324e-07,7.763959075646198e-08
1839,5.94974551404448e-07,7.550793412747225e-08
1840,6.656324558207416e-07,1.2166105989308562e-07
1841,6.504015459540824e-07,1.4125207314918953e-07
1842,7.43275791137421e-07,1.9856464916756522e-07
1843,7.997957709449111e-07,1.0100817604552503e-07
1844,1.0389846920588752e-06,1.1635749785909866e-07
1845,8.833500828586693e-07,1.1774280750387334e-07
1846,5.819374564453028e-07,1.3172628143820475e-07
1847,5.414796646618925e-07,1.2134752580550412e-07
1848,5.655791142089583e-07,1.263099846937621e-07
1849,4.85168129671365e-07,9.803915190786938e-08
1850,5.553398523261421e-07,1.357799135348614e-07
1851,4.20503397435823e-07,6.836405219701192e-08
1852,6.2110603948895e-07,7.877760310748272e-08
1853,6.300388122326694e-07,1.5049268142774963e-07
1854,7.757126923024771e-07,1.2157855167060916e-07
1855,6.554067226716143e-07,1.3267342069411825e-07
