year,soixante - dix hommes
1800,8.95639828968342e-08
1801,3.922474522966013e-08
1802,4.927008490085427e-08
1803,4.071425596663403e-08
1804,4.621289306783183e-08
1805,4.058905744841468e-08
1806,1.6115652101689193e-07
1807,6.541392139070012e-08
1808,1.9174140941657924e-07
1809,4.4477266314402186e-08
1810,3.0771484915703695e-08
1811,4.9667463031255465e-08
1812,7.886475827945105e-08
1813,6.294130994177749e-09
1814,1.754083207572421e-07
1815,1.2416953154570365e-07
1816,4.306339462800679e-08
1817,5.800820179757693e-08
1818,1.25119004157348e-07
1819,8.140384943899903e-08
1820,2.4343606241927773e-07
1821,1.1664347754347659e-07
1822,1.0306876419008404e-07
1823,8.960573438798747e-08
1824,1.1851924752726006e-07
1825,1.6818732095913447e-07
1826,1.0475544376387091e-07
1827,7.545490632310248e-08
1828,2.0848064341549843e-07
1829,1.5921340290603325e-07
1830,1.6892602605622642e-07
1831,1.180899283914627e-07
1832,9.933602296285926e-08
1833,1.520853629699559e-07
1834,1.6877426389783068e-07
1835,1.0623495327877208e-07
1836,1.681659074215247e-07
1837,1.3284229183341267e-07
1838,1.2388038272970192e-07
1839,1.1005313638179359e-07
1840,1.092490701237736e-07
1841,1.5373341444302469e-07
1842,7.041799943152682e-08
1843,7.35776345406336e-08
1844,8.257883621354267e-08
1845,9.577635395885409e-08
1846,1.0378699855095874e-07
1847,1.1722293052907062e-07
1848,6.166311550259707e-08
1849,6.330206048232867e-08
1850,8.247374161385324e-08
1851,8.752624980346013e-08
1852,1.3625046335619118e-07
1853,6.2101896958211e-08
1854,8.411111951378558e-08
1855,7.679479868683003e-08
1856,5.9546973130153447e-08
1857,1.0164424679715012e-07
1858,1.1258074433806442e-07
1859,9.810698187173728e-08
1860,6.523376860911867e-08
1861,8.468703782682496e-08
1862,7.575160521078317e-08
1863,1.0636269376362861e-07
1864,7.611832875120683e-08
1865,5.6755659672003134e-08
1866,8.809855511771048e-08
1867,5.429798477507575e-08
1868,6.978785904721008e-08
1869,5.035873540393254e-08
1870,6.220455617267362e-08
1871,3.8494254450682774e-08
1872,7.761208653533913e-08
1873,3.542629256614305e-08
1874,7.997300555118159e-08
1875,4.4008793054217676e-08
1876,5.77752330421788e-08
1877,5.10567019773589e-08
1878,1.0634939862086412e-07
1879,6.854939782474645e-08
1880,6.430954657687948e-08
1881,5.3022309820516256e-08
1882,7.54746277698004e-08
1883,3.2046404641050685e-08
1884,4.146660281811876e-08
1885,6.533917229489816e-08
1886,8.462640366246887e-08
1887,8.427069975169843e-08
1888,5.591215601619126e-08
1889,6.015233910972029e-08
1890,5.4217309752857545e-08
1891,7.097479332029977e-08
1892,4.1503129988296195e-08
1893,6.860870849223488e-08
1894,3.340228715842386e-08
1895,4.051594060250352e-08
1896,5.7238316752972196e-08
1897,5.7976572653828384e-08
1898,4.3073887068256766e-08
1899,6.405430441613902e-08
1900,3.097442480282098e-08
1901,4.44048922076945e-08
1902,5.136794745119744e-08
1903,3.397765624413296e-08
1904,5.282351933644236e-08
1905,3.703632600604578e-08
1906,3.178367985468e-08
1907,4.717462559478136e-08
1908,3.5804106346404296e-08
1909,4.610209658473252e-08
1910,3.185113572889975e-08
1911,4.6387299335037824e-08
1912,2.7589064810484842e-08
1913,2.3989510822275406e-08
1914,2.2898440477092663e-08
1915,3.8964291348975166e-08
1916,4.353609739382591e-08
1917,3.135865966896745e-08
1918,1.1373926689373093e-08
1919,5.371521538677371e-08
1920,5.3397610499938963e-08
1921,1.754961509448094e-08
1922,1.5473384351594177e-08
1923,1.642398039791715e-08
1924,2.2798490428854734e-08
1925,2.0714816528766278e-08
1926,1.85185555778844e-08
1927,1.9748288337950726e-08
1928,2.1507806424736486e-08
1929,3.8262143897682677e-08
1930,3.022706351885063e-08
1931,3.030851081220476e-08
1932,6.064410063011394e-08
1933,3.2988742848516495e-08
1934,1.4601593711915939e-08
1935,2.652747732589944e-08
1936,3.489796185363048e-08
1937,3.2079459089118245e-08
1938,3.442586660185043e-08
1939,2.8801697693481287e-08
1940,8.443844734529193e-09
1941,3.937156112243656e-08
1942,2.3550768446511938e-08
1943,3.532510106651898e-08
1944,3.549450511286523e-08
1945,6.487997583626282e-08
1946,4.3112604153350276e-08
1947,2.8969221355090724e-08
1948,1.9251304661516144e-08
1949,1.9468934464583754e-08
1950,2.4701805045879155e-08
1951,1.7698589260817243e-08
1952,2.8032677956701946e-08
1953,2.1434868990866107e-08
1954,3.0258824779139104e-08
1955,1.4542957060825756e-08
1956,3.858756425501042e-09
1957,1.2712409791504342e-08
1958,2.8361647252950206e-08
1959,1.2861623766013963e-08
1960,2.9082789509971008e-08
1961,4.294152333716994e-08
1962,2.8676457541898515e-08
1963,3.994022401698771e-08
1964,3.489882760554508e-08
1965,4.404720277406682e-08
1966,2.7497586430058618e-08
1967,2.9332188455910568e-08
1968,3.557472849635701e-08
1969,5.042667905463816e-08
1970,2.984147717821628e-08
1971,2.889829486818485e-08
1972,2.035081586582166e-08
1973,2.1935813165896434e-08
1974,2.8608734603530195e-08
1975,2.399915377537809e-08
1976,1.8934104839551935e-08
1977,2.2081847295130075e-08
1978,3.1408655565279275e-08
1979,2.7054069873244657e-08
1980,2.3794336334592714e-08
1981,2.019219458304633e-08
1982,2.0456143445812813e-08
1983,1.6660635537846247e-08
1984,2.7382965117617175e-08
1985,2.114692398968998e-08
1986,1.6458859608547982e-08
1987,3.1554293400404276e-08
1988,2.7660416845876057e-08
1989,2.953625138912841e-08
1990,2.6267980457461704e-08
1991,4.115152019146251e-08
1992,3.621021615884956e-08
1993,2.305107216216129e-08
1994,2.5980165296868307e-08
1995,3.7944691055891155e-08
1996,2.0417361412672363e-08
1997,2.564777734637147e-08
1998,1.872921584489262e-08
1999,2.4925713937307137e-08
2000,2.360502815434984e-08
2001,2.5320573859843876e-08
2002,4.964280009289723e-08
2003,2.4051041824790786e-08
2004,3.453590763369263e-08
2005,3.4334548759673567e-08
2006,2.647576846648292e-08
2007,2.9668563467089015e-08
2008,2.5568608563730777e-08
2009,4.1204003320416405e-08
2010,3.623803901398048e-08
2011,4.112498008801424e-08
