year,autres_ADJ hommes_NOUN,autres_ADJ sommes_NOUN
1800,7.379353974101832e-06,9.118077182179718e-08
1801,5.819610123580787e-06,4.7623650800687756e-08
1802,6.8724070843018126e-06,8.503792514602537e-08
1803,6.824237061664462e-06,7.80135707145746e-08
1804,8.05823401606176e-06,1.087614407424553e-07
1805,6.973578820179682e-06,1.1087222873129576e-07
1806,6.469347226811806e-06,6.916005812485082e-08
1807,5.696757398254704e-06,1.850520825463775e-07
1808,6.054949608369498e-06,2.266073959589221e-07
1809,4.382519364298787e-06,1.8298146642337088e-07
1810,8.108539077511523e-06,8.658469141664682e-08
1811,4.695754796557594e-06,1.3538214949093685e-07
1812,4.875656486547086e-06,1.0935553973467904e-07
1813,5.7543588809494395e-06,1.0927818050454619e-07
1814,5.327324288373347e-06,9.44003133440674e-08
1815,5.505033186636865e-06,1.1058616422587875e-07
1816,6.9296356741688214e-06,1.321034233114915e-07
1817,8.03346665634308e-06,8.251429228778306e-08
1818,8.663119842822198e-06,9.536942013887995e-08
1819,9.43084160098806e-06,8.901903270075451e-08
1820,8.909353709896095e-06,5.933240476707624e-08
1821,9.982784831663594e-06,1.0453177878844144e-07
1822,8.736321433389094e-06,1.162971443591232e-07
1823,7.270692549354862e-06,5.8307853878503124e-08
1824,7.457737410732079e-06,1.0694813301626027e-07
1825,8.332590368809178e-06,1.3912600138610287e-07
1826,7.700820788159035e-06,1.3476215598995367e-07
1827,7.018031737970887e-06,9.770309361556428e-08
1828,6.724214017594932e-06,1.440051278223109e-07
1829,6.683648280159105e-06,8.144517238406479e-08
1830,7.140883099054918e-06,1.628146393262142e-07
1831,6.030678378010634e-06,1.3564348932959547e-07
1832,6.499797109427163e-06,1.3665268738805025e-07
1833,7.48997399568907e-06,9.498575082034222e-08
1834,7.004632152529666e-06,9.241185949804276e-08
1835,7.51846573621151e-06,1.414297514656937e-07
1836,7.180449301813496e-06,9.677879830860547e-08
1837,7.1429708441428374e-06,1.2872098131833098e-07
1838,6.409369234461337e-06,1.1740620919908906e-07
1839,6.400695383490529e-06,1.4402438541782914e-07
1840,6.93276933816378e-06,1.3121558595230454e-07
1841,6.2362787502934225e-06,1.0658110483063865e-07
1842,7.119481779227499e-06,1.5563174482480235e-07
1843,8.269084901257884e-06,1.1104992836408201e-07
1844,6.863994713057764e-06,1.4489802424577647e-07
1845,6.351973297569202e-06,1.1941688171646092e-07
1846,6.725065759383142e-06,1.1182097381379208e-07
1847,5.700097972294316e-06,1.380665253236657e-07
1848,5.6718813539191615e-06,1.1906928421012708e-07
1849,4.775428351422306e-06,1.61722709890455e-07
1850,5.495692221302306e-06,1.5411021525579827e-07
1851,5.5291038734139875e-06,1.7993933454363287e-07
1852,6.06196863373043e-06,1.32815129783026e-07
1853,6.320692591543775e-06,1.4511793722249422e-07
1854,6.758000836271094e-06,8.572846610377383e-08
1855,5.986225005472079e-06,1.146298416188074e-07
1856,5.781884738098597e-06,1.009551908737194e-07
1857,5.739190328313271e-06,1.361940969446529e-07
1858,5.615493137156591e-06,1.2821431027987273e-07
1859,5.552505626837956e-06,9.21683351862157e-08
1860,5.4688193813490216e-06,1.318229029823037e-07
1861,5.2139694162178785e-06,1.400641158610938e-07
1862,4.9833388402475975e-06,1.7484606518181067e-07
1863,5.494082870427519e-06,1.2936068627400488e-07
1864,5.647230409522308e-06,1.0788137672079756e-07
1865,5.195414814807009e-06,1.4967764627726865e-07
1866,5.159496140549891e-06,1.1239565544940433e-07
1867,4.468468887353083e-06,1.1986444192757517e-07
1868,4.650397386285476e-06,8.743577306624672e-08
1869,4.986561179975979e-06,1.0548401041532429e-07
1870,4.724856353277573e-06,7.912987287639339e-08
1871,4.2314768506912515e-06,1.646282470346705e-07
1872,3.915047273039818e-06,1.2699412510475128e-07
1873,3.982488578913035e-06,1.4246691310004778e-07
1874,4.007767984148813e-06,1.3383124403132385e-07
1875,4.2734086491691414e-06,7.209124441853731e-08
1876,4.435356458998285e-06,1.269663136849175e-07
1877,3.7980955767125124e-06,8.65874270061795e-08
1878,3.770806870306842e-06,1.2682085948068078e-07
1879,4.407878350320971e-06,1.1180065462301769e-07
1880,4.001527031505248e-06,1.148794492866756e-07
1881,3.659172080006101e-06,1.296886438240108e-07
1882,3.890738298650831e-06,8.785108462916469e-08
1883,3.3252360935875913e-06,1.3207418297911389e-07
1884,3.2341713449568488e-06,1.1420935841499613e-07
1885,3.238287263229722e-06,1.1408775435484131e-07
1886,3.2802956866362365e-06,1.0583680420950259e-07
1887,3.0392143344215583e-06,1.4428923439391284e-07
1888,3.2432244552182965e-06,1.610516164873843e-07
1889,3.399463139430736e-06,9.710961723641276e-08
1890,3.1598697205481585e-06,1.5730527691548701e-07
1891,3.299933723610593e-06,1.4596963882063108e-07
1892,3.8018526993255364e-06,1.5608596193317226e-07
1893,3.233168627048144e-06,2.0507526704571788e-07
1894,3.3347746466461103e-06,1.5501786010396756e-07
