year,ils_PRON ont_VERB,ils_PRON sont_VERB
1800,0.00011526507114467677,0.00013630582179757766
1801,0.0001039791004586732,0.00013248900177131873
1802,9.918779142026324e-05,0.0001274494716199115
1803,0.00010779329568322282,0.0001523273458587937
1804,0.0001041168361552991,0.00012545879690151196
1805,9.376947673445102e-05,0.00012307954602874815
1806,8.956227611633949e-05,0.0001068234760168707
1807,9.562921877659392e-05,0.00011596217700571287
1808,9.704461990622804e-05,0.00012669393254327588
1809,9.584614781488199e-05,0.00012404562221490778
1810,9.424626477994025e-05,0.00011005381929862779
1811,8.04144874564372e-05,9.596337986295111e-05
1812,8.84046148712514e-05,0.00011518605242599733
1813,8.596454790676944e-05,0.00010666126036085188
1814,9.162808783003129e-05,9.712219070934225e-05
1815,8.917290870158467e-05,9.703801333671436e-05
1816,9.80809963948559e-05,0.0001243858023372013
1817,9.784793837752659e-05,0.00011144878044433426
1818,9.313420196122024e-05,0.00011007180910382885
1819,0.00010018884859164245,0.00010927499897661619
1820,0.00010081881191581488,0.00010354335609008558
1821,9.922432400344405e-05,0.00010426452899992
1822,9.592108108336106e-05,0.0001077683555195108
1823,8.611773409938905e-05,9.56713247433072e-05
1824,8.229616287280805e-05,9.669963401393034e-05
1825,8.890327262633946e-05,0.00010090509749716148
1826,8.550703023502138e-05,9.782324013940524e-05
1827,9.115606917475816e-05,0.00010535066212469246
1828,9.134327592619229e-05,0.00010460826342750806
1829,9.176299136015587e-05,9.980548929888755e-05
1830,9.423314440937247e-05,0.00010837088666448835
1831,9.32416514842771e-05,0.000104256834674743
1832,8.491273365507368e-05,9.950345520337578e-05
1833,9.057586794369854e-05,0.00011488643031043466
1834,9.030691580846906e-05,0.00010397546975582372
1835,8.889805030776188e-05,0.00010193983507633675
1836,8.50719261507038e-05,9.676535773905925e-05
1837,8.69228460942395e-05,0.00010042880239780061
1838,8.213006185542326e-05,9.38498560572043e-05
1839,8.202957815228729e-05,9.600414250598988e-05
1840,8.815903493086807e-05,9.35694515646901e-05
