year,leurs_DET ombres_NOUN,leurs_DET sombres_ADJ
1800,4.0245305132913245e-07,5.345079756580162e-08
1801,4.7147415216386435e-07,7.381665767525192e-08
1802,2.774921767922933e-07,7.161088433349505e-08
1803,2.9645157328950233e-07,4.8758479920252285e-08
1804,7.48970826691675e-07,1.2853624298259092e-07
1805,3.894742519605643e-07,1.449867568226182e-07
1806,4.437770462217827e-07,8.06867319624871e-08
1807,4.640536701572273e-07,7.971474502710407e-08
1808,3.376450194991776e-07,1.2690014727922971e-07
1809,2.7560172632945523e-07,6.09938268780752e-08
1810,5.452495202007412e-07,1.0296557917399696e-07
1811,4.913870199629855e-07,8.022645658911642e-08
1812,4.0808285461935156e-07,6.668020802180763e-08
1813,4.744973740589131e-07,6.901780125190271e-08
1814,2.0138733702879108e-07,3.1466772298927026e-08
1815,1.834112079990291e-07,7.821948599939788e-08
1816,2.456660155303325e-07,8.57513455798653e-08
1817,1.9927979177936095e-07,4.514932783195036e-08
1818,2.789555555438028e-07,1.7881765757010726e-07
1819,2.6809218178769356e-07,9.108924325929024e-08
1820,3.441279510241202e-07,8.78119603697769e-08
1821,3.717781043022228e-07,8.382264837791809e-08
1822,2.1254305693219067e-07,8.421517350143404e-08
1823,3.0735156908434647e-07,4.4472091786929013e-08
1824,3.14107514221007e-07,1.1536924660049408e-07
1825,3.1259322064158823e-07,9.685987523155859e-08
1826,3.1356423391137866e-07,7.662946444053631e-08
1827,2.599270931824549e-07,7.92685455053288e-08
1828,2.054595471534526e-07,4.677873732816806e-08
1829,2.2204525595981295e-07,5.915491546604201e-08
1830,2.5778985435209734e-07,8.03636355239945e-08
1831,2.8064171164743357e-07,6.080570513766759e-08
1832,2.5030442563078736e-07,4.7354891563600177e-08
1833,4.332277026009024e-07,1.320533661308687e-07
1834,2.725682985982303e-07,9.801257760955195e-08
1835,2.6924593043986533e-07,7.789980571715205e-08
1836,3.83082767285714e-07,7.728862438938222e-08
1837,2.1082409862316354e-07,7.305785354461136e-08
1838,2.3102511903516643e-07,8.773905180170516e-08
1839,2.2302806046425872e-07,9.0190031665216e-08
1840,2.484178631689815e-07,8.599079848181646e-08
1841,2.414126285543716e-07,1.0016055362882526e-07
1842,2.7570968352819136e-07,7.982835192876792e-08
1843,1.7602594937216054e-07,1.1223131224369354e-07
1844,1.937462112966415e-07,8.013299368503368e-08
1845,2.0981657655738672e-07,9.095771291711685e-08
1846,2.0139485279457858e-07,7.552306802161013e-08
1847,1.715045074845989e-07,4.260646591092154e-08
1848,1.8986722638558717e-07,7.642960753173611e-08
1849,2.413271555923302e-07,9.133562173246901e-08
1850,2.3354145817222616e-07,7.196335793935305e-08
1851,2.547528294982726e-07,8.384270544503636e-08
1852,1.5169571421225214e-07,9.570501902089745e-08
1853,1.875186601552059e-07,7.226037679330943e-08
1854,1.605460289155758e-07,6.910233452117609e-08
1855,2.1440025221863834e-07,6.792879503336735e-08
1856,1.8741424590018596e-07,7.040977578753882e-08
1857,2.430991585811171e-07,7.908045063231839e-08
1858,1.8644905352971364e-07,6.459652274193317e-08
1859,2.4187823566279576e-07,8.860381894848501e-08
1860,2.4579477031494434e-07,9.200139805543017e-08
1861,2.5371884593283767e-07,1.0941035510914077e-07
1862,2.6927199492376985e-07,7.138418570140637e-08
1863,2.547256574558787e-07,7.142308106056205e-08
1864,2.1863960020240825e-07,8.582563137959909e-08
1865,2.325181140960808e-07,6.213034442481558e-08
1866,1.7175614175357623e-07,6.66588952924485e-08
1867,1.572310885933348e-07,6.988048895095744e-08
1868,1.8919717703624883e-07,8.101393367265786e-08
1869,2.0852626114731265e-07,6.54391587584513e-08
1870,1.8979701899013435e-07,8.027668174648284e-08
1871,2.071129596714627e-07,5.416800252788789e-08
1872,1.5904502514985097e-07,8.284854546847242e-08
1873,2.0172834780396443e-07,3.412022697713013e-08
1874,1.899925727855134e-07,5.018671700440791e-08
1875,1.705015080233352e-07,3.3757011408397375e-08
1876,2.2793475173976674e-07,5.74371412653818e-08
1877,1.9111081517309003e-07,5.442638117969523e-08
1878,1.8117266176176372e-07,5.6163525385954927e-08
1879,1.5700965771969777e-07,8.125402750636113e-08
1880,2.1243071257615043e-07,4.685027921169649e-08
1881,1.7849618805243495e-07,7.39085805889772e-08
1882,2.3293848006034068e-07,5.0580926114207614e-08
1883,1.801011642044159e-07,5.7505984862871173e-08
1884,2.1521532111989927e-07,4.951272636333215e-08
1885,1.7918867367683333e-07,4.834226896566207e-08
1886,1.7682491604276152e-07,4.194751518360462e-08
1887,1.6844626049561384e-07,4.7661149693567495e-08
1888,2.01631548790715e-07,3.8043688421751654e-08
1889,1.9421923624918236e-07,3.195219733242993e-08
1890,1.6910316480434062e-07,3.211649257650606e-08
1891,1.8995175565805766e-07,3.059625441892422e-08
1892,1.861748177844902e-07,4.952124932344759e-08
1893,2.001485350788812e-07,5.049901474762919e-08
1894,1.6573048089441045e-07,4.6631390526741257e-08
1895,1.594932781401326e-07,2.166701307260155e-08
1896,1.9401225070936334e-07,3.4202766840962795e-08
1897,2.6569814615129417e-07,4.661370667236042e-08
1898,1.986082498461883e-07,3.960848360406999e-08
1899,1.9788730476477667e-07,4.2009594025671504e-08
1900,2.4190307312821346e-07,4.464305547458025e-08
1901,1.631911787924878e-07,4.0238919751800495e-08
1902,1.4190720687423664e-07,3.928226988136885e-08
1903,1.7280705044697697e-07,3.186130115295782e-08
1904,1.91874119259694e-07,4.622177662838567e-08
1905,2.0952682433517111e-07,3.148063143498803e-08
1906,2.304594604041199e-07,3.755254596171653e-08
1907,2.005708950036933e-07,4.6799875974556926e-08
1908,2.391846525284791e-07,3.241516921548282e-08
1909,2.266405285666906e-07,3.5756393401698006e-08
1910,2.8056789780350755e-07,5.1303846504424655e-08
1911,2.0377033127516597e-07,4.149891807969652e-08
1912,2.83392514788261e-07,2.0316742677106703e-08
1913,2.099983982262188e-07,4.8787505202430026e-08
1914,2.437614696759738e-07,3.9510786642438234e-08
1915,2.5210830045807597e-07,4.2410743361642744e-08
1916,3.032539552805247e-07,2.5271162940043723e-08
1917,2.730639714343397e-07,4.8252267959014716e-08
1918,3.101321466303375e-07,4.709414369585829e-08
1919,2.71631520831761e-07,3.775217966017763e-08
1920,3.074326198060362e-07,6.133507701733265e-08
1921,2.7261889634644376e-07,5.982470696608289e-08
1922,2.803615384294744e-07,3.8365264742878935e-08
1923,3.3971033985835675e-07,3.6094224498128824e-08
1924,3.0553149876766383e-07,6.187979895155848e-08
1925,3.585406140871328e-07,3.8493624288094e-08
1926,3.5444719159727356e-07,4.346994053605613e-08
1927,3.1440813685890134e-07,3.5677520937582585e-08
1928,2.6394155128173225e-07,2.7422499715434867e-08
1929,3.11931390939435e-07,2.1166771446701205e-08
1930,2.8779874661211124e-07,2.5208648168906223e-08
1931,2.703069519327528e-07,2.167017854048936e-08
1932,2.728924499706409e-07,1.53433514782364e-08
1933,2.4432510059568813e-07,4.473558234963093e-08
1934,2.887560874853534e-07,3.4746584276490466e-08
1935,2.2620057560374107e-07,4.787313834242468e-08
1936,2.4734418069272124e-07,2.66743711563322e-08
1937,2.644134760032557e-07,3.903246792447135e-08
1938,2.4504255691226717e-07,4.148868626430158e-08
1939,2.5082242416374356e-07,4.435274547631707e-08
