year,ils_PRON auront_VERB,ils_PRON sauront_VERB
1800,6.376365718097077e-06,7.011486999886074e-07
1801,4.269460248451651e-06,3.857515693539426e-07
1802,4.580858899316809e-06,4.632329080322961e-07
1803,5.609175673271238e-06,2.866998585204783e-07
1804,5.462790682031482e-06,5.265042588575852e-07
1805,5.483911081682891e-06,4.7191769247945103e-07
1806,7.454878186763381e-06,3.717353180832106e-07
1807,6.861161637061741e-06,5.124519262267313e-07
1808,6.258896178223949e-06,3.8976471472551566e-07
1809,5.383269922276668e-06,3.072281593574644e-07
1810,6.327702806174784e-06,2.9017572700240635e-07
1811,7.448525138897821e-06,3.0084920155104555e-07
1812,6.499986511698808e-06,3.0406173578967355e-07
1813,5.495542040989676e-06,2.01301915581098e-07
1814,5.44375120625773e-06,6.198954025649073e-07
1815,4.868488645115576e-06,3.964918633414527e-07
1816,5.8449970765650505e-06,4.890144253977269e-07
1817,5.3883388773101615e-06,4.655051597524107e-07
1818,7.113366507383034e-06,4.994973323846352e-07
1819,6.67125186737394e-06,5.030610239487032e-07
1820,4.824911172818247e-06,5.624712215990257e-07
1821,6.031286318375351e-06,7.553900260859336e-07
1822,5.600308895736816e-06,5.173217800802377e-07
1823,4.114162493351614e-06,3.508353785264262e-07
1824,4.9002454716173816e-06,3.8821328729454763e-07
1825,4.865007269927446e-06,3.918422066817584e-07
1826,6.381384650921973e-06,4.0869048234526417e-07
1827,7.25215056718298e-06,3.539432782417862e-07
1828,5.7693774806466536e-06,4.3476708100342876e-07
1829,6.711939477099804e-06,4.157990431963299e-07
1830,5.694337630757218e-06,5.406281076147934e-07
1831,6.287933217663522e-06,4.848865131634739e-07
1832,5.487755515787285e-06,5.18197822430011e-07
1833,5.4616809279650624e-06,3.799430174922236e-07
1834,6.614448693653685e-06,4.919297751371232e-07
1835,5.74794694330194e-06,5.445423383321213e-07
1836,6.318849330000376e-06,3.971963238313947e-07
1837,5.4960380566626554e-06,4.160818747322992e-07
1838,4.975245815330709e-06,4.0397835476824184e-07
1839,5.526761299279315e-06,4.250816978412786e-07
1840,5.149893468114897e-06,4.102079422807492e-07
1841,4.904015099782555e-06,4.731944329705584e-07
1842,4.87355458744787e-06,4.37378879780681e-07
1843,5.161458773272898e-06,4.3356728340882e-07
1844,4.630699208973965e-06,4.0560468050898635e-07
1845,4.718640923329076e-06,3.805715422799949e-07
1846,5.142593977325305e-06,4.367458004139735e-07
1847,5.800951214496308e-06,5.182887683474746e-07
1848,5.076535046555364e-06,4.7547261061708923e-07
1849,4.980724327197095e-06,3.569630706579119e-07
1850,4.728535884623852e-06,3.910461749967453e-07
1851,4.86997140569656e-06,3.6632813404935405e-07
1852,5.375106127303297e-06,3.9193482592736473e-07
1853,4.324275835188018e-06,3.547327622754892e-07
1854,4.731172055016941e-06,3.824009020547692e-07
1855,4.411125985370745e-06,3.7520043960626026e-07
1856,4.589060438320303e-06,3.613678210001581e-07
1857,4.184917770544416e-06,3.856392076784232e-07
1858,4.212965677652392e-06,3.8806852131756386e-07
1859,4.254001737535873e-06,3.839498674551578e-07
1860,4.672846955600107e-06,4.311707186843705e-07
1861,4.71785034505956e-06,5.116820531725352e-07
1862,4.705482524514082e-06,5.304115830995215e-07
1863,4.87225275946912e-06,5.069540236490866e-07
1864,4.6441736003544065e-06,4.123465942029725e-07
1865,4.21309647435919e-06,4.0714203919378633e-07
1866,4.286118326035648e-06,4.4860950154657075e-07
1867,3.988040532476589e-06,4.39664709972476e-07
1868,4.111457144517772e-06,3.7098454797046543e-07
1869,4.395167195525573e-06,4.7321301011038486e-07
1870,3.989751121480367e-06,4.650313414344964e-07
1871,5.04293490166674e-06,4.92822636033452e-07
1872,4.5046631385048386e-06,4.5959778560700215e-07
1873,3.975305446601851e-06,3.555686802769742e-07
1874,4.264078540927585e-06,3.841673574811466e-07
1875,4.3821177087011165e-06,3.5931189756865933e-07
1876,4.078641666183103e-06,3.730391284761936e-07
1877,3.863036113216367e-06,3.723259354160291e-07
1878,3.915141292054614e-06,3.496632459132343e-07
1879,4.374887851099629e-06,3.787781679420732e-07
1880,5.430781357063097e-06,3.613247478995163e-07
1881,4.57814837773185e-06,4.099834427506721e-07
1882,4.622830488187901e-06,4.372588122691923e-07
1883,4.217526736738364e-06,3.3492495532527755e-07
1884,4.716912656022032e-06,3.347060442138172e-07
1885,4.389477908262052e-06,4.028522404553314e-07
1886,4.736842470265401e-06,4.36254154578819e-07
1887,5.20616430321752e-06,3.6300819772350224e-07
1888,4.648938841000927e-06,3.4429537620894735e-07
1889,4.742082069242315e-06,4.3480049782829155e-07
1890,4.840414192130993e-06,4.0440566095867325e-07
1891,4.3969370722152235e-06,4.283475902866485e-07
1892,4.2870354945989675e-06,4.576013878931917e-07
1893,4.352152870978898e-06,4.3847925468298854e-07
1894,4.249758092100819e-06,3.478449634997105e-07
1895,4.589795366882754e-06,4.273216305250571e-07
1896,4.13853490499605e-06,3.408482669442492e-07
1897,4.34905911106398e-06,3.96216524478632e-07
