year,seriez_VERB sans_ADP
1800,1.5720821977538435e-08
1801,5.000483582762172e-08
1802,6.713520406265161e-08
1803,2.9255089017965474e-08
1804,4.2021465418429216e-08
1805,6.822906328807221e-08
1806,5.4751712497136396e-08
1807,3.4163463169534225e-08
1808,4.758755522971114e-08
1809,4.0662548883574345e-08
1810,4.914266327205041e-08
1811,2.5070767684098882e-09
1812,8.00162425207418e-09
1813,2.0130190847567064e-08
1814,9.440030979135372e-09
1815,2.697223555614414e-09
1816,1.3905623319487859e-08
1817,4.203558034987509e-08
1818,2.8610825708597076e-08
1819,4.0369094733705424e-08
1820,8.306536614099969e-08
1821,1.7750679148775816e-08
1822,1.0025615893027862e-08
1823,2.174191138237802e-08
1824,1.8526447931321854e-08
1825,5.6354835464844655e-08
1826,1.8496766784892316e-08
1827,2.8573547083965423e-08
1828,3.66892045633449e-08
1829,2.4004892296147773e-08
1830,5.4271545479878114e-08
1831,3.897801548191637e-08
1832,2.976593194148336e-08
1833,1.3900354645102198e-08
1834,2.0535967593104942e-08
1835,3.025235173481633e-08
1836,3.1587525484155776e-08
1837,1.461157062010443e-08
1838,2.3354999711955315e-08
1839,3.705481788074394e-08
1840,1.4013314952876499e-08
1841,1.1556987367100646e-08
1842,2.884553929050071e-08
1843,1.5357969118667825e-08
1844,2.9638231424655714e-08
1845,4.185170965342877e-08
1846,1.9319854160926297e-08
1847,2.0494249852731627e-08
1848,2.896279838182636e-08
1849,1.9272654583346593e-08
1850,2.1724787302446202e-08
1851,2.1283147688677673e-08
1852,1.5625309046640723e-08
1853,2.8665272822081533e-08
1854,3.221311928314208e-08
1855,3.3964397516683675e-08
1856,1.2942972915652717e-08
1857,2.001418764052687e-08
1858,2.300027723833864e-08
1859,2.6988518087023294e-08
1860,2.1512764902809067e-08
1861,1.2733101684148096e-08
1862,2.3945327498609004e-08
1863,2.097740825490746e-08
1864,2.349416661218129e-08
1865,3.577201823645737e-08
1866,2.2868380966656332e-08
1867,1.9896527092555516e-08
1868,1.1855697756857353e-08
1869,1.3673853160867111e-08
1870,2.3509599600401998e-08
1871,2.1242353653860846e-08
1872,3.38650991693612e-08
1873,1.5563610844537834e-08
1874,9.559374625212058e-09
1875,2.460256709468922e-08
1876,2.0556450763820067e-08
1877,2.535774612510977e-08
1878,2.1740719446938783e-08
1879,2.1993571408529533e-08
1880,1.2193908105473383e-08
1881,1.045876096839038e-08
1882,2.5956001792337702e-08
1883,2.0853818227806187e-08
1884,1.1222884843675729e-08
1885,1.4824961702686323e-08
1886,1.4197620856748472e-08
1887,1.566941953967671e-08
1888,8.242799331981132e-09
1889,2.0674951528576457e-08
1890,8.520702365899524e-09
1891,1.3385862196457765e-08
1892,1.4417578242387208e-08
1893,8.621783287310336e-09
1894,1.7014155417882648e-08
1895,1.745398137131815e-08
1896,1.47425724961181e-08
1897,1.981082675683865e-08
1898,5.092519295146758e-09
1899,1.1607914629507832e-08
1900,1.245852754294674e-08
1901,1.0059729937950124e-08
1902,1.8659077838378835e-08
1903,1.5660639007819555e-08
1904,8.599400302955473e-09
1905,1.3417973399043603e-08
1906,4.629765903985117e-09
1907,1.6457098794830927e-08
1908,1.620758460774141e-08
1909,1.265226234892225e-08
1910,1.1222716089775986e-08
1911,1.2236860413850081e-08
1912,1.510732161591477e-08
1913,1.3257474229533273e-08
1914,1.4063162190325329e-08
1915,1.1780762143587253e-08
1916,1.0987461607214755e-08
1917,5.483212106582869e-09
1918,1.378365155346728e-08
1919,1.012863304339362e-08
1920,7.572231730534895e-09
1921,6.815472630705699e-09
1922,1.8444838545406128e-08
1923,2.0170300985000722e-08
1924,2.0626599095407983e-08
1925,1.4297631523163545e-08
1926,1.114613823460786e-08
1927,1.3379070296082318e-08
1928,1.4853853258500749e-08
1929,2.0052731031228177e-08
1930,1.2604324695075775e-08
1931,1.1405356659111021e-08
1932,8.767629289252454e-09
1933,2.2941324395731044e-09
1934,5.990790086229936e-09
1935,1.196828414151696e-08
1936,9.699771652549316e-09
1937,6.295559185076627e-09
1938,1.2965214679638848e-08
1939,1.8352860564618823e-08
1940,2.5357829169792012e-09
1941,5.9030051957620344e-09
1942,1.517105907566929e-08
1943,2.9032352077962287e-09
1944,6.4263723231761105e-09
1945,1.5249527862692958e-08
1946,6.960552134671616e-09
1947,1.3112957830685446e-08
1948,2.5005341797168512e-08
1949,1.7670615193310368e-08
1950,1.3825969702452312e-08
1951,1.3859822622919182e-08
1952,1.1599284199803606e-08
1953,8.619061908632375e-09
1954,8.795282724349818e-09
1955,1.1262729415761896e-08
1956,6.976913269340912e-09
1957,1.4136060322300636e-08
1958,7.445019267748876e-09
1959,1.6276571201956358e-08
1960,1.7994166157109248e-08
1961,6.94815938118154e-09
1962,1.4586500007851555e-08
1963,1.681173777967615e-08
1964,1.034274621503073e-08
1965,1.4774516721161035e-08
1966,1.0524241922382771e-08
1967,1.3311906243984595e-08
1968,1.1677681044375277e-08
1969,1.090021850558287e-08
1970,1.5635665207014426e-08
1971,1.0790635052160269e-08
1972,1.2312352026810913e-08
1973,1.1026407342740185e-08
1974,9.00091468025721e-09
1975,7.996072248772634e-09
1976,9.712995741040231e-09
1977,6.464460078348111e-09
1978,1.2475242172627077e-08
1979,1.2289143924704149e-08
1980,1.4212877097463661e-08
1981,8.223214109648325e-09
1982,9.932003663948308e-09
1983,4.4207211225000265e-09
1984,1.2177918229383522e-08
1985,7.218669662023558e-09
1986,1.3787316177626963e-08
1987,1.4054879038383206e-08
1988,8.994830658082265e-09
1989,8.780995486290522e-09
1990,7.083246433836621e-09
1991,7.033758464558559e-09
1992,1.322386644631024e-08
1993,9.970573700002205e-09
1994,1.002236071911966e-08
1995,9.21816667442954e-09
1996,7.473328622609188e-09
1997,4.315404922294874e-09
1998,6.198567881199324e-09
1999,4.570201106446348e-09
2000,7.510653432518666e-09
2001,1.1391150245287918e-08
2002,6.133709984368352e-09
2003,1.0417307017007715e-08
2004,1.189293641346012e-08
2005,1.306087415997581e-08
2006,7.412201963319376e-09
2007,1.6377365241737607e-08
2008,1.1920831433087642e-08
2009,1.1443662017995848e-08
2010,1.747803501928047e-08
2011,3.326855591012645e-08
2012,2.927657405393802e-08
2013,3.876883880593596e-08
2014,3.291476602385046e-08
2015,3.3026974932681696e-08
2016,3.956259320148092e-08
2017,3.144514337805049e-08
2018,3.2268335559137995e-08
2019,3.4948531180134523e-08
